CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,EDREVENTNO,LFBELT,LF1STAGEDEP,LF2STAGEDEP,LFSWITCH,LFDISPOSAL,LFSIDEDEPTIME,LFCURTDEPTIME,LFPRETENDEPTIME,LFRETRACTDEPTIME,LFBUCKDEPTIME,LFTRACKPOS,LFOCCSIZE,LFOCCPOS,RFBELT,RF1STAGEDEP,RF2STAGEDEP,RFSWITCH,RFDISPOSAL,RFSIDEDEPTIME,RFCURTDEPTIME,RFPRETENDEPTIME,RFRETRACTDEPTIME,RFBUCKDEPTIME,RFTRACKPOS,RFOCCSIZE,RFOCCPOS,CASEWGT,PSUSTRAT,VERSION
8850,28,67,1-28-2017-067-05,5,1,1,1,1,36.00,9995.00,7,0,9997.00,9995.00,9994.00,9997.00,9997.00,7,7,7,0,36.00,76.00,0,1,9997.00,9995.00,9994.00,9997.00,9997.00,7,7,7,104.63450295258,3,2
6085,30,1,1-30-2017-001-03,3,2,1,2,1,9995.00,9995.00,7,8,9995.00,9997.00,9995.00,9997.00,9997.00,7,7,7,0,9995.00,9995.00,1,8,9995.00,9997.00,9995.00,9997.00,9997.00,7,0,7,73.2399735499352,10,2
6085,30,1,1-30-2017-001-03,3,2,1,1,1,9995.00,9995.00,7,8,9995.00,759.00,759.00,9997.00,9997.00,7,7,7,0,9995.00,9995.00,1,8,9995.00,759.00,759.00,9997.00,9997.00,7,0,7,73.2399735499352,10,2
8172,30,80,1-30-2017-080-03,3,1,1,3,1,9995.00,9995.00,7,8,9995.00,9995.00,9995.00,9997.00,9997.00,0,7,7,0,9995.00,9995.00,1,8,9995.00,9995.00,9995.00,9997.00,9997.00,7,0,7,3001.76896990858,10,2
8172,30,80,1-30-2017-080-03,3,1,1,2,1,9995.00,9995.00,7,8,9995.00,9995.00,9995.00,9997.00,9997.00,0,7,7,0,9995.00,9995.00,1,8,9995.00,9995.00,9995.00,9997.00,9997.00,7,0,7,3001.76896990858,10,2
8172,30,80,1-30-2017-080-03,3,1,1,1,1,9995.00,9995.00,7,8,9995.00,7.00,7.00,9997.00,9997.00,0,7,7,0,9995.00,9995.00,1,8,7.00,7.00,7.00,9997.00,9997.00,7,0,7,3001.76896990858,10,2
6532,32,20,1-32-2017-020-07,7,3,1,1,1,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,7,7,7,0,9997.00,9997.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,0,7,7,5536.09702917442,7,2
7053,32,48,1-32-2017-048-03,3,2,1,2,0,9997.00,9997.00,7,8,9997.00,9997.00,9995.00,9997.00,9997.00,7,7,7,1,9997.00,9997.00,7,8,9995.00,9995.00,9995.00,9997.00,9997.00,7,3,7,841.136761414762,7,2
7053,32,48,1-32-2017-048-03,3,2,1,1,0,9995.00,9995.00,7,8,9997.00,9995.00,9995.00,9997.00,9997.00,7,7,7,1,9995.00,9995.00,7,8,9997.00,9995.00,9995.00,9997.00,9997.00,7,3,7,841.136761414762,7,2
7053,32,48,1-32-2017-048-03,3,2,1,3,1,9997.00,9997.00,7,8,9997.00,9997.00,9995.00,9997.00,9997.00,7,7,7,0,9997.00,9997.00,7,8,9995.00,9995.00,9995.00,9997.00,9997.00,7,4,7,841.136761414762,7,2
