CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,NUMEVENTS,CDRVERCOLL,CDRVERREPT,MODTYPE,IGCYCDOWN,CASEWGT,PSUSTRAT,VERSION
6050,13,1,1-13-2017-001-04,4,1,1,0,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,385,2302.56589082077,7,2
6050,13,1,1-13-2017-001-04,4,2,1,2,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,1615,2302.56589082077,7,2
6054,20,1,1-20-2017-001-10,10,1,1,0,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,999998,31.9924847541354,11,2
6095,24,1,1-24-2017-001-07,7,1,1,2,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,4317,1057.24455000333,1,2
6101,32,2,1-32-2017-002-02,2,1,1,2,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,2210,82.3625753483227,7,2
6104,16,3,1-16-2017-003-05,5,2,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,10448,51.0113857468289,5,2
6110,12,1,1-12-2017-001-06,6,1,1,2,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,18242,831.843534377453,9,2
6113,29,1,1-29-2017-001-03,3,1,1,2,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,2825,264.060880443883,2,2
6105,19,2,1-19-2017-002-05,5,1,1,0,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,999998,84.4524216922148,9,2
6113,29,1,1-29-2017-001-03,3,2,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,8710,264.060880443883,2,2
6118,17,3,1-17-2017-003-08,8,1,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,999998,186.330803198876,4,2
6085,30,1,1-30-2017-001-03,3,1,1,3,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,999998,73.2399735499352,10,2
6085,30,1,1-30-2017-001-03,3,2,1,2,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,12357,73.2399735499352,10,2
6130,23,3,1-23-2017-003-06,6,2,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,7931,474.463369126954,5,2
6117,17,2,1-17-2017-002-09,9,1,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,999998,1415.1062926472,4,2
6137,33,1,1-33-2017-001-05,5,1,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,16286,74.8644900335331,12,2
6131,22,1,1-22-2017-001-02,2,2,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,999998,57.5944953362226,12,2
6148,28,1,1-28-2017-001-04,4,1,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,3764,204.800494620173,3,2
6150,10,1,1-10-2017-001-09,9,1,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,15540,1076.86348486225,4,2
6129,18,1,1-18-2017-001-10,10,1,1,0,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,2,999998,6297.69228784152,6,2
6157,30,3,1-30-2017-003-04,4,1,1,3,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,6487,776.878031446285,10,2
6132,22,2,1-22-2017-002-06,6,1,1,4,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,999998,198.309823245595,12,2
6164,28,2,1-28-2017-002-06,6,1,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,9718,217.971600402965,3,2
6165,23,4,1-23-2017-004-06,6,1,1,2,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,9879,561.326705636604,5,2
6166,23,5,1-23-2017-005-04,4,1,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,3661,1032.61891630804,5,2
6170,32,4,1-32-2017-004-03,3,2,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,3321,920.857885382022,7,2
6174,16,4,1-16-2017-004-02,2,1,1,4,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,3580,40.0150623120713,5,2
6174,16,4,1-16-2017-004-02,2,2,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,19180,40.0150623120713,5,2
6177,31,2,1-31-2017-002-10,10,2,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,999998,1073.84216837139,6,2
6185,12,2,1-12-2017-002-06,6,1,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,20381,6809.55000197747,9,2
6183,17,5,1-17-2017-005-04,4,1,1,4,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,1801,214.939687318745,4,2
6184,17,6,1-17-2017-006-04,4,1,1,0,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,8309,214.939687324865,4,2
6182,17,4,1-17-2017-004-09,9,1,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,35706,384.013662303031,4,2
6176,14,2,1-14-2017-002-06,6,2,1,0,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,999998,584.8457903551,8,2
6186,19,6,1-19-2017-006-04,4,1,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,5128,1259.52606882267,9,2
6187,19,7,1-19-2017-007-05,5,1,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,999998,79.9848995102589,9,2
6189,19,9,1-19-2017-009-05,5,1,1,0,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,999998,79.9848995102589,9,2
6196,24,3,1-24-2017-003-03,3,2,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,8520,359.818309819376,1,2
6203,33,2,1-33-2017-002-03,3,1,1,3,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,798,119.342505820862,12,2
6198,22,3,1-22-2017-003-09,9,1,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,30737,358.511606967376,12,2
6198,22,3,1-22-2017-003-09,9,2,1,5,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,999998,358.511606967376,12,2
6179,13,4,1-13-2017-004-03,3,2,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,4218,1311.02538454043,7,2
6207,20,4,1-20-2017-004-04,4,2,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,8468,671.332756770817,11,2
6209,15,2,1-15-2017-002-02,2,1,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,7731,34.0144855376558,1,2
6211,18,2,1-18-2017-002-04,4,1,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,22137,559.497086859663,6,2
6211,18,2,1-18-2017-002-04,4,2,1,2,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,899,559.497086859663,6,2
6214,18,3,1-18-2017-003-10,10,1,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,21842,4594.56953046122,6,2
6215,32,5,1-32-2017-005-05,5,1,1,3,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,999998,156.929343754051,7,2
6206,20,3,1-20-2017-003-02,2,1,1,2,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,5407,39.0673380453663,11,2
6217,30,4,1-30-2017-004-04,4,1,1,2,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,4785,759.796183904248,10,2
6222,14,4,1-14-2017-004-10,10,1,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,33703,5496.44877828333,8,2
6222,14,4,1-14-2017-004-10,10,2,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,19481,5496.44877828333,8,2
6223,14,5,1-14-2017-005-06,6,1,1,2,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,999998,2850.08274068618,8,2
6232,32,6,1-32-2017-006-04,4,1,1,3,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,232,2047.48443634482,7,2
6225,23,7,1-23-2017-007-07,7,2,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,999998,440.593541020037,5,2
6238,12,3,1-12-2017-003-04,4,2,1,0,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,4490,2969.00932898461,9,2
6237,16,8,1-16-2017-008-07,7,1,1,0,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,999998,700.608668706153,5,2
6237,16,8,1-16-2017-008-07,7,2,1,0,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,999998,700.608668706153,5,2
6229,24,4,1-24-2017-004-07,7,1,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,10486,615.743725181132,1,2
6241,31,4,1-31-2017-004-06,6,1,1,2,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,13193,374.469255445773,6,2
6245,17,8,1-17-2017-008-03,3,1,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,999998,134.288191587689,4,2
6246,17,9,1-17-2017-009-03,3,2,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,4398,134.288191588743,4,2
6244,17,7,1-17-2017-007-06,6,1,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,22298,260.452544085976,4,2
6244,17,7,1-17-2017-007-06,6,2,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,11365,260.452544085976,4,2
6255,22,8,1-22-2017-008-07,7,1,1,2,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,999998,178.517289524824,12,2
6260,33,4,1-33-2017-004-09,9,3,1,0,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,19303,275.58801350289,12,2
6262,33,6,1-33-2017-006-10,10,2,1,0,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,999998,813.870005186694,12,2
6251,13,6,1-13-2017-006-03,3,1,1,2,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,135,803.970471884634,7,2
6265,19,12,1-19-2017-012-07,7,2,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,22005,550.08296943677,9,2
6252,13,7,1-13-2017-007-02,2,2,1,3,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,6230,62.5018868257869,7,2
6269,19,14,1-19-2017-014-09,9,1,1,3,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,999998,933.155909690232,9,2
6270,19,15,1-19-2017-015-06,6,1,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,999998,169.155252521446,9,2
6270,19,15,1-19-2017-015-06,6,2,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,14973,169.155252521446,9,2
6257,22,10,1-22-2017-010-06,6,1,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,12443,94.797052813258,12,2
6257,22,10,1-22-2017-010-06,6,2,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,7138,94.797052813258,12,2
6273,20,7,1-20-2017-007-03,3,1,1,2,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,5737,222.029212725436,11,2
6273,20,7,1-20-2017-007-03,3,2,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,16342,222.029212725436,11,2
6249,28,4,1-28-2017-004-04,4,1,1,1,Crash Data Retrieval Tool 16.6,Crash Data Retrieval Tool 18.0.2,1,5364,399.520240341932,3,2
