CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,FUELNO,FUELTYPE,CELLDAM,FUELEAK,FUELLOC,FUELCELL,FILLCAP,FUELCOND,CASEWGT,PSUSTRAT,VERSION
6384,23,11,1-23-2017-011-09,9,2,1,1,9,9,88,8,88,8,2053.11636469303,5,2
6404,21,7,1-21-2017-007-06,6,1,1,1,9,9,88,8,88,8,316.484359499137,11,2
6180,13,5,1-13-2017-005-03,3,1,1,1,9,9,88,8,88,8,1311.02538453678,7,2
6157,30,3,1-30-2017-003-04,4,2,1,1,9,9,88,8,88,8,776.878031446285,10,2
6331,30,13,1-30-2017-013-06,6,1,1,99,9,9,88,8,88,8,1455.71663814421,10,2
6435,24,16,1-24-2017-016-03,3,3,1,99,9,9,88,8,88,8,427.577486399433,1,2
6050,13,1,1-13-2017-001-04,4,3,1,99,9,9,88,8,88,8,2302.56589082077,7,2
6218,30,5,1-30-2017-005-07,7,1,1,99,9,9,88,8,88,8,889.340757753611,10,2
7309,11,30,1-11-2017-030-05,5,2,1,99,9,9,88,8,88,8,219.812761373368,8,2
8598,23,119,1-23-2017-119-03,3,2,1,99,9,9,88,8,88,8,159.253575515806,5,2
6909,21,19,1-21-2017-019-04,4,2,2,12,9,9,88,8,88,8,559.906101636162,11,2
7237,11,27,1-11-2017-027-03,3,1,1,99,9,9,88,8,88,8,2010.92272580976,8,2
8201,11,49,1-11-2017-049-03,3,2,1,1,9,9,88,8,88,8,718.146443658929,8,2
8469,12,63,1-12-2017-063-03,3,1,1,1,9,9,88,8,88,8,597.196140553709,9,2
6909,21,19,1-21-2017-019-04,4,2,1,1,9,9,88,8,88,8,559.906101636162,11,2
7146,28,27,1-28-2017-027-06,6,1,1,1,9,9,88,8,88,8,169.129560081943,3,2
6858,24,36,1-24-2017-036-08,8,1,1,1,9,9,88,8,88,8,478.637750791523,1,2
6279,26,3,1-26-2017-003-02,2,1,1,1,9,9,88,8,88,8,217.327752687266,10,2
6495,21,9,1-21-2017-009-03,3,2,1,1,9,9,88,8,88,8,1387.46155259324,11,2
8539,24,126,1-24-2017-126-10,10,1,1,1,1,9,88,8,88,8,5145.97259759512,1,2
7966,33,87,1-33-2017-087-03,3,2,1,1,1,1,88,8,88,8,113.707892098683,12,2
7968,22,99,1-22-2017-099-10,10,1,1,1,1,1,88,8,88,8,1279.90483931947,12,2
7967,33,88,1-33-2017-088-03,3,1,1,1,1,1,88,8,88,8,113.707892098683,12,2
7959,18,49,1-18-2017-049-02,2,2,1,1,1,1,88,8,88,8,82.5675036810661,6,2
7962,20,106,1-20-2017-106-09,9,1,1,1,1,1,88,8,88,8,843.752241763389,11,2
7969,15,70,1-15-2017-070-03,3,1,1,1,1,1,88,8,88,8,270.281610211649,1,2
