CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,GLAZLOC,GLAZTYPE,GLAZPRE,GLAZIMP,GLAZOCC,CASEWGT,PSUSTRAT,VERSION
7815,32,95,1-32-2017-095-02,2,2,1,1,1,1,1,62.5320886967792,7,2
6198,22,3,1-22-2017-003-09,9,1,1,1,1,1,1,358.511606967376,12,2
6595,22,24,1-22-2017-024-03,3,1,1,1,1,1,1,166.374615758244,12,2
6860,32,36,1-32-2017-036-03,3,1,1,1,1,1,1,1642.02097146795,7,2
6679,21,13,1-21-2017-013-08,8,1,10,2,1,1,1,871.906857628612,11,2
7327,30,57,1-30-2017-057-05,5,2,10,2,1,1,1,127.572371892563,10,2
6679,21,13,1-21-2017-013-08,8,1,8,2,1,1,1,871.906857628612,11,2
7327,30,57,1-30-2017-057-05,5,2,8,2,1,1,1,127.572371892563,10,2
8850,28,67,1-28-2017-067-05,5,1,8,2,1,1,1,104.63450295258,3,2
7880,28,47,1-28-2017-047-01,1,1,8,2,1,1,1,137.6970604631,3,2
7612,30,65,1-30-2017-065-04,4,2,8,2,1,1,1,1466.95760247911,10,2
8850,28,67,1-28-2017-067-05,5,1,5,2,1,1,1,104.63450295258,3,2
7880,28,47,1-28-2017-047-01,1,1,5,2,1,1,1,137.6970604631,3,2
7612,30,65,1-30-2017-065-04,4,2,5,2,1,1,1,1466.95760247911,10,2
7327,30,57,1-30-2017-057-05,5,2,5,2,1,1,1,127.572371892563,10,2
6679,21,13,1-21-2017-013-08,8,1,5,2,1,1,1,871.906857628612,11,2
7330,20,71,1-20-2017-071-09,9,2,4,6,1,1,1,596.722881009616,11,2
7815,32,95,1-32-2017-095-02,2,2,5,6,1,1,1,62.5320886967792,7,2
7069,18,26,1-18-2017-026-01,1,1,5,6,1,1,1,406.960358742139,6,2
8720,22,117,1-22-2017-117-08,8,1,10,2,1,1,1,286.840311036185,12,2
8375,22,109,1-22-2017-109-05,5,1,10,2,1,1,1,87.190411196972,12,2
7856,30,73,1-30-2017-073-03,3,1,10,2,1,1,1,435.405052074813,10,2
