CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,CONTACT,CONTAREA,CONTCOMP,OCCNO,BODYREGION,EVIDENCE,CONFIDENCE,CASEWGT,PSUSTRAT,VERSION
6133,21,1,1-21-2017-001-03,3,1,A,9,254,1,869,1,1,299.98594818982,11,2
6362,19,19,1-19-2017-019-06,6,2,E,9,251,1,851,1,1,417.704209858924,9,2
6806,20,33,1-20-2017-033-08,8,1,E,9,254,1,871,1,1,313.37870302556,11,2
7951,19,98,1-19-2017-098-05,5,1,A,9,251,1,861,1,1,115.226768052376,9,2
8104,28,54,1-28-2017-054-09,9,1,A,9,252,1,512,1,1,572.425840032206,3,2
8349,27,26,1-27-2017-026-02,2,1,F,9,254,1,862,1,1,45.162698530899,3,2
8349,27,26,1-27-2017-026-02,2,1,G,9,254,1,862,2,1,45.162698530899,3,2
8057,27,22,1-27-2017-022-06,6,1,A,9,252,1,812,2,1,156.201745891107,3,2
6805,29,15,1-29-2017-015-04,4,3,E,9,251,1,861,2,1,1180.76502650807,2,2
6666,11,13,1-11-2017-013-05,5,1,G,9,254,1,862,2,1,533.608977976811,8,2
6274,30,7,1-30-2017-007-03,3,1,A,9,254,1,862,5,1,195.270340617582,10,2
6747,12,16,1-12-2017-016-06,6,1,B,9,251,1,872,5,1,1702.36586596526,9,2
6793,21,16,1-21-2017-016-09,9,1,C,9,252,2,811,5,1,1166.36244670081,11,2
7220,22,62,1-22-2017-062-01,1,2,M,9,254,1,871,5,1,91.2520349196253,12,2
7220,22,62,1-22-2017-062-01,1,2,N,9,254,1,872,5,1,91.2520349196253,12,2
7220,22,62,1-22-2017-062-01,1,2,J,9,251,1,861,5,1,91.2520349196253,12,2
7220,22,62,1-22-2017-062-01,1,2,K,9,251,1,862,5,1,91.2520349196253,12,2
7915,20,103,1-20-2017-103-01,1,1,D,9,251,1,869,5,1,88.908471839129,11,2
8375,22,109,1-22-2017-109-05,5,2,A,9,251,1,861,5,1,87.190411196972,12,2
8375,22,109,1-22-2017-109-05,5,2,B,9,251,1,862,5,1,87.190411196972,12,2
8375,22,109,1-22-2017-109-05,5,1,H,9,251,1,861,5,1,87.190411196972,12,2
8375,22,109,1-22-2017-109-05,5,1,I,9,251,1,862,5,1,87.190411196972,12,2
8973,20,162,1-20-2017-162-02,2,2,B,9,251,1,869,5,1,39.0673380453663,11,2
6805,29,15,1-29-2017-015-04,4,3,L,9,254,1,862,3,1,1180.76502650807,2,2
7772,17,56,1-17-2017-056-03,3,1,C,9,251,1,871,3,3,227.769599122688,4,2
7804,23,82,1-23-2017-082-06,6,1,A,9,251,1,861,3,3,206.632100111214,5,2
8808,17,90,1-17-2017-090-02,2,1,J,9,251,2,861,3,3,70.2577413226443,4,2
7515,24,69,1-24-2017-069-04,4,1,A,9,251,1,861,98,3,1504.86804900456,1,2
8048,24,102,1-24-2017-102-02,2,1,B,9,251,1,871,98,3,60.410082690391,1,2
8162,13,95,1-13-2017-095-02,2,1,B,9,252,1,842,98,3,65.9592055730768,7,2
8050,24,104,1-24-2017-104-05,5,1,G,9,251,2,862,98,3,132.316466204678,1,2
6435,24,16,1-24-2017-016-03,3,2,E,9,251,1,862,11,3,427.577486399433,1,2
7643,23,73,1-23-2017-073-05,5,2,E,9,251,1,862,5,3,68.4773923035499,5,2
6316,13,10,1-13-2017-010-01,1,2,D,9,251,1,862,5,3,333.15253105404,7,2
6754,18,17,1-18-2017-017-09,9,1,E,9,254,1,851,96,3,2543.89401154685,6,2
8105,28,55,1-28-2017-055-06,6,1,E,9,254,1,999,1,3,120.707039151254,3,2
7097,28,26,1-28-2017-026-02,2,2,I,9,251,2,861,1,3,81.1371710278704,3,2
