CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,SEATLOC,SEATTYPE,ORIENTATION,TRACK,PERFORMANCE,INTRESTRAINT,HEADRESTYPE,HEADRESTDAM,HEADRESTACT,ROLLPROTECTION,BELTAVAILINSP,BELTUSEINSP,BELTMALFUNCTIONINSP,BELTANCHORINSP,BELTPRETENSIONINSP,BELTPOSDEVPRESINSP,BELTGUIDEINSP,SEATROW,LOCATION,CASEWGT,PSUSTRAT,VERSION
6050,13,1,1-13-2017-001-04,4,2,23,,,,,,,,,,,,,,,,,2,3,2302.56589082077,7,2
6050,13,1,1-13-2017-001-04,4,2,22,,,,,,,,,,,,,,,,,2,2,2302.56589082077,7,2
6050,13,1,1-13-2017-001-04,4,2,13,,,,,,,,,,,,,,,,,1,3,2302.56589082077,7,2
6050,13,1,1-13-2017-001-04,4,2,21,,,,,,,,,,,,,,,,,2,1,2302.56589082077,7,2
6050,13,1,1-13-2017-001-04,4,3,21,,,,,,,,,,,,,,,,,2,1,2302.56589082077,7,2
6050,13,1,1-13-2017-001-04,4,3,22,,,,,,,,,,,,,,,,,2,2,2302.56589082077,7,2
6050,13,1,1-13-2017-001-04,4,3,23,,,,,,,,,,,,,,,,,2,3,2302.56589082077,7,2
6050,13,1,1-13-2017-001-04,4,3,13,,,,,,,,,,,,,,,,,1,3,2302.56589082077,7,2
6050,13,1,1-13-2017-001-04,4,1,13,,,,,,,,,,,,,,,,,1,3,2302.56589082077,7,2
6050,13,1,1-13-2017-001-04,4,1,21,,,,,,,,,,,,,,,,,2,1,2302.56589082077,7,2
6050,13,1,1-13-2017-001-04,4,1,22,,,,,,,,,,,,,,,,,2,2,2302.56589082077,7,2
6050,13,1,1-13-2017-001-04,4,1,23,,,,,,,,,,,,,,,,,2,3,2302.56589082077,7,2
6042,32,1,1-32-2017-001-09,9,1,13,,,,,,,,,,,,,,,,,1,3,439.988808087459,7,2
6042,32,1,1-32-2017-001-09,9,1,21,,,,,,,,,,,,,,,,,2,1,439.988808087459,7,2
6068,19,1,1-19-2017-001-06,6,1,13,,,,,,,,,,,,,,,,,1,3,250.94245606192,9,2
6068,19,1,1-19-2017-001-06,6,1,22,,,,,,,,,,,,,,,,,2,2,250.94245606192,9,2
6068,19,1,1-19-2017-001-06,6,1,12,,,,,,,,,,,,,,,,,1,2,250.94245606192,9,2
6068,19,1,1-19-2017-001-06,6,1,23,,,,,,,,,,,,,,,,,2,3,250.94245606192,9,2
6068,19,1,1-19-2017-001-06,6,1,21,,,,,,,,,,,,,,,,,2,1,250.94245606192,9,2
6068,19,1,1-19-2017-001-06,6,2,13,,,,,,,,,,,,,,,,,1,3,250.94245606192,9,2
6068,19,1,1-19-2017-001-06,6,2,23,,,,,,,,,,,,,,,,,2,3,250.94245606192,9,2
6068,19,1,1-19-2017-001-06,6,2,22,,,,,,,,,,,,,,,,,2,2,250.94245606192,9,2
6068,19,1,1-19-2017-001-06,6,2,21,,,,,,,,,,,,,,,,,2,1,250.94245606192,9,2
6114,27,1,1-27-2017-001-07,7,1,13,,,,,,,,,,,,,,,,,1,3,2072.96617929403,3,2
6114,27,1,1-27-2017-001-07,7,1,23,,,,,,,,,,,,,,,,,2,3,2072.96617929403,3,2
6114,27,1,1-27-2017-001-07,7,1,22,,,,,,,,,,,,,,,,,2,2,2072.96617929403,3,2
6114,27,1,1-27-2017-001-07,7,1,21,,,,,,,,,,,,,,,,,2,1,2072.96617929403,3,2
6095,24,1,1-24-2017-001-07,7,1,13,,,,,,,,,,,,,,,,,1,3,1057.24455000333,1,2
6095,24,1,1-24-2017-001-07,7,1,21,,,,,,,,,,,,,,,,,2,1,1057.24455000333,1,2
6095,24,1,1-24-2017-001-07,7,1,22,,,,,,,,,,,,,,,,,2,2,1057.24455000333,1,2
6095,24,1,1-24-2017-001-07,7,1,23,,,,,,,,,,,,,,,,,2,3,1057.24455000333,1,2
6054,20,1,1-20-2017-001-10,10,1,13,,,,,,,,,,,,,,,,,1,3,31.9924847541354,11,2
6122,13,3,1-13-2017-003-09,9,1,22,,,,,,,,,,,,,,,,,2,2,4149.72387133394,7,2
6122,13,3,1-13-2017-003-09,9,1,23,,,,,,,,,,,,,,,,,2,3,4149.72387133394,7,2
6122,13,3,1-13-2017-003-09,9,1,13,,,,,,,,,,,,,,,,,1,3,4149.72387133394,7,2
6122,13,3,1-13-2017-003-09,9,2,21,,,,,,,,,,,,,,,,,2,1,4149.72387133394,7,2
6122,13,3,1-13-2017-003-09,9,2,22,,,,,,,,,,,,,,,,,2,2,4149.72387133394,7,2
6122,13,3,1-13-2017-003-09,9,2,23,,,,,,,,,,,,,,,,,2,3,4149.72387133394,7,2
6121,13,2,1-13-2017-002-03,3,2,23,,,,,,,,,,,,,,,,,2,3,721.076485952799,7,2
6121,13,2,1-13-2017-002-03,3,2,22,,,,,,,,,,,,,,,,,2,2,721.076485952799,7,2
