CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,BAGNO,SEATLOC,CASEWGT,PSUSTRAT,VERSION
6045,17,1,1-17-2017-001-10,10,1,1,11,200.166808861819,4,2
6045,17,1,1-17-2017-001-10,10,1,2,13,200.166808861819,4,2
6042,32,1,1-32-2017-001-09,9,1,1,11,439.988808087459,7,2
6042,32,1,1-32-2017-001-09,9,1,2,13,439.988808087459,7,2
6068,19,1,1-19-2017-001-06,6,2,1,11,250.94245606192,9,2
6068,19,1,1-19-2017-001-06,6,2,2,11,250.94245606192,9,2
6068,19,1,1-19-2017-001-06,6,2,3,11,250.94245606192,9,2
6068,19,1,1-19-2017-001-06,6,2,3,21,250.94245606192,9,2
6068,19,1,1-19-2017-001-06,6,2,4,13,250.94245606192,9,2
6050,13,1,1-13-2017-001-04,4,1,1,11,2302.56589082077,7,2
6050,13,1,1-13-2017-001-04,4,1,2,13,2302.56589082077,7,2
6050,13,1,1-13-2017-001-04,4,1,3,11,2302.56589082077,7,2
6050,13,1,1-13-2017-001-04,4,1,4,13,2302.56589082077,7,2
6050,13,1,1-13-2017-001-04,4,1,5,11,2302.56589082077,7,2
6050,13,1,1-13-2017-001-04,4,1,5,21,2302.56589082077,7,2
6050,13,1,1-13-2017-001-04,4,1,6,13,2302.56589082077,7,2
6050,13,1,1-13-2017-001-04,4,1,6,23,2302.56589082077,7,2
6050,13,1,1-13-2017-001-04,4,1,7,11,2302.56589082077,7,2
6050,13,1,1-13-2017-001-04,4,1,8,13,2302.56589082077,7,2
6050,13,1,1-13-2017-001-04,4,1,9,21,2302.56589082077,7,2
6050,13,1,1-13-2017-001-04,4,1,10,23,2302.56589082077,7,2
6062,16,1,1-16-2017-001-10,10,1,1,11,96.0734797580618,5,2
6062,16,1,1-16-2017-001-10,10,1,2,13,96.0734797580618,5,2
6050,13,1,1-13-2017-001-04,4,2,1,11,2302.56589082077,7,2
6050,13,1,1-13-2017-001-04,4,2,2,13,2302.56589082077,7,2
6050,13,1,1-13-2017-001-04,4,2,3,11,2302.56589082077,7,2
6050,13,1,1-13-2017-001-04,4,2,4,13,2302.56589082077,7,2
6050,13,1,1-13-2017-001-04,4,2,5,11,2302.56589082077,7,2
6050,13,1,1-13-2017-001-04,4,2,5,21,2302.56589082077,7,2
6050,13,1,1-13-2017-001-04,4,2,6,23,2302.56589082077,7,2
6050,13,1,1-13-2017-001-04,4,2,6,13,2302.56589082077,7,2
6054,20,1,1-20-2017-001-10,10,1,1,11,31.9924847541354,11,2
6054,20,1,1-20-2017-001-10,10,1,2,13,31.9924847541354,11,2
6068,19,1,1-19-2017-001-06,6,2,5,13,250.94245606192,9,2
6068,19,1,1-19-2017-001-06,6,2,6,13,250.94245606192,9,2
6068,19,1,1-19-2017-001-06,6,2,6,23,250.94245606192,9,2
6095,24,1,1-24-2017-001-07,7,1,1,11,1057.24455000333,1,2
6095,24,1,1-24-2017-001-07,7,1,2,11,1057.24455000333,1,2
6114,27,1,1-27-2017-001-07,7,1,1,11,2072.96617929403,3,2
