CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,LFOH,LFBC,WBLEFT,LRBC,LROH,RFOH,RFBC,WBRIGHT,RRBC,RROH,FRNTBUMP,REARBUMP,FRNTTRACK,REARTRACK,FRNTHOOD,FRNTWIND,FRNTPILL,BACKTRUNK,BACKLIGHT,BACKBPILL,SIDEDOOR,SIDEGLAZ,SIDEROOF,VERTROOF,VERTGLAZ,VERTDOOR,BACKPICKUP,CASEWGT,PSUSTRAT,VERSION
6035,23,1,1-23-2017-001-04,4,1,,,,,,,,,,,40,,,,104,,,,,,,,,,,,887,387.004656586397,5,2
6045,17,1,1-17-2017-001-10,10,1,,89,250,105,,,,,,,25,25,,,117,,,,,,,,,,,,887,200.166808861819,4,2
6042,32,1,1-32-2017-001-09,9,1,,,,,,,,,,,45,50,,,109,,,,,,,,,,,,887,439.988808087459,7,2
6050,13,1,1-13-2017-001-04,4,1,,,,,,,,,,,47,45,,,145,,,,,,,,,,,,887,2302.56589082077,7,2
6050,13,1,1-13-2017-001-04,4,3,,,,,,,,,,,,,,,103,,,,,,,,,,,,887,2302.56589082077,7,2
6054,20,1,1-20-2017-001-10,10,1,,,,,,,,,,,,,,,132,,,,,,,,,,,,887,31.9924847541354,11,2
6068,19,1,1-19-2017-001-06,6,1,,,,,,,,,,,38,35,154,154,,,,99,,,,,,,,,887,250.94245606192,9,2
6062,16,1,1-16-2017-001-10,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,887,96.0734797580618,5,2
6092,14,1,1-14-2017-001-05,5,1,,70,260,97,,,57,260,87,,30,,149,150,,,,,,,15,20,120,8,40,74,887,223.196555918989,8,2
6092,14,1,1-14-2017-001-05,5,2,,30,320,,,,,,,,30,,,,129,,,887,887,887,15,15,160,8,,,167,223.196555918989,8,2
6095,24,1,1-24-2017-001-07,7,1,,,286,,,,,286,,,,,159,,,,,,,,8,20,107,,37,88,887,1057.24455000333,1,2
6095,24,1,1-24-2017-001-07,7,2,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,113,887,887,887,887,1057.24455000333,1,2
6101,32,2,1-32-2017-002-02,2,2,,,,,,,,,,,48,48,,,136,,,887,887,887,,,,,,,,82.3625753483227,7,2
6110,12,1,1-12-2017-001-06,6,1,112,62,265,95,112,112,80,280,95,112,29,33,,,100,,,,,,,,,,,,887,831.843534377453,9,2
6110,12,1,1-12-2017-001-06,6,2,101,69,290,80,107,101,69,285,75,107,,30,,,,,,,20,,,,,,,,887,831.843534377453,9,2
6105,19,2,1-19-2017-002-05,5,1,,,97,,,,,,,,,,,,,,,,,,10,9,,,,,887,84.4524216922148,9,2
6113,29,1,1-29-2017-001-03,3,2,,,,,,,,,,,,56,,,,,,887,887,887,,,,,,,309,264.060880443883,2,2
6106,19,3,1-19-2017-003-02,2,1,,,,,,,,,,,43,39,153,153,109,,,,,,,,,,,,887,102.089013427492,9,2
6111,19,4,1-19-2017-004-05,5,1,,,350,,,,,,,,,,,,,,,887,887,887,6,20,,,,,,84.4524216922148,9,2
6118,17,3,1-17-2017-003-08,8,1,,,,,,,,,,,48,,138,139,120,,,887,887,887,,,,,,,,186.330803198876,4,2
6085,30,1,1-30-2017-001-03,3,1,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,73.2399735499352,10,2
6085,30,1,1-30-2017-001-03,3,2,,86,320,115,,,86,320,115,,38,31,175,180,100,99,61,18,150,184,15,26,150,9,48,98,887,73.2399735499352,10,2
6114,27,1,1-27-2017-001-07,7,1,887,887,887,887,887,887,887,887,887,887,887,887,887,887,125,887,887,887,887,887,887,887,887,887,887,887,887,2072.96617929403,3,2
6122,13,3,1-13-2017-003-09,9,1,,,,,,,,,,,,,,,138,,,887,887,887,,,,,,,,4149.72387133394,7,2
6121,13,2,1-13-2017-002-03,3,2,,,,,,,,,,,42,46,,,109,,,,,,,,,,,,887,721.076485952799,7,2
6137,33,1,1-33-2017-001-05,5,1,,,,,,,,,,,30,,,,106,,,,,,,,,,,,887,74.8644900335331,12,2
6131,22,1,1-22-2017-001-02,2,2,,100,408,118,,,,384,118,,54,,173,173,134,,,887,887,887,,,127,,49,90,355,57.5944953362226,12,2
6140,20,2,1-20-2017-002-03,3,1,,,,,,,,,,,33,33,,,,,,,,,,,,,,,887,51.7419523783465,11,2
6148,28,1,1-28-2017-001-04,4,1,,,239,,,,,228,,,35,32,,,80,,,,,,12,16,113,,,,887,204.800494620173,3,2
6150,10,1,1-10-2017-001-09,9,1,,,,,,,,,,,24,,,,90,,,,,,,,,,,,887,1076.86348486225,4,2
6129,18,1,1-18-2017-001-10,10,1,,,,,,,,,,,,,,,129,,,,,,,,,,,,887,6297.69228784152,6,2
6144,26,1,1-26-2017-001-10,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,887,20830.7351125155,10,2
6144,26,1,1-26-2017-001-10,10,2,,,,,,,,,,,,,,,,,,,,,10,12,,,,,887,20830.7351125155,10,2
6133,21,1,1-21-2017-001-03,3,1,,,,,,,,,,,,40,,,,,,,,,11,24,102,,,,887,299.98594818982,11,2
6134,21,2,1-21-2017-002-09,9,1,,,,,,,,,,,46,,,,120,,,,,,,,,,,,887,440.927593351114,11,2
6157,30,3,1-30-2017-003-04,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,887,776.878031446285,10,2
6157,30,3,1-30-2017-003-04,4,2,887,887,887,887,887,887,887,887,887,887,887,887,887,887,138,887,887,887,887,887,887,887,887,887,887,887,887,776.878031446285,10,2
6132,22,2,1-22-2017-002-06,6,1,,,,,,,,,,,,,,,107,,,,,,10,22,104,,,,887,198.309823245595,12,2
6112,19,5,1-19-2017-005-03,3,2,,,,,,,,,,,40,36,160,160,122,,,,,,,,,,,,887,639.392649632869,9,2
6151,25,3,1-25-2017-003-06,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,887,438.207071902862,2,2
6164,28,2,1-28-2017-002-06,6,1,,,262,,,,,254,,,22,42,,,106,,,,,,11,23,101,,,,887,217.971600402965,3,2
6165,23,4,1-23-2017-004-06,6,1,,,,,,,,,,,38,50,,,122,,,,,,,,,,,,887,561.326705636604,5,2
6166,23,5,1-23-2017-005-04,4,1,,,,,,,,,,,45,,,,,,,,,,9,13,114,,,,887,1032.61891630804,5,2
6170,32,4,1-32-2017-004-03,3,2,,,,,,,,,,,43,43,,,,,,118,,,,,,,,,887,920.857885382022,7,2
6174,16,4,1-16-2017-004-02,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,887,40.0150623120713,5,2
6175,16,5,1-16-2017-005-09,9,1,,,,,,,,,,,,,,,,,,887,887,887,,,,,,,,2962.15877300143,5,2
6175,16,5,1-16-2017-005-09,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,887,2962.15877300143,5,2
6177,31,2,1-31-2017-002-10,10,2,,,,,,,,272,,,,,,,,,,,,,10,18,,,,,887,1073.84216837139,6,2
6185,12,2,1-12-2017-002-06,6,1,,106,246,74,,,71,265,75,,34,37,154,156,115,,,,,,12,20,121,4,42,90,887,6809.55000197747,9,2
6185,12,2,1-12-2017-002-06,6,2,,40,275,100,,,77,285,100,,40,44,,,115,,,,,,8,18,,5,50,78,887,6809.55000197747,9,2
6183,17,5,1-17-2017-005-04,4,1,,,,,,,,,,,41,40,,,125,,,,,,,,,,,,887,214.939687318745,4,2
6184,17,6,1-17-2017-006-04,4,1,,,,,,,,,,,26,26,,,,,,,,,9,23,109,,,,887,214.939687324865,4,2
6182,17,4,1-17-2017-004-09,9,1,,,,,,,,,,,38,,,,128,,,,,,,,,,,,887,384.013662303031,4,2
6191,29,2,1-29-2017-002-05,5,1,887,887,887,887,887,887,887,887,887,887,887,887,887,887,104,887,887,887,887,887,887,887,887,887,887,887,887,235.126225322891,2,2
6192,26,2,1-26-2017-002-09,9,1,,82,270,100,,,,,,,,30,,,,,,62,,,,,,,,,887,3498.03165471544,10,2
6188,19,8,1-19-2017-008-08,8,1,,,,,,,,,,,37,,,,,,,70,,,9,16,119,,,,887,306.905612993846,9,2
6186,19,6,1-19-2017-006-04,4,1,,,284,,,,,,,,38,38,170,170,118,,,,,,,,,,,,887,1259.52606882267,9,2
6186,19,6,1-19-2017-006-04,4,2,,,,,,,,446,,,48,53,178,169,83,,,,,,,,,,,,887,1259.52606882267,9,2
6187,19,7,1-19-2017-007-05,5,1,,,,,,,,,,,,,,,,,,887,887,887,5,8,76,,,,,79.9848995102589,9,2
6189,19,9,1-19-2017-009-05,5,1,,,281,,,,,,,,34,40,150,153,119,,,,,,13,21,,,,,887,79.9848995102589,9,2
6187,19,7,1-19-2017-007-05,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,887,79.9848995102589,9,2
6196,24,3,1-24-2017-003-03,3,1,,93,300,,,,,,,,44,,,,91,,,,,,7,20,135,4,51,82,887,359.818309819376,1,2
6196,24,3,1-24-2017-003-03,3,2,,54,264,,,,66,273,,,,,157,,121,,,,,,,,,,,,887,359.818309819376,1,2
6199,22,4,1-22-2017-004-07,7,1,,,,,,,,,,,20,,,,120,,,,,,,,107,,,,887,211.337813213927,12,2
6200,22,5,1-22-2017-005-04,4,1,,,,,,,,,,,30,,,,132,,,,,,10,20,119,,,,887,220.136301508367,12,2
6198,22,3,1-22-2017-003-09,9,1,,101,389,105,,,11,389,105,,,,174,168,136,,,887,887,887,,,132,,47,88,318,358.511606967376,12,2
6180,13,5,1-13-2017-005-03,3,2,,,,,,,,,,,48,44,,,90,,,,,,,,,,,,887,1311.02538453678,7,2
6198,22,3,1-22-2017-003-09,9,2,,95,357,123,,,95,357,123,,,,160,170,132,,,887,887,887,,,122,,47,87,318,358.511606967376,12,2
6179,13,4,1-13-2017-004-03,3,2,,,,,,,,,,,,56,,,116,,,,,,,,,,,,887,1311.02538454043,7,2
