CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,VIN,WMI,ManufacturerFullName,ManufacturerCommonName,ManufacturerParent,Make,Model,ModelYear,VehicleType,Series,Trim,Series2,Trim2,BodyClass,DoorsCount,EngineModel,DisplacementCC,TransmissionStyle,PlantCity,PlantState,PlantCountry,AdaptiveCruiseControl,ElectronicStabilityControl,ForwardCollisionWarning,LaneDepartureWarning,AntilockBrakeSystem,AutomaticEmergencyBraking,BlindSpotMonitoring,LaneKeepSystem,RearVisibilityCamera,DriverAssist,AdaptiveHeadlights,ParkAssist,VINDecodedOn,ManufacturerId,PlantCompanyName,WheelBaseType,TrackWidth,GrossVehicleWeightRating,CurbWeightLB,WheelBaseIN,WheelBaseUpToIN,WheelsCount,TruckBedType,TruckBedLengthIN,TrailerTypeConnection,TrailerLengthFT,BusFloorConfigurationType,MotorcycleSuspensionType,MotorcycleChassisType,SeatsCount,SeatRowsCount,TransmissionSpeeds,DriveType,AxlesCount,AxleConfiguration,BrakeSystemType,BatteryPacksPerVehicle,BatteryModulesPerPack,BatteryCellsPerModule,BatteryType,ChargerLevel,ChargerPowerKW,EngineManufacturer,EngineStrokeCycles,EngineCylindersCount,EngineCoolingType,FuelTypePrimary,FuelTypeSecondary,FuelDeliveryInjectionType,EngineConfiguration,EnginePowerKW,EngineBrakeHP,EngineBrakeUpToHP,EngineValveTrainDesign,EngineElectrificationLevel,EngineTurbo,SeatBeltsType,Pretensioner,AirBagLocFront,AirBagLocKnee,AirBagLocSide,AirBagLocCurtain,AirBagLocSeatCushion,TractionControl,VINDecodeError,CustomMotorcycleType,TruckBodyCabType,TrailerBodyType,BusType,VehicleDescriptor,TPMS,CASEWGT,PSUSTRAT,VERSION
8277,33,103,1-33-2017-103-06,6,2,15GGB2718B11,15G,GILLIG LLC,Gillig,,GILLIG,Low Floor Bus,2011,BUS,,,,,Bus,,Diesel ISL,8849.014560,,HAYWARD,CALIFORNIA,UNITED STATES (USA),,,,,,,,,,,,,26MAY2020:12:41:04.650,1118,,,,"Class 7: 26,001 - 33,000 lb (11,794 - 14,969 kg)",,,,,Not Applicable,,Not Applicable,,,Not Applicable,Not Applicable,,,,,,,Air,,,,,,,Cummins,,,,,,,,,,,,,,,,,,,,,,0,Not Applicable,Not Applicable,Not Applicable,,15GGB271*B1******,,397.477509541007,12,2
8641,20,148,1-20-2017-148-02,2,2,19UUA56822A0,19U,"HONDA OF AMERICA MFG., INC.",Honda,"HONDA MOTOR CO., LTD",ACURA,TL,2002,PASSENGER CAR,,3.2,,BASE Type-S,Sedan/Saloon,4,J32A2,3211.864544,Automatic,MARYSVILLE,OHIO,UNITED STATES (USA),,,,,,,,,,,,,26MAY2020:12:41:05.963,988,,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,5,,,,,,,,,,,,,6,,Gasoline,,,V-Shaped,193.88,260.00,,Single Overhead Cam (SOHC),,,Manual,,1st Row (Driver & Passenger),,,,,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,19UUA568*2A******,,126.215316597196,11,2
7704,27,15,1-27-2017-015-07,7,1,19UUA66204A0,19U,"HONDA OF AMERICA MFG., INC.",Honda,"HONDA MOTOR CO., LTD",ACURA,TL,2004,PASSENGER CAR,,BASE,,,Sedan/Saloon,4,J32A3,3211.864544,Automatic,MARYSVILLE,OHIO,UNITED STATES (USA),,,,,,,,,,,,,26MAY2020:12:41:06.247,988,,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,5,,,,,,,,,,,,,6,,Gasoline,,,V-Shaped,201.34,270.00,,Single Overhead Cam (SOHC),,,Manual,,1st Row (Driver & Passenger),,,,,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,19UUA662*4A******,,1229.96510879046,3,2
6824,29,16,1-29-2017-016-03,3,1,19UUA66205A0,19u,"HONDA OF AMERICA MFG., INC.",Honda,"HONDA MOTOR CO., LTD",ACURA,TL,2005,PASSENGER CAR,,BASE,,,Sedan/Saloon,4,J32A3,3211.864544,Automatic,MARYSVILLE,OHIO,UNITED STATES (USA),,,,,,,,,,,,,26MAY2020:12:41:06.370,988,,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,5,,,,,,,,,,,,,6,,Gasoline,,,V-Shaped,201.34,270.00,,Single Overhead Cam (SOHC),,,Manual,,1st Row (Driver & Passenger),,,,,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,19uua662*5a******,,1318.37167531291,2,2
8558,26,71,1-26-2017-071-06,6,1,19UUA66208A0,19U,"HONDA OF AMERICA MFG., INC.",Honda,"HONDA MOTOR CO., LTD",ACURA,TL,2008,PASSENGER CAR,,BASE,,,Sedan/Saloon,4,J32A3,3211.864544,Automatic,MARYSVILLE,OHIO,UNITED STATES (USA),,,,,,,,,,,,,26MAY2020:12:41:06.463,988,,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,5,,,,,,,,,,,,,6,,Gasoline,,,V-Shaped,,,,Single Overhead Cam (SOHC),,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st & 2nd Rows,,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,19UUA662*8A******,Direct,1237.21233491908,10,2
8496,14,62,1-14-2017-062-01,1,1,19UUA66218A0,19U,"HONDA OF AMERICA MFG., INC.",Honda,"HONDA MOTOR CO., LTD",ACURA,TL,2008,PASSENGER CAR,,BASE,,,Sedan/Saloon,4,J32A3,3211.864544,Automatic,MARYSVILLE,OHIO,UNITED STATES (USA),,,,,,,,,,,,,26MAY2020:12:41:06.590,988,,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,5,,,,,,,,,,,,,6,,Gasoline,,,V-Shaped,,,,Single Overhead Cam (SOHC),,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st & 2nd Rows,,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,19UUA662*8A******,Direct,473.930148358357,8,2
6749,17,21,1-17-2017-021-07,7,1,19UUA66218A0,19U,"HONDA OF AMERICA MFG., INC.",Honda,"HONDA MOTOR CO., LTD",ACURA,TL,2008,PASSENGER CAR,,BASE,,,Sedan/Saloon,4,J32A3,3211.864544,Automatic,MARYSVILLE,OHIO,UNITED STATES (USA),,,,,,,,,,,,,26MAY2020:12:41:06.650,988,,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,5,,,,,,,,,,,,,6,,Gasoline,,,V-Shaped,,,,Single Overhead Cam (SOHC),,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st & 2nd Rows,,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,19UUA662*8A******,Direct,1152.79836779502,4,2
7891,16,64,1-16-2017-064-04,4,2,19UUA66275A0,19U,"HONDA OF AMERICA MFG., INC.",Honda,"HONDA MOTOR CO., LTD",ACURA,TL,2005,PASSENGER CAR,,BASE,,,Sedan/Saloon,4,J32A3,3211.864544,Automatic,MARYSVILLE,OHIO,UNITED STATES (USA),,,,,,,,,,,,,26MAY2020:12:41:07.167,988,,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,5,,,,,,,,,,,,,6,,Gasoline,,,V-Shaped,201.34,270.00,,Single Overhead Cam (SOHC),,,Manual,,1st Row (Driver & Passenger),,,,,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,19UUA662*5A******,,975.915502350418,5,2
7115,19,60,1-19-2017-060-05,5,1,19UUA66298A0,19U,"HONDA OF AMERICA MFG., INC.",Honda,"HONDA MOTOR CO., LTD",ACURA,TL,2008,PASSENGER CAR,,BASE,,,Sedan/Saloon,4,J32A3,3211.864544,Automatic,MARYSVILLE,OHIO,UNITED STATES (USA),,,,,,,,,,,,,26MAY2020:12:41:07.450,988,,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,5,,,,,,,,,,,,,6,,Gasoline,,,V-Shaped,,,,Single Overhead Cam (SOHC),,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st & 2nd Rows,,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,19UUA662*8A******,Direct,169.970306208333,9,2
6822,16,32,1-16-2017-032-07,7,2,19UUA9F21AA0,19U,"HONDA OF AMERICA MFG., INC.",Honda,"HONDA MOTOR CO., LTD",ACURA,TL,2010,PASSENGER CAR,,SH-4WD,,,Sedan/Saloon,4,J37A4,3998.443616,Automatic,MARYSVILLE,OHIO,UNITED STATES (USA),,,,,,,,,,,,,26MAY2020:12:41:08.323,988,,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,5,,,,,,,,,,,,,6,,Gasoline,,,V-Shaped,,,,Single Overhead Cam (SOHC),,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st & 2nd Rows,,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,19UUA9F2*AA******,Direct,2568.08122827197,5,2
