CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EVENTNO,OBJCONT,PDOF,OCLOCK,ENDSHIFT,OVERUNDER,HEADINGANG,CDC,CDCPLANE,CDCLONGLAT,CDCVERTLAT,CDCDISTRIB,CDCEXTENT,DAMAPILLAR,DAMBPILLAR,DAMCPILLAR,DAMOTHPILLAR,SILLHEIGHT,CMAXHEIGHT,DOORSILLDIFF,DVBASIS,DVTOTAL,DVLONG,DVLAT,DVENERGY,DVSPEED,DVMOMENT,DVBARRIER,DVESTIMATE,DVRANK,DIRECTLOCATION,FIELDLLOCATION,CMAXLOCATION,FIELDL,FIELDLD,DIRECTL,DIRECTD,DIRECTWIDTH,CMAX,C1,C2,C3,C4,C5,C6,ROLLLAT,ROLLVERT,CASEWGT,PSUSTRAT,VERSION
9949,23,43,1-23-2018-043-03,3,2,1,1,0,12,0,0,335,12FLES08,F,L,E,S,8,8,8,8,8,888,888,888,8,999,999,999,9999999,999,999,999,7,1,Begins left BC extends 8cm right,BC to BC,Left BC,180,0,180,-86,8,0,0,0,0,0,0,0,,,258.9023496,5,3
9949,23,43,1-23-2018-043-03,3,1,1,2,0,12,0,0,155,12FLES08,F,L,E,S,8,8,8,8,8,888,888,888,8,999,999,999,9999999,999,999,999,7,1,Begins left BC extends 4cm right,BC to BC,Left BC,142,0,142,-69,4,0,0,0,0,0,0,0,,,258.9023496,5,3
9986,13,48,1-13-2018-048-01,1,1,1,2,180,6,0,2,60,06BDAW08,B,D,A,W,8,8,8,8,8,888,888,888,12,999,999,999,9999999,999,999,999,5,1,Bc to bc,Bc to bc -,51 cm from left bc,999,999,999,999,999,999,999,999,999,999,999,999,,,117.394872,7,3
10579,12,37,1-12-2018-037-05,5,1,1,2,10,12,0,7,20,12FDAW08,F,D,A,W,8,8,8,8,8,888,888,888,5,999,999,999,9999999,999,999,36,3,1,56cm RoC Con Left 109cm,RC to RC,56cm RoC,112,0,160,2,109,2,0,1,2,1,1,0,,,286.8296109,9,3
12441,14,65,1-14-2018-065-01,1,1,1,2,0,12,0,7,75,12FRAW08,F,R,A,W,8,8,8,8,8,888,888,888,5,999,999,999,9999999,999,999,12,2,1,Starts 38cm ROC and goes right,bumper corner to bumper corner,unknown,190,0,190,67,57,4,4,0,1,1,0,0,,,449.6285285,8,3
10397,13,69,1-13-2018-069-02,2,2,1,1,350,12,0,7,0,12FZAW08,F,Z,A,W,8,8,8,8,8,888,888,888,5,999,999,999,9999999,999,999,999,8,1,starts 21cm right of center,bumper support end to end,rf bumper support end,109,0,150,48,54,6,0,0,0,0,2,6,,,48.99267118,7,3
10980,11,18,1-11-2018-018-08,8,1,4,68,0,12,0,0,888,12FLGW08,F,L,G,W,8,8,8,8,8,888,888,888,98,999,999,999,9999999,999,999,999,7,2,not measured - windshield header impact,not measured - windshield header impact,Left windshield header zone,999,999,999,999,999,999,999,999,999,999,999,999,,,1577.879852,8,3
9786,17,35,1-17-2018-035-08,8,1,4,42,998,0,0,0,888,00TYDW08,T,Y,D,W,8,8,8,8,8,888,888,888,7,999,999,999,9999999,999,999,999,8,1,Top,Top,B-pillar,999,999,999,999,999,999,999,999,999,999,999,999,,,89.88045074,4,3
10285,23,57,1-23-2018-057-03,3,2,2,1,0,12,0,0,170,12FLES08,F,L,E,S,8,8,8,8,8,888,888,888,8,999,999,999,9999999,999,999,999,7,1,Begins 73cm left of center and extends 2cm left,BC to BC,Left BC,150,0,150,-74,2,3,3,0,0,0,0,0,,,159.2007456,5,3
11634,26,122,1-26-2018-122-08,8,1,1,2,350,12,0,0,190,12FLES08,F,L,E,S,8,8,8,8,8,888,888,888,8,999,999,999,9999999,999,999,999,6,8,Unk,Unk,Unk,999,999,160,999,999,999,999,999,999,999,999,999,,,381.29717,10,3
12259,20,123,1-20-2018-123-04,4,2,1,1,190,6,0,0,10,06BLEE08,B,L,E,E,8,8,8,8,8,888,888,888,3,14,14,2,15531,998,-49,15,0,1,LR BB,Not measured,UNK,999,0,160,999,999,999,999,999,999,999,999,999,,,2663.867358,11,3
11279,66,45,1-66-2018-045-05,5,1,2,2,350,12,0,0,85,12FLEE08,F,L,E,E,8,8,8,8,8,888,888,888,11,999,999,999,9999999,999,999,999,6,2,LF bumper corner to 40 right,entire front,LF bumper corner,144,0,160,-60,40,999,999,999,999,999,999,999,,,150.8280989,6,3
11194,24,64,1-24-2018-064-07,7,1,1,2,340,11,0,0,20,11FLEE08,F,L,E,E,8,8,8,8,8,888,888,888,1,27,-25,9,48471,998,2,28,0,1,begins 52 left of center; left 30,Rebar corner to rebar corner,54 left of rebar center,108,0,164,-67,30,31,31,23,16,9,0,0,,,3818.285971,1,3
10934,48,4,1-48-2018-004-03,3,1,1,2,20,1,0,0,350,01FRAE08,F,R,A,E,8,8,8,8,8,888,888,888,3,16,-15,-5,19248,998,-6,16,0,1,Right front bc to 23 left,Front rebar corner to rebar corner,Right front bc,101,0,175,77,23,5,4,2,2,2,2,5,,,330.1475698,12,3
11156,19,83,1-19-2018-083-08,8,1,2,3,0,12,0,0,255,12FLEE08,F,L,E,E,8,8,8,8,8,888,888,888,5,999,999,999,9999999,999,999,15,2,1,Begs68cm left of center,Begs at LF bumper rail,At LF bumper rail,131,0,150,-26,36,17,17,0,1,0,0,0,,,274.2732318,9,3
11279,66,45,1-66-2018-045-05,5,2,2,1,340,11,0,0,270,11FLAE08,F,L,A,E,8,8,8,8,8,888,888,888,12,999,999,999,9999999,999,999,999,7,1,Begins 58 LOC,BC to BC,LBC,156,0,156,-66,24,8,8,0,0,0,0,0,,,150.8280989,6,3
