CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,INTEGRITY,CASEWGT,PSUSTRAT,VERSION
9065,32,4,1-32-2018-004-06,6,1,2,937.80176202972,7,3
9228,19,9,1-19-2018-009-05,5,1,2,103.719045040326,9,3
9255,20,9,1-20-2018-009-01,1,1,2,33.0854215747091,11,3
9345,66,5,1-66-2018-005-01,1,1,2,397.68735285329,6,3
9328,24,12,1-24-2018-012-09,9,2,2,845.448894282039,1,3
9364,31,5,1-31-2018-005-02,2,2,2,251.201707166377,6,3
9432,22,10,1-22-2018-010-01,1,1,2,69.2240445695726,12,3
9403,26,15,1-26-2018-015-01,1,1,2,22.1817837710222,10,3
9519,32,27,1-32-2018-027-02,2,1,2,65.2595091258562,7,3
9524,14,11,1-14-2018-011-02,2,2,2,186.332816064419,8,3
9524,14,11,1-14-2018-011-02,2,1,2,186.332816064419,8,3
9548,33,22,1-33-2018-022-06,6,3,2,72.0293810184555,12,3
9680,17,28,1-17-2018-028-02,2,1,2,65.8542656555382,4,3
9727,29,16,1-29-2018-016-02,2,1,2,98.5788577786628,2,3
9745,33,27,1-33-2018-027-05,5,1,2,28.9441844864407,12,3
9804,21,26,1-21-2018-026-08,8,2,2,119.407099797148,11,3
9766,10,18,1-10-2018-018-02,2,2,2,30.6722033634637,4,3
9830,12,22,1-12-2018-022-06,6,1,2,1067.72320733004,9,3
9839,31,16,1-31-2018-016-08,8,1,2,325.58648159477,6,3
9836,27,17,1-27-2018-017-02,2,1,2,16.443001964486,3,3
9878,13,43,1-13-2018-043-04,4,1,2,2892.52021426962,7,3
10028,15,48,1-15-2018-048-02,2,2,2,23.9210035934966,1,3
9991,30,26,1-30-2018-026-01,1,1,2,127.077247810225,10,3
10088,16,50,1-16-2018-050-08,8,1,2,95.0636046006648,5,3
10033,14,24,1-14-2018-024-02,2,2,2,186.332816064419,8,3
10105,19,46,1-19-2018-046-01,1,1,2,83.1285445173237,9,3
10139,30,31,1-30-2018-031-02,2,1,2,33.5466934672605,10,3
10160,32,60,1-32-2018-060-01,1,1,2,129.851891940592,7,3
10185,18,29,1-18-2018-029-01,1,1,2,80.1280895353133,6,3
10226,66,20,1-66-2018-020-07,7,1,2,161.683460053957,6,3
10360,23,61,1-23-2018-061-01,1,1,2,76.1868333196657,5,3
10388,31,27,1-31-2018-027-03,3,1,2,463.300143469966,6,3
10427,23,63,1-23-2018-063-03,3,1,2,240.428380821584,5,3
10454,17,67,1-17-2018-067-08,8,1,2,100.831120146452,4,3
