CASEID,PSU,CASENO,CASENUMBER,CATEGORY,JKWGT1,JKWGT2,JKWGT3,JKWGT4,JKWGT5,JKWGT6,JKWGT7,JKWGT8,JKWGT9,JKWGT10,JKWGT11,JKWGT12,JKWGT13,JKWGT14,JKWGT15,JKWGT16,JKWGT17,JKWGT18,JKWGT19,JKWGT20,JKWGT21,JKWGT22,JKWGT23,JKWGT24,JKWGT25,JKWGT26,JKWGT27,JKWGT28,JKWGT29,JKWGT30,JKWGT31,JKWGT32,CASEWGT,PSUSTRAT,VERSION
8926,32,1,1-32-2018-001-03,3,97.762984636,95.56682463,100.66306635,92.886902723,96.663241486,96.663241486,96.663241486,96.663241486,99.613461621,93.904119146,95.739734954,97.604424186,96.663241486,96.663241486,96.663241486,96.663241486,0,192.38766803,99.683569362,95.433424161,96.663241486,96.663241486,96.663241486,96.663241486,99.742465606,94.39563451,97.061881837,96.267862233,96.663241486,96.663241486,96.663241486,96.663241486,96.6632414863881,7,3
8949,17,1,1-17-2018-001-04,4,103.35271487,110.27224749,110.72525951,105.55481773,106.47963385,106.46802413,106.47022171,106.46810486,0,209.67613178,103.60155833,109.49342984,106.47073561,106.47227532,106.48326445,106.46044725,100.12718802,113.49533708,113.20133158,106.47147577,106.51436138,106.46538281,106.4588221,106.4701253,99.047947923,113.60874012,106.89785954,106.07549104,106.46574223,106.4588221,106.48627615,106.48283393,106.471488478727,4,3
8971,29,1,1-29-2018-001-07,7,54.656262773,58.275128651,115.02648056,0,56.340357726,56.318778365,56.304517505,56.337655256,58.216489706,54.607066732,56.354831096,56.322879276,56.311922477,56.339224195,56.358288711,56.29436301,62.707458715,53.70376323,67.347047394,54.728725257,56.625359848,56.73349861,56.402776451,56.345024291,61.408094704,55.216434187,56.539582287,56.112765113,56.306429963,56.272476305,56.353234159,56.368125362,56.3252452658226,2,3
8991,11,1,1-11-2018-001-03,3,171.37326427,167.52351367,176.45695184,162.82575442,169.44547357,169.44547357,169.44547357,169.44547357,174.6170511,164.60888021,167.82661619,171.09531632,169.44547357,169.44547357,169.44547357,169.44547357,170.41459576,168.62262747,349.47989241,0,169.44547357,169.44547357,169.44547357,169.44547357,174.84318816,165.47048026,170.1442687,168.75239496,169.44547357,169.44547357,169.44547357,169.44547357,169.445473565594,8,3
8997,23,1,1-23-2018-001-02,2,80.048851202,77.875958187,77.889776339,80.117054879,78.992318448,78.992318448,78.992318448,78.992318448,80.714452893,77.496125292,153.44134684,0,78.992318448,78.992318448,78.992318448,78.992318448,79.545560356,78.504762171,75.459979228,82.921856455,79.219913031,79.080680594,78.992318448,79.82229369,82.919544718,75.978100362,79.318083703,78.669218132,78.992318448,78.992318448,78.992318448,78.992318448,78.9923184476903,5,3
8998,10,1,1-10-2018-001-06,6,318.05329254,310.42108081,309.51574109,319.28788091,314.45109126,314.41955412,314.1903214,314.10690882,652.40573407,0,312.71987687,315.91694147,314.95758948,313.71994789,314.44370642,314.13947658,357.43237893,295.85415559,339.00555193,312.16958001,318.1488477,316.70875787,316.04808843,313.37376968,309.42012884,319.12014193,315.43005312,313.16150386,314.60419603,314.36825777,314.10730647,314.09035912,314.290232732828,4,3
8999,24,1,1-24-2018-001-04,4,0,487.23728438,244.27102101,251.59172025,244.34783481,244.321193,244.32623599,244.32137826,244.40567245,244.42049911,241.86996352,246.93877501,244.32741528,244.33094858,244.35616627,244.3038057,243.92732016,245.06989684,249.1730589,253.32704921,244.42752701,244.31513176,244.30007633,244.32601473,242.13487533,246.83190993,245.30757274,243.42041407,244.31595653,244.30007633,244.36307745,244.35517831,244.329142940613,1,3
9003,32,2,1-32-2018-002-02,2,44.109341213,42.912011358,42.919625578,44.146923505,43.52715967,43.52715967,43.52715967,43.52715967,44.476107902,42.70271193,42.275414465,44.85596593,43.52715967,43.52715967,43.52715967,43.52715967,0,86.517002791,41.580733786,45.692454114,43.652571177,43.575849888,43.52715967,43.984501163,45.691180276,41.866234222,43.706666191,43.349121611,43.52715967,43.52715967,43.52715967,43.52715967,43.5271596696033,7,3
9005,59,1,1-59-2018-001-05,5,69.752879572,70.126223277,69.879973717,69.991350374,69.590370571,69.591709065,69.274160376,71.342976906,70.240407573,69.652124533,70.286651938,69.615106918,133.81846791,0,69.899942002,71.555465385,70.939703681,69.18301809,74.505424523,76.702109921,73.785026829,71.327467668,64.512763197,72.61467392,69.211410172,70.780614378,69.96343047,70.09812671,68.228038951,72.187030261,68.474788852,71.018851732,69.9352741302147,6,3
9007,25,1,1-25-2018-001-03,3,1541.3822702,1506.7564647,0,2929.0068328,1524.0431454,1524.0431454,1524.0431454,1524.0431454,1570.5578567,1480.5413817,1509.4826591,1538.8823234,1524.0431454,1524.0431454,1524.0431454,1524.0431454,1532.7597196,1516.6422221,1571.663212,1504.6532032,1524.0431454,1524.0431454,1524.0431454,1524.0431454,1572.5918009,1488.2908696,1530.3283174,1517.8093896,1524.0431454,1524.0431454,1524.0431454,1524.0431454,1524.04314541984,2,3
