CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,TIRELOC,TIREMANUF,TIREMODEL,TIRESIZE,TIRETIN,TIRETREAD,TIRERESTR,TIRESIZETYPE,CASEWGT,PSUSTRAT,VERSION
8949,17,1,1-17-2018-001-04,4,1,LF,103,Defender,P205/55R16,APWC 1PBX3517,8,1,1,106.4714885,4,3
8949,17,1,1-17-2018-001-04,4,1,RF,103,Defender,P205/55R16,APWC 1PBX3517,8,0,1,106.4714885,4,3
8949,17,1,1-17-2018-001-04,4,1,LR,103,Defender,P205/55R16,APWC 1PBX3617,8,0,1,106.4714885,4,3
8949,17,1,1-17-2018-001-04,4,1,RR,103,Defender,P205/55R16,APWC 1PBX3617,8,0,1,106.4714885,4,3
8926,32,1,1-32-2018-001-03,3,1,LF,59,Destination LE2,P235/65R17,RB81 DE2,7,0,1,96.66324149,7,3
8926,32,1,1-32-2018-001-03,3,1,RF,59,Destination LE2,P235/65R17,VN81 DE1 3016,7,0,1,96.66324149,7,3
8926,32,1,1-32-2018-001-03,3,1,LR,59,Destination LE2,P235/65R17,RB81 DE2,7,0,1,96.66324149,7,3
8926,32,1,1-32-2018-001-03,3,1,RR,59,Destination LE2,P235/65R17,VN81 DE1 1716,7,0,1,96.66324149,7,3
8999,24,1,1-24-2018-001-04,4,1,LF,103,MS 2,P225/70R18,APYU 006X2615,11,0,1,244.3291429,1,3
8999,24,1,1-24-2018-001-04,4,1,RF,103,MS 2,P225/70R18,APYU 006X2615,11,0,1,244.3291429,1,3
8999,24,1,1-24-2018-001-04,4,1,LR,103,MS 2,P225/70R18,APYU 006X2615,12,0,1,244.3291429,1,3
8999,24,1,1-24-2018-001-04,4,1,RR,103,MS 2,P225/70R18,1.00E+13,12,1,1,244.3291429,1,3
9011,19,1,1-19-2018-001-07,7,2,LF,70,Eagle,P235/55R17,M678 LNER5015,8,1,1,2388.423229,9,3
9011,19,1,1-19-2018-001-07,7,2,LR,70,Eagle,P235/55R17,M678 LNER4614,9,0,1,2388.423229,9,3
9011,19,1,1-19-2018-001-07,7,2,RR,70,Eagle,P235/55R17,M678 LNER4414,9,0,1,2388.423229,9,3
9011,19,1,1-19-2018-001-07,7,2,RF,70,Eagle,P235/55R17,M678 LNER3215,8,1,1,2388.423229,9,3
9026,17,2,1-17-2018-002-07,7,1,LF,70,Wrangler,P275/65R18,4BYJ JE1R1616,8,0,1,2380.459339,4,3
9026,17,2,1-17-2018-002-07,7,1,RF,70,Wrangler,P275/65R18,4BYJ JE1R1616,8,0,1,2380.459339,4,3
9026,17,2,1-17-2018-002-07,7,1,LR,70,Wrangler,P275/65R18,4BYJ JE1R1616,8,0,1,2380.459339,4,3
9026,17,2,1-17-2018-002-07,7,1,RR,70,Wrangler,P275/65R18,4BYJ JE1R1616,8,0,1,2380.459339,4,3
9003,32,2,1-32-2018-002-02,2,1,LF,167,Proxes Plus 4,P205/55R16,N38K 2HD 4415,5,0,1,43.52715967,7,3
9003,32,2,1-32-2018-002-02,2,1,LR,40,HP400,P205/55R16,OUAV DPCR1214,3,0,1,43.52715967,7,3
9003,32,2,1-32-2018-002-02,2,1,RR,167,Proxes Plus 4,P205/55R16,N38K 2HD 4415,5,0,1,43.52715967,7,3
9003,32,2,1-32-2018-002-02,2,1,RF,70,Unknown,P205/55R16,M60F UR1R2315,3,0,1,43.52715967,7,3
8998,10,1,1-10-2018-001-06,6,1,LF,70,Assurance,P215/60R16,PJ5M MU1R2317,7,0,1,314.2902327,4,3
8998,10,1,1-10-2018-001-06,6,1,RF,70,Assurance,P215/60R16,PJ5M MU1R2317,7,0,1,314.2902327,4,3
8998,10,1,1-10-2018-001-06,6,1,LR,70,Assurance,P215/60R16,PJ5M MU1R2317,7,0,1,314.2902327,4,3
8998,10,1,1-10-2018-001-06,6,1,RR,70,Assurance,P215/60R16,PJ5M MU1R2317,7,0,1,314.2902327,4,3
8997,23,1,1-23-2018-001-02,2,1,LF,115,CP671,P215/55R17,UA8V,7,1,1,78.99231845,5,3
8997,23,1,1-23-2018-001-02,2,1,RF,115,CP671,P215/55R17,UA8V,7,0,1,78.99231845,5,3
8997,23,1,1-23-2018-001-02,2,1,LR,115,CP671,P215/55R17,UA8V,6,0,1,78.99231845,5,3
8997,23,1,1-23-2018-001-02,2,1,RR,115,CP671,P215/55R17,UA8V DMAL1417,6,0,1,78.99231845,5,3
8998,10,1,1-10-2018-001-06,6,2,LF,70,Eagle LS,P235/65R18,DAVK 3MHR2415,7,0,1,314.2902327,4,3
8998,10,1,1-10-2018-001-06,6,2,RF,70,Eagle LS,P235/65R18,DAVK 3MHR2415,7,0,1,314.2902327,4,3
8998,10,1,1-10-2018-001-06,6,2,LR,70,Eagle LS,P235/65R18,DAVK 3MHR1316,8,0,1,314.2902327,4,3
8998,10,1,1-10-2018-001-06,6,2,RR,70,Eagle LS,P235/65R18,DAVK 3MHR1316,8,0,1,314.2902327,4,3
9046,12,1,1-12-2018-001-04,4,1,LF,103,Energy Saver A/S,P235/55R17,M3JJ 0J0X2817,14,0,1,1398.828823,9,3
9046,12,1,1-12-2018-001-04,4,1,RF,103,Energy Saver A/S,P235/55R17,M3JJ 0J0X2817,14,0,1,1398.828823,9,3
9046,12,1,1-12-2018-001-04,4,1,LR,103,Energy Saver A/S,P235/55R17,M3JJ 0J0X2817,14,0,1,1398.828823,9,3
9046,12,1,1-12-2018-001-04,4,1,RR,103,Energy Saver A/S,P235/55R17,M3JJ 0J0X2817,14,0,1,1398.828823,9,3
9013,27,1,1-27-2018-001-06,6,1,LF,28,TRUE CONTACT,P215/65R16,A36V WBWC0716,7,0,1,189.9540943,3,3
9013,27,1,1-27-2018-001-06,6,1,RF,28,TRUE CONTACT,P215/65R16,A36V WBWC0716,7,1,1,189.9540943,3,3
9013,27,1,1-27-2018-001-06,6,1,LR,28,TRUE CONTACT,P215/65R16,A36V WBWC1516,8,0,1,189.9540943,3,3
9013,27,1,1-27-2018-001-06,6,1,RR,28,TRUE CONTACT,P215/65R16,A36V WBWC1516,8,0,1,189.9540943,3,3
9013,27,1,1-27-2018-001-06,6,2,LF,41,ESTEEM PLUS,P235/65R16,U946 WJJ,3,0,1,189.9540943,3,3
9013,27,1,1-27-2018-001-06,6,2,RF,41,ESTEEM PLUS,P235/65R16,U946 WJJ,4,0,1,189.9540943,3,3
9013,27,1,1-27-2018-001-06,6,2,LR,41,ESTEEM PLUS,P235/65R16,U946 WJJ 1415,6,0,1,189.9540943,3,3
9013,27,1,1-27-2018-001-06,6,2,RR,41,ESTEEM PLUS,P235/65R16,U946 WJJ 1415,6,0,1,189.9540943,3,3
