CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,VIN,WMI,ManufacturerFullName,ManufacturerCommonName,ManufacturerParent,Make,Model,ModelYear,VehicleType,Series,Trim,Series2,Trim2,BodyClass,DoorsCount,EngineModel,DisplacementCC,TransmissionStyle,PlantCity,PlantState,PlantCountry,AdaptiveCruiseControl,ElectronicStabilityControl,ForwardCollisionWarning,LaneDepartureWarning,AntilockBrakeSystem,AutomaticEmergencyBraking,BlindSpotMonitoring,LaneKeepSystem,RearVisibilityCamera,DriverAssist,AdaptiveHeadlights,ParkAssist,VINDecodedOn,ManufacturerId,PlantCompanyName,WheelBaseType,TrackWidth,GrossVehicleWeightRating,CurbWeightLB,WheelBaseIN,WheelBaseUpToIN,WheelsCount,TruckBedType,TruckBedLengthIN,TrailerTypeConnection,TrailerLengthFT,BusFloorConfigurationType,MotorcycleSuspensionType,MotorcycleChassisType,SeatsCount,SeatRowsCount,TransmissionSpeeds,DriveType,AxlesCount,AxleConfiguration,BrakeSystemType,BatteryPacksPerVehicle,BatteryModulesPerPack,BatteryCellsPerModule,BatteryType,ChargerLevel,ChargerPowerKW,EngineManufacturer,EngineStrokeCycles,EngineCylindersCount,EngineCoolingType,FuelTypePrimary,FuelTypeSecondary,FuelDeliveryInjectionType,EngineConfiguration,EnginePowerKW,EngineBrakeHP,EngineBrakeUpToHP,EngineValveTrainDesign,EngineElectrificationLevel,EngineTurbo,SeatBeltsType,Pretensioner,AirBagLocFront,AirBagLocKnee,AirBagLocSide,AirBagLocCurtain,AirBagLocSeatCushion,TractionControl,VINDecodeError,CustomMotorcycleType,TruckBodyCabType,TrailerBodyType,BusType,TPMS,ActiveSafetySysNote,DynamicBrakeSupport,PedestrianAutomaticEmergencyBrak,AutoReverseSystem,AutomaticPedestrianAlertingSound,CAN_AACN,EDR,KeylessIgnition,DaytimeRunningLight,LowerBeamHeadlampLightSource,SemiautomaticHeadlampBeamSwitchi,AdaptiveDrivingBeam,SAEAutomationLevel,SAEAutomationLevel_to,RearCrossTrafficAlert,GrossCombinationWeightRating,GrossCombinationWeightRatingUpTo,NCSANote,NCSAMappingException,NCSAMapExcApprovedOn,NCSAMapExcApprovedBy,GrossVehicleWeightRatingUpTo,ErrorText,BatteryInfo,DestinationMarket,DisplacementCI,DisplacementL,EntertainmentSystem,SteeringLocation,Windows,BrakeSystemDesc,BatteryA,BatteryV,BatteryKWh,EVDriveUnit,Note,WheelSizeFront,WheelSizeRear,OtherRestraintSystemInfo,OtherEngineInfo,BatteryA_to,BatteryV_to,BatteryKWh_to,BasePrice,TopSpeedMPH,SuggestedVIN,PossibleValues,BusLength,OtherBusInfo,OtherMotorcycleInfo,OtherTrailerInfo,AdditionalErrorText_,VehicleDescriptor,CASEWGT,PSUSTRAT,VERSION
9442,20,19,1-20-2018-019-07,7,2,15GGD2119210,15G,GILLIG LLC,Gillig,,GILLIG,Low Floor Bus,2002,BUS,,,,,Bus,,Diesel M11 ISM,10800.0,,HAYWARD,CALIFORNIA,UNITED STATES (USA),,,,,,,,,,,,,26MAY2020:12:41:04.730,1118,,,,"Class 7: 26,001 - 33,000 lb (11,794 - 14,969 kg)",,,,,Not Applicable,,Not Applicable,,,Not Applicable,Not Applicable,,,,,,,Air,,,,,,,Cummins,,,,,,,,,,,,,,,,,,,,,,0,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,"Class 8: 33,001 lb and above (14,969 kg and above)",0 - VIN decoded clean. Check Digit (9th position) is correct,,,661,10.8,,,,,,,,,"GVWR: 26,000 lb and above",,,,,,,,,,,,40,,,,,15GGD211*21******,218.354110375338,11,3
9454,10,12,1-10-2018-012-03,3,2,15GGD2716911,15G,GILLIG LLC,Gillig,,GILLIG,Low Floor Bus,2009,BUS,,,,,Bus,,Diesel ISL,8849.014560,,HAYWARD,CALIFORNIA,UNITED STATES (USA),,,,,,,,,,,,,26MAY2020:12:41:04.870,1118,,,,"Class 7: 26,001 - 33,000 lb (11,794 - 14,969 kg)",,,,,Not Applicable,,Not Applicable,,,Not Applicable,Not Applicable,,,,,,,Air,,,,,,,Cummins,,,,,,,,,,,,,,,,,,,,,,0,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,"Class 8: 33,001 lb and above (14,969 kg and above)",0 - VIN decoded clean. Check Digit (9th position) is correct,,,540,8.9,,,,,,,,,"GVWR: 26,000 lb and above",,,,,,,,,,,,40,,,,,15GGD271*91******,406.543038273422,4,3
9373,15,13,1-15-2018-013-03,3,1,19UDE2F3XHA0,19U,"HONDA OF AMERICA MFG., INC.",Honda,"HONDA MOTOR CO., LTD",ACURA,ILX,2017,PASSENGER CAR,Base/Acura Watch Plus,,,,Sedan/Saloon,4,K24V7,2400.0,Dual-clutch Transmission (DCT),MARYSVILLE,OHIO,UNITED STATES (USA),,Standard,,,Standard,,,,Standard,,,,26MAY2020:12:41:05.200,988,,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,105.10,,4,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,5,2,8,4x2,2,,,,,,,,,Honda,4,4,Water,Gasoline,,,In-Line,149.89,201.00,,Dual Overhead Cam (DOHC),,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st & 2nd Rows,,Standard,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Direct,"Lane Keep System, Lane Departure Warning, Forward Collision Warning, Crash Imminent Braking, Adaptive Cruise Control: Standard for Acura Watch Plus Series",Standard,,,,,,Standard,Standard,,Standard,Standard,,,,,,,,,,,0 - VIN decoded clean. Check Digit (9th position) is correct,,,146.45698582735,2.4,,Left Hand Drive (LHD),,,,,,,,17,17,"seat belts: front, rear, rear center",Direct Fuel Injection,,,,27990.00,138,,,,,,,,19UDE2F3*HA******,222.871267210449,1,3
9422,13,20,1-13-2018-020-05,5,2,19UUA8F58BA0,19U,"HONDA OF AMERICA MFG., INC.",Honda,"HONDA MOTOR CO., LTD",ACURA,TL,2011,PASSENGER CAR,,Tech,,,Sedan/Saloon,4,J35Z6,3474.057568,Automatic,MARYSVILLE,OHIO,UNITED STATES (USA),,,,,,,,,,,,,26MAY2020:12:41:08.200,988,,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,5,,,,,,,,,,,,,6,,Gasoline,,,V-Shaped,,,,Single Overhead Cam (SOHC),,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st & 2nd Rows,,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Direct,,,,,,,,,,,,,,,,,,,,,,,0 - VIN decoded clean. Check Digit (9th position) is correct,,,212,3.474057568,,,,,,,,,,,,Rear Side Curtain Air bag (Rr outer positions). Rear Seat Belts (Rr center position).,,,,,,,,,,,,,,19UUA8F5*BA******,58.8395951709553,7,3
10056,21,37,1-21-2018-037-03,3,1,19UUB2F50GA0,19U,"HONDA OF AMERICA MFG., INC.",Honda,"HONDA MOTOR CO., LTD",ACURA,TLX,2016,PASSENGER CAR,,TECH V6,,,Sedan/Saloon,4,J35Y6,3474.057568,Automatic,MARYSVILLE,OHIO,UNITED STATES (USA),,,,,,,,,,,,,26MAY2020:12:41:09.247,988,,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,9,FWD/Front Wheel Drive,,,,,,,,,,,,6,,Gasoline,,,V-Shaped,216.25,290.00,,Single Overhead Cam (SOHC),,,Manual,,1st Row (Driver & Passenger),Driver Seat Only,1st Row (Driver & Passenger),1st & 2nd Rows,,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Direct,,,,,,,,,,,,,,,,,,,,,,,0 - VIN decoded clean. Check Digit (9th position) is correct,,,212,3.474057568,,,,,,,,,,,,,,,,,,,,,,,,,,19UUB2F5*GA******,211.655151651881,11,3
9985,13,47,1-13-2018-047-01,1,1,19UYA42723A0,19U,"HONDA OF AMERICA MFG., INC.",Honda,"HONDA MOTOR CO., LTD",ACURA,CL,2003,PASSENGER CAR,3.2,SPORT with NAVI,,,Coupe,2,J32A2,3211.864544,Automatic,MARYSVILLE,OHIO,UNITED STATES (USA),,,,,,,,,,,,,26MAY2020:12:41:09.933,988,,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,5,,,,,,,,,,,,,6,,Gasoline,,,V-Shaped,193.88,260.00,,Single Overhead Cam (SOHC),,,Manual,,1st Row (Driver & Passenger),,,,,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,0 - VIN decoded clean. Check Digit (9th position) is correct,,,196,3.211864544,,,,,,,,,,,,,,,,,,,,,,,,,,19UYA427*3A******,117.39487203919,7,3
9245,33,9,1-33-2018-009-03,3,2,19VDE1F38EE0,19V,"HONDA MFG., INDIANA., LLC.",Honda,"HONDA MOTOR CO., LTD",ACURA,ILX,2014,PASSENGER CAR,,20,,,Sedan/Saloon,4,R20A5,1999.221808,Automatic,GREENSBURG,INDIANA,UNITED STATES (USA),,,,,,,,,,,,,26MAY2020:12:41:10.150,993,,,,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,5,,,,,,,,,,,,,4,,Gasoline,,,In-Line,111.86,150.00,,Single Overhead Cam (SOHC),,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st & 2nd Rows,,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Direct,,,,,,,,,,,,,,,,,,,,,,,0 - VIN decoded clean. Check Digit (9th position) is correct,,,122,1.999221808,,,,,,,,,,,,"seat belts: front, rear, rear center",,,,,,,,,,,,,,19VDE1F3*EE******,58.5298818576854,12,3
9924,21,32,1-21-2018-032-06,6,1,19XFA1F57AE0,19X,"HONDA MFG., INDIANA., LLC.",Honda,"HONDA MOTOR CO., LTD",HONDA,Civic,2010,PASSENGER CAR,,LX,,,Sedan/Saloon,4,R18A1,1802.577040,Automatic,GREENSBURG,INDIANA,UNITED STATES (USA),,,,,,,,,,,,,26MAY2020:12:41:11.823,993,,,,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,5,,,,,,,,,,,,,4,,Gasoline,,,In-Line,104.40,140.00,,Single Overhead Cam (SOHC),,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),All Rows,,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Direct,,,,,,,,,,,,,,,,,,,,,,,0 - VIN decoded clean. Check Digit (9th position) is correct,,,110,1.802577040,,,,,,,,,,,,Rear Restraint System: Seat Belt & Side Curtain Air bag (Rr R/L outer positions) / Seat Belt (Rr center position).,,,,,,,,,,,,,,19XFA1F5*AE******,425.793368897942,11,3
9238,30,6,1-30-2018-006-03,3,2,19XFB2F57EE0,19X,"HONDA MFG., INDIANA., LLC.",Honda,"HONDA MOTOR CO., LTD",HONDA,Civic,2014,PASSENGER CAR,LX,,,,Sedan/Saloon,4,R18Z1,1802.577040,Continuously Variable Transmission (CVT),GREENSBURG,INDIANA,UNITED STATES (USA),,,,,,,,,,,,,26MAY2020:12:41:18.120,993,,,,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,4,,Gasoline,,,In-Line,106.64,143.00,,Single Overhead Cam (SOHC),,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st Row (Driver & Passenger),,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Indirect,,,,,,,,,,,,,,,,,,,,,,,0 - VIN decoded clean. Check Digit (9th position) is correct,,,110,1.802577040,,,,,,,,,,,,"seat belts: front, rear, rear center",,,,,,,,,,,,,,19XFB2F5*EE******,1541.99741709989,10,3
9549,15,22,1-15-2018-022-03,3,1,19XFB2F57FE7,19X,"HONDA MFG., INDIANA., LLC.",Honda,"HONDA MOTOR CO., LTD",HONDA,Civic,2015,PASSENGER CAR,LX,,,,Sedan/Saloon,4,R18Z1,1802.577040,Continuously Variable Transmission (CVT),GREENBURG,INDIANA,UNITED STATES (USA),,,,,,,,,,,,,26MAY2020:12:41:18.543,993,,,,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,4,,Gasoline,,,In-Line,106.64,143.00,,Single Overhead Cam (SOHC),,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st Row (Driver & Passenger),,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Indirect,,,,,,,,,,,,,,,,,,,,,,,0 - VIN decoded clean. Check Digit (9th position) is correct,,,110,1.802577040,,,,,,,,,,,,"seat belts: front, rear, rear center",,,,,,,,,,,,,,19XFB2F5*FE******,188.642436496058,1,3
