CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,BAGNO,BAGLOCATION,BAGSTATUS,BAGTYPE,BAGDEPLOY,BAGMALFUNCTION,BAGFLAPSOPEN,BAGFLAPSDAM,BAGDAMAGE,BAGDAMSOURCE,PREVCRASH,PRIORMAINT,DEPLOYEVENT,BAGDVTOTAL,BAGDVLONG,BAGDVLAT,BAGDVENERGY,BAGDVSPEED,BAGDVBES,BAGDVEST,BAGDVRANK,CDCFORDEPLOY,CASEWGT,PSUSTRAT,VERSION
12415,24,1,1-24-2019-001-10,10,1,1,1,1,99,1,0,1,0,0,50,9,9,1,999,999,999,9999999,999,999,7,1,1,4805.57751704535,1,4
12415,24,1,1-24-2019-001-10,10,1,2,5,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,4805.57751704535,1,4
12415,24,1,1-24-2019-001-10,10,1,3,2,1,99,7,0,60,60,60,60,,,,,,,,,,,,,4805.57751704535,1,4
12415,24,1,1-24-2019-001-10,10,1,4,5,1,99,7,0,60,60,60,60,,,,,,,,,,,,,4805.57751704535,1,4
12417,77,1,1-77-2019-001-03,3,2,1,1,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,1016.06557753526,9,4
12417,77,1,1-77-2019-001-03,3,2,2,5,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,1016.06557753526,9,4
12417,77,1,1-77-2019-001-03,3,2,3,8,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,1016.06557753526,9,4
12417,77,1,1-77-2019-001-03,3,2,4,4,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,1016.06557753526,9,4
12417,77,1,1-77-2019-001-03,3,2,5,2,1,1,7,0,60,60,60,60,,,,,,,,,,,,,1016.06557753526,9,4
12417,77,1,1-77-2019-001-03,3,2,6,5,1,1,7,0,60,60,60,60,,,,,,,,,,,,,1016.06557753526,9,4
12417,77,1,1-77-2019-001-03,3,2,7,8,1,1,7,0,60,60,60,60,,,,,,,,,,,,,1016.06557753526,9,4
12419,12,1,1-12-2019-001-03,3,1,1,1,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,339.939384901959,9,4
12419,12,1,1-12-2019-001-03,3,1,2,8,1,1,1,0,1,0,0,50,1,1,3,19,0,-19,21071,998,19,0,1,1,339.939384901959,9,4
12419,12,1,1-12-2019-001-03,3,1,3,2,1,99,7,0,60,60,60,60,1,1,60,,,,,,,,,60,339.939384901959,9,4
12419,12,1,1-12-2019-001-03,3,1,4,8,1,1,1,0,1,0,0,50,1,1,3,19,0,-19,21071,998,19,0,1,1,339.939384901959,9,4
12419,12,1,1-12-2019-001-03,3,1,5,5,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,339.939384901959,9,4
12419,12,1,1-12-2019-001-03,3,1,6,5,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,339.939384901959,9,4
12422,23,1,1-23-2019-001-07,7,1,1,1,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,1421.50072655981,5,4
12422,23,1,1-23-2019-001-07,7,1,2,5,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,1421.50072655981,5,4
12422,23,1,1-23-2019-001-07,7,1,3,8,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,1421.50072655981,5,4
12422,23,1,1-23-2019-001-07,7,1,4,2,1,1,7,0,60,60,60,60,,,,,,,,,,,,,1421.50072655981,5,4
12422,23,1,1-23-2019-001-07,7,1,5,5,1,1,7,0,60,60,60,60,,,,,,,,,,,,,1421.50072655981,5,4
12422,23,1,1-23-2019-001-07,7,1,6,8,1,1,7,0,60,60,60,60,,,,,,,,,,,,,1421.50072655981,5,4
12434,14,1,1-14-2019-001-04,4,1,1,1,1,1,7,0,60,60,60,60,2,1,60,,,,,,,,,60,1402.876821981,8,4
12434,14,1,1-14-2019-001-04,4,1,2,3,1,1,7,0,60,60,60,60,,,,,,,,,,,,,1402.876821981,8,4
12434,14,1,1-14-2019-001-04,4,1,3,5,1,1,7,0,60,60,60,60,2,1,60,,,,,,,,,60,1402.876821981,8,4
12434,14,1,1-14-2019-001-04,4,1,4,8,1,1,7,0,60,60,60,60,2,1,60,,,,,,,,,60,1402.876821981,8,4
12434,14,1,1-14-2019-001-04,4,1,5,5,1,1,7,0,60,60,60,60,,,,,,,,,,,,,1402.876821981,8,4
12434,14,1,1-14-2019-001-04,4,1,6,8,1,1,7,0,60,60,60,60,,,,,,,,,,,,,1402.876821981,8,4
12442,11,2,1-11-2019-002-09,9,1,1,1,1,99,1,0,1,0,0,50,2,9,2,9,-8,-3,13232,998,9,0,1,1,928.921429640586,8,4
12442,11,2,1-11-2019-002-09,9,1,2,5,1,99,7,0,60,60,60,60,2,9,70,,,,,,,,,70,928.921429640586,8,4
12442,11,2,1-11-2019-002-09,9,1,3,8,1,99,7,0,60,60,60,60,2,9,60,,,,,,,,,60,928.921429640586,8,4
12442,11,2,1-11-2019-002-09,9,1,4,2,1,99,1,0,1,0,0,50,,,,,,,,,,,,,928.921429640586,8,4
12442,11,2,1-11-2019-002-09,9,1,5,5,1,99,7,0,60,60,60,60,,,,,,,,,,,,,928.921429640586,8,4
12442,11,2,1-11-2019-002-09,9,1,6,8,1,99,7,0,60,60,60,60,,,,,,,,,,,,,928.921429640586,8,4
12444,19,1,1-19-2019-001-01,1,1,1,1,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,93.6457609646072,9,4
12444,19,1,1-19-2019-001-01,1,1,2,5,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,93.6457609646072,9,4
12444,19,1,1-19-2019-001-01,1,1,3,6,1,1,1,0,1,0,0,50,1,1,2,999,999,999,9999999,999,999,7,1,1,93.6457609646072,9,4
12444,19,1,1-19-2019-001-01,1,1,4,8,1,1,1,0,1,0,0,50,1,1,2,999,999,999,9999999,999,999,7,1,1,93.6457609646072,9,4
12444,19,1,1-19-2019-001-01,1,1,5,2,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,93.6457609646072,9,4
12444,19,1,1-19-2019-001-01,1,1,6,5,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,93.6457609646072,9,4
12444,19,1,1-19-2019-001-01,1,1,7,8,1,1,1,0,1,0,0,50,1,1,2,999,999,999,9999999,999,999,7,1,1,93.6457609646072,9,4
12446,32,2,1-32-2019-002-09,9,1,1,1,1,99,7,0,60,60,60,60,8,9,60,,,,,,,,,60,580.322202098339,7,4
12446,32,2,1-32-2019-002-09,9,1,2,5,1,99,1,0,1,0,0,50,8,9,1,999,999,999,9999999,999,9,1,1,1,580.322202098339,7,4
12446,32,2,1-32-2019-002-09,9,1,3,8,1,99,1,0,1,0,0,50,8,9,1,999,999,999,9999999,999,9,1,1,1,580.322202098339,7,4
12446,32,2,1-32-2019-002-09,9,1,4,2,1,99,7,0,60,60,60,60,,,,,,,,,,,,,580.322202098339,7,4
12446,32,2,1-32-2019-002-09,9,1,5,5,1,99,7,0,60,60,60,60,,,,,,,,,,,,,580.322202098339,7,4
12446,32,2,1-32-2019-002-09,9,1,6,8,1,99,7,0,60,60,60,60,,,,,,,,,,,,,580.322202098339,7,4
12449,17,1,1-17-2019-001-09,9,1,1,1,1,1,1,0,1,0,0,50,1,1,1,999,999,999,9999999,999,999,6,1,1,961.723266068137,4,4
12449,17,1,1-17-2019-001-09,9,1,2,3,1,1,1,0,1,0,0,50,,,,,,,,,,,,,961.723266068137,4,4
12452,26,1,1-26-2019-001-02,2,1,1,1,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,22.2200532685247,10,4
12452,26,1,1-26-2019-001-02,2,1,2,5,1,1,1,0,1,0,0,50,1,1,1,12,-10,6,6290,998,8,0,2,2,22.2200532685247,10,4
12452,26,1,1-26-2019-001-02,2,1,3,8,1,1,1,0,1,0,97,97,1,1,1,12,-10,6,6290,998,8,0,2,2,22.2200532685247,10,4
