CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EQUIP,AVAIL,ACTIVATE,CASEWGT,PSUSTRAT,VERSION
12417,77,1,1-77-2019-001-03,3,2,1,1,2,1016.06557753526,9,4
12417,77,1,1-77-2019-001-03,3,2,2,0,8,1016.06557753526,9,4
12417,77,1,1-77-2019-001-03,3,2,3,0,8,1016.06557753526,9,4
12417,77,1,1-77-2019-001-03,3,2,4,1,1,1016.06557753526,9,4
12417,77,1,1-77-2019-001-03,3,2,5,1,2,1016.06557753526,9,4
12417,77,1,1-77-2019-001-03,3,2,6,1,9,1016.06557753526,9,4
12417,77,1,1-77-2019-001-03,3,2,7,1,2,1016.06557753526,9,4
12417,77,1,1-77-2019-001-03,3,2,8,1,9,1016.06557753526,9,4
12417,77,1,1-77-2019-001-03,3,2,9,1,2,1016.06557753526,9,4
12417,77,1,1-77-2019-001-03,3,2,10,1,2,1016.06557753526,9,4
12417,77,1,1-77-2019-001-03,3,2,11,1,9,1016.06557753526,9,4
12417,77,1,1-77-2019-001-03,3,2,12,1,9,1016.06557753526,9,4
12419,12,1,1-12-2019-001-03,3,1,1,0,8,339.939384901959,9,4
12419,12,1,1-12-2019-001-03,3,1,2,0,8,339.939384901959,9,4
12419,12,1,1-12-2019-001-03,3,1,3,0,8,339.939384901959,9,4
12419,12,1,1-12-2019-001-03,3,1,4,1,9,339.939384901959,9,4
12419,12,1,1-12-2019-001-03,3,1,5,1,2,339.939384901959,9,4
12419,12,1,1-12-2019-001-03,3,1,6,0,8,339.939384901959,9,4
12419,12,1,1-12-2019-001-03,3,1,7,0,8,339.939384901959,9,4
12419,12,1,1-12-2019-001-03,3,1,8,0,8,339.939384901959,9,4
12419,12,1,1-12-2019-001-03,3,1,9,0,8,339.939384901959,9,4
12419,12,1,1-12-2019-001-03,3,1,10,0,8,339.939384901959,9,4
12419,12,1,1-12-2019-001-03,3,1,11,0,8,339.939384901959,9,4
12419,12,1,1-12-2019-001-03,3,1,12,0,8,339.939384901959,9,4
12422,23,1,1-23-2019-001-07,7,1,1,0,8,1421.50072655981,5,4
12422,23,1,1-23-2019-001-07,7,1,2,0,8,1421.50072655981,5,4
12422,23,1,1-23-2019-001-07,7,1,3,0,8,1421.50072655981,5,4
12422,23,1,1-23-2019-001-07,7,1,4,1,1,1421.50072655981,5,4
12422,23,1,1-23-2019-001-07,7,1,5,0,8,1421.50072655981,5,4
12422,23,1,1-23-2019-001-07,7,1,6,0,8,1421.50072655981,5,4
