CASEID,CRASHYEAR,PSU,CASENO,CASENUMBER,CATEGORY,CRASHMONTH,DAYOFWEEK,CRASHTIME,EVENTS,VEHICLES,CAIS,CISS,CINJURED,CINJSEV,CTREAT,ALCINV,DRGINV,MANCOLL,SUMMARY,CASEWGT,PSUSTRAT,VERSION
14962,2019,13,70,1-13-2019-070-01,1,9,6,18:57,2,2,3,19,3,2,1,2,2,4,"Vehicle 1 was traveling west, approaching an intersection and Vehicle 2 was traveling east, approaching the same intersection. V1 entered the intersection going straight; V2 entered the intersection turning left. Within the intersection, the front of V1 contacted the front of V2. V1 departed the roadway on the north-west corner and the front of V1 contacted a traffic signal control box.",138.833520606691,7,4
14963,2019,52,55,1-52-2019-055-03,3,9,7,04:34,3,1,99,99,0,0,9,9,9,0,"V1 was traveling south on a 4 lane two way roadway attempting to maneuver through a roundabout. The front of V1 made contact with a water cap, then continued through the center of the roundabout, striking landscaping rocks with the left side. V1 then contacted a breakaway pole with the right side. V1 continued south before coming to rest on the center median.",53.3844730154404,12,4
14972,2019,24,107,1-24-2019-107-09,9,9,5,22:28,2,2,1,1,1,0,4,9,9,4,"V1 was traveling eastbound on a four-lane, undivided roadway approaching an intersection controlled by a traffic light. V2 was traveling southbound on a two-lane, undivided roadway approaching the intersection. The front of V1 struck the right side of V2. After initial impact V2 departed the roadway on the southwest corner where the front plane struck a utility pole.",1740.24684024592,1,4
14973,2019,24,108,1-24-2019-108-06,6,9,2,08:03,3,2,1,2,2,0,4,2,2,4,"V1 was traveling northbound on a two-lane, undivided roadway approaching a stop sign controlled intersection. V2 was traveling eastbound on a two-lane undivided roadway approaching the same intersection. The front of V2 contacted the left side of V1, after impact V1 travelled off the roadway and the front struck two fence poles.",613.033693835553,1,4
15865,2019,11,113,1-11-2019-113-03,3,12,6,14:30,1,2,4,99,2,1,3,2,2,4,"Vehicle #1 was traveling eastbound crossing thru the intersection of a seven lane median divided roadway. Vehicle #1 entered into the travel lanes of Vehicle #2, which was traveling northbound. The frontal plane of Vehicle #1 contact the left side plane of Vehicle #2. After contact both vehicles left the roadway and came to rest on the grass shoulder area of the intersection.",2223.28446964219,8,4
15866,2019,11,114,1-11-2019-114-02,2,12,4,19:17,2,3,2,5,2,0,3,1,1,4,"Vehicle #1 was traveling northbound making a left turn within the intersection, while Vehicle #2 was traveling eastbound entering the intersection. Vehicle #1's frontal plane contacted the right side plane of Vehicle #2. Both Vehicles #1 and #2 after contact, crossed over westbound traffic lanes and came to rest on the shoulder of the roadway. Vehicle #3 was traveling westbound within the intersection and vehicle's windshield was contacted by debris from Vehicle #1 and Vehicle #2 impact.",86.6841585309432,8,4
15867,2019,24,143,1-24-2019-143-04,4,12,2,17:11,1,2,1,1,1,0,6,2,2,4,"V1 was exiting a parking lot, making a left turn. V2 was traveling eastbound on a two-lane roadway. The front of V2 contacted the left side of V1.",860.068020908545,1,4
15868,2019,24,144,1-24-2019-144-06,6,12,7,07:45,1,1,1,2,1,0,4,9,2,0,"V1 was traveling southbound on a divided, four-lane roadway. V1 departed the roadway on the right side where the front plane struck a tree.",408.056323169328,1,4
15869,2019,24,145,1-24-2019-145-02,2,12,6,13:19,2,3,3,17,2,1,3,2,2,1,"V1 was traveling east in the inside lane on a four lane roadway. V2 was traveling east in front of V1. The front plane of V1 contacted the rear plane of V2. After initial impact with V1, V2 departed the left lane line and onto oncoming traffic where the front plane of V2 contacted the front plane of V3.",78.6031553435595,1,4
15870,2019,28,71,1-28-2019-071-04,4,12,4,13:54,1,2,1,2,1,0,6,2,2,4,"V2 was traveling east bound on a two lane non divided bidirectional roadway, negotiating a slight curve to the left. V1 was entering the same roadway, turning left from a private drive. V1 frontal plane impacted V2 frontal plane, causing V1 to rotate clockwise. V2 came to final rest off the north side of the roadway. V1 came to final rest off  the south side of the roadway.",184.012564194104,3,4
15871,2019,28,72,1-28-2019-072-04,4,12,3,00:45,1,1,1,1,1,0,0,2,2,0,"V1 was south bound on a 2 lane roadway. The roadway had a curve to the right. V1 left the roadway to the left, where it traveled approximately 135 meters parallel with the roadway. V1 began to yaw clockwise then rolled, left side leading, 5 quarter turns before the vehicle came to final rest on its left side.",184.012564194104,3,4
