CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,DISTRACTN,CASEWGT,PSUSTRAT,VERSION
15868,24,144,1-24-2019-144-06,6,1,99,408.056323169328,1,4
15871,28,72,1-28-2019-072-04,4,1,1,184.012564194104,3,4
14155,26,75,1-26-2019-075-06,6,1,1,501.170760834925,10,4
14148,12,39,1-12-2019-039-03,3,1,10,329.332719068992,9,4
14204,16,44,1-16-2019-044-04,4,1,99,808.873953630084,5,4
14102,13,45,1-13-2019-045-03,3,1,1,1633.86378194072,7,4
14202,52,30,1-52-2019-030-09,9,1,1,352.417172866896,12,4
14209,32,77,1-32-2019-077-10,10,1,6,22176.1474139505,7,4
14233,27,40,1-27-2019-040-08,8,1,9,101.970951431176,3,4
12840,20,10,1-20-2019-010-02,2,1,99,44.6123262498575,11,4
14225,29,74,1-29-2019-074-06,6,1,99,178.615812030058,2,4
14226,76,30,1-76-2019-030-02,2,1,1,17.1010575156691,3,4
14249,16,45,1-16-2019-045-03,3,1,10,259.118709731833,5,4
13739,32,58,1-32-2019-058-04,4,1,9,3828.76679768169,7,4
14263,59,49,1-59-2019-049-02,2,1,1,169.504157105603,6,4
14281,15,50,1-15-2019-050-04,4,1,1,542.020165044445,1,4
14284,19,35,1-19-2019-035-04,4,1,8,587.808069448999,9,4
14289,25,48,1-25-2019-048-09,9,1,1,602.258516131241,2,4
14290,17,76,1-17-2019-076-04,4,1,8,443.187026167899,4,4
14294,26,82,1-26-2019-082-02,2,1,99,50.0889184075173,10,4
13734,32,55,1-32-2019-055-09,9,1,1,5526.38425638474,7,4
13970,22,55,1-22-2019-055-08,8,1,1,63.3285321682701,12,4
13972,21,52,1-21-2019-052-01,1,1,1,43.4063009964439,11,4
13287,28,15,1-28-2019-015-04,4,1,10,419.77797431206,3,4
13290,12,19,1-12-2019-019-09,9,1,99,2060.49802009167,9,4
13225,76,12,1-76-2019-012-05,5,1,9,31.8168615820179,3,4
13229,66,19,1-66-2019-019-04,4,1,9,182.70742258655,6,4
13609,32,48,1-32-2019-048-06,6,1,8,1360.07503420019,7,4
13573,12,27,1-12-2019-027-10,10,1,9,4146.9568587977,9,4
13526,26,44,1-26-2019-044-03,3,1,9,363.369043519196,10,4
13528,18,21,1-18-2019-021-03,3,1,1,287.528372136407,6,4
13479,24,44,1-24-2019-044-06,6,1,1,357.573485202025,1,4
13481,77,37,1-77-2019-037-06,6,1,1,878.104685809995,9,4
13165,27,14,1-27-2019-014-03,3,1,99,72.2721835363077,3,4
13167,26,28,1-26-2019-028-06,6,1,9,1163.43148307446,10,4
13466,21,38,1-21-2019-038-05,5,1,10,93.9523849766589,11,4
13467,33,38,1-33-2019-038-06,6,1,7,78.8703353272887,12,4
13471,26,42,1-26-2019-042-08,8,1,1,343.397094972708,10,4
13473,32,43,1-32-2019-043-09,9,1,6,1834.34036527846,7,4
13478,24,43,1-24-2019-043-03,3,1,6,268.441201018451,1,4
13509,48,22,1-48-2019-022-03,3,1,9,226.321271513711,12,4
13510,17,41,1-17-2019-041-02,2,1,3,57.5680443688784,4,4
