CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,GVWR,GAWRFRONT,GAWRREAR,RECFRONT1,RECFRPRESS1,RECREAR1,RECRRPRESS1,RECFRONT2,RECFRPRESS2,RECREAR2,RECRRPRESS2,RECFRONT3,RECFRPRESS3,RECREAR3,RECRRPRESS3,CASEWGT,PSUSTRAT,VERSION
12415,24,1,1-24-2019-001-10,10,1,9999,9999,9999,9999999999,999,9999999999,999,,,,,,,,,4805.57751704535,1,4
12419,12,1,1-12-2019-001-03,3,1,1700,876,943,P215/45R17,240,P215/45R17,240,,,,,,,,,339.939384901959,9,4
12417,77,1,1-77-2019-001-03,3,2,2105,1150,1150,P225/65R17,230,P225/65R17,230,,,,,,,,,1016.06557753526,9,4
12442,11,2,1-11-2019-002-09,9,1,2994,1434,1769,P265/70R16,220,P265/70R16,220,,,,,,,,,928.921429640586,8,4
12434,14,1,1-14-2019-001-04,4,1,1760,980,910,P195/65R15,230,P195/65R15,230,,,,,,,,,1402.876821981,8,4
12449,17,1,1-17-2019-001-09,9,1,2375,1183,1214,P225/60R16,220,P225/60R16,220,,,,,,,,,961.723266068137,4,4
12446,32,2,1-32-2019-002-09,9,1,2172,1072,1109,P225/55R17,230,P225/55R17,230,,,,,,,,,580.322202098339,7,4
12455,59,2,1-59-2019-002-04,4,1,9999,9999,9999,9999999999,999,9999999999,999,,,,,,,,,388.969009954007,6,4
12477,30,2,1-30-2019-002-04,4,1,3130,1746,1792,P255/70R17,240,P255/70R17,240,,,,,,,,,315.64493614952,10,4
12471,21,1,1-21-2019-001-03,3,2,1600,850,840,P175/70R14,220,P175/70R14,220,,,,,,,,,184.469405006755,11,4
12477,30,2,1-30-2019-002-04,4,2,3270,1815,1885,P275/65R18,210,P275/65R18,230,,,,,,,,,315.64493614952,10,4
12468,18,1,1-18-2019-001-08,8,1,2268,1065,1290,P225/75R16,200,P225/75R16,220,,,,,,,,,145.317860723262,6,4
12462,22,1,1-22-2019-001-08,8,1,2076,1080,1044,P215/60R17,220,P215/60R17,220,,,,,,,,,89.5221923404952,12,4
12452,26,1,1-26-2019-001-02,2,1,1574,847,773,P185/65R15,230,P185/65R15,230,,,,,,,,,22.2200532685247,10,4
12452,26,1,1-26-2019-001-02,2,2,1980,900,1100,P205/55R16,240,P205/55R16,290,,,,,,,,,22.2200532685247,10,4
12444,19,1,1-19-2019-001-01,1,1,3221,1452,1860,P275/55R20,240,P275/55R20,240,,,,,,,,,93.6457609646072,9,4
12475,10,1,1-10-2019-001-10,10,1,9999,9999,9999,9999999999,999,9999999999,999,,,,,,,,,1588.71975497458,4,4
12479,29,2,1-29-2019-002-06,6,1,1944,1076,901,P225/45R17,235,P225/45R17,235,,,,,,,,,206.157258091837,2,4
12479,29,2,1-29-2019-002-06,6,2,2043,964,1139,P225/50R17,220,P225/50R17,220,,,,,,,,,206.157258091837,2,4
12476,20,1,1-20-2019-001-09,9,1,1950,890,1105,P205/50R17,260,P205/50R17,310,,,,,,,,,138.068676004783,11,4
12491,24,2,1-24-2019-002-04,4,1,2030,1188,1098,P235/45R18,240,P235/45R18,240,,,,,,,,,2281.57338463435,1,4
12488,11,3,1-11-2019-003-07,7,1,2300,9999,9999,P235/65R16,999,P235/65R16,999,,,,,,,,,5501.90113032407,8,4
12488,11,3,1-11-2019-003-07,7,2,1910,1005,940,P215/60R16,220,P215/60R16,220,,,,,,,,,5501.90113032407,8,4
12488,11,3,1-11-2019-003-07,7,3,9999,9999,9999,P245/60R18,999,P245/60R18,999,,,,,,,,,5501.90113032407,8,4
12495,28,1,1-28-2019-001-07,7,1,1990,1020,1030,P235/45R17,230,P235/45R17,220,,,,,,,,,188.933692908723,3,4
12496,32,3,1-32-2019-003-06,6,1,2405,1407,1437,P215/75R15,241,P215/75R15,241,,,,,,,,,1882.75480161728,7,4
12497,32,4,1-32-2019-004-07,7,2,1685,980,970,P195/65R15,228,P195/65R15,228,,,,,,,,,6526.06701852629,7,4
12496,32,3,1-32-2019-003-06,6,4,1978,956,1028,P225/45R18,240,P245/45R18,240,,,,,,,,,1882.75480161728,7,4
12499,76,1,1-76-2019-001-06,6,1,2903,1792,1701,P265/70R17,240,P265/70R17,240,,,,,,,,,49.4254425182419,3,4
12505,23,3,1-23-2019-003-03,3,1,9999,9999,9999,9999999999,999,9999999999,999,,,,,,,,,145.584933403066,5,4
12505,23,3,1-23-2019-003-03,3,2,2047,1039,1008,P235/50R18,230,P235/50R18,230,,,,,,,,,145.584933403066,5,4
12501,16,1,1-16-2019-001-09,9,1,2714,1240,1508,P235/70R16,240,P235/70R16,240,,,,,,,,,827.764153416687,5,4
12506,23,4,1-23-2019-004-04,4,1,9999,9999,9999,9999999999,999,9999999999,999,,,,,,,,,380.869037562636,5,4
12514,27,1,1-27-2019-001-06,6,1,9999,9999,9999,9999999999,999,9999999999,999,,,,,,,,,127.195256322696,3,4
12509,25,1,1-25-2019-001-05,5,1,9999,9999,9999,9999999999,999,9999999999,999,,,,,,,,,93.5553684959491,2,4
12511,73,1,1-73-2019-001-06,6,1,1810,972,880,P215/55R16,240,P215/55R16,240,,,,,,,,,267.702349067211,3,4
12510,54,1,1-54-2019-001-06,6,1,1861,969,892,P215/60R16,240,P215/60R16,240,,,,,,,,,880.16844999361,9,4
12527,17,3,1-17-2019-003-06,6,1,3175,1792,1792,P265/65R18,240,P265/65R18,240,,,,,,,,,237.495424998864,4,4
12519,26,2,1-26-2019-002-06,6,2,2100,1191,1191,P205/65R16,240,P205/65R16,240,,,,,,,,,973.309185582467,10,4
12535,66,1,1-66-2019-001-10,10,1,4399,2358,3098,LT265/75R16,380,LT265/75R16,550,,,,,,,,,384.71786995987,6,4
12535,66,1,1-66-2019-001-10,10,2,1760,1000,860,P205/55R16,210,P205/55R16,210,P215/45R17,220,P215/45R17,220,,,,,384.71786995987,6,4
12534,31,1,1-31-2019-001-04,4,1,2118,1089,1029,P225/55R19,240,P225/55R19,240,,,,,,,,,960.230949818511,6,4
12523,29,3,1-29-2019-003-06,6,1,1988,1034,954,P215/55R17,210,P215/55R17,210,,,,,,,,,188.943807610028,2,4
12536,66,2,1-66-2019-002-09,9,1,2541,1293,1293,P215/65R16,248,P215/65R16,248,,,,,,,,,136.008717845864,6,4
12537,19,2,1-19-2019-002-02,2,2,2040,1160,1140,P205/65R16,235,P205/65R16,235,,,,,,,,,66.9391379556163,9,4
12521,30,3,1-30-2019-003-07,7,1,2070,1050,1040,P225/65R17,210,P225/65R17,210,,,,,,,,,979.901029870445,10,4
12521,30,3,1-30-2019-003-07,7,3,9999,9999,9999,9999999999,999,9999999999,999,,,,,,,,,979.901029870445,10,4
12531,59,5,1-59-2019-005-10,10,1,9999,9999,9999,P235/65R17,230,P235/65R17,230,,,,,,,,,2553.85143584925,6,4
12531,59,5,1-59-2019-005-10,10,2,1951,1180,1007,P215/60R17,220,P215/60R17,220,,,,,,,,,2553.85143584925,6,4
12529,59,3,1-59-2019-003-10,10,2,1916,1066,850,9999999999,999,9999999999,999,,,,,,,,,2553.85143584925,6,4
12526,17,2,1-17-2019-002-07,7,1,2228,1166,1062,P235/50R18,230,P235/50R18,230,,,,,,,,,778.517243118384,4,4
12530,59,4,1-59-2019-004-03,3,2,2800,1450,1600,P255/55R20,240,P255/55R20,240,,,,,,,,,118.763983508724,6,4
12539,33,2,1-33-2019-002-09,9,1,2658,1350,1315,P235/55R17,240,P235/55R17,240,,,,,,,,,153.055535950873,12,4
12542,21,3,1-21-2019-003-09,9,1,9999,9999,9999,9999999999,999,9999999999,999,,,,,,,,,589.936165960683,11,4
12540,33,3,1-33-2019-003-09,9,1,2903,1780,1701,P265/70R17,240,P265/70R17,240,,,,,,,,,153.055535950873,12,4
12541,21,2,1-21-2019-002-06,6,1,9999,9999,9999,9999999999,999,9999999999,999,,,,,,,,,222.863974654819,11,4
12541,21,2,1-21-2019-002-06,6,2,1660,900,790,9999999999,999,9999999999,999,,,,,,,,,222.863974654819,11,4
12541,21,2,1-21-2019-002-06,6,3,3175,1531,1724,P265/70R17,240,P265/70R17,240,,,,,,,,,222.863974654819,11,4
12544,22,2,1-22-2019-002-04,4,2,3901,1928,2722,LT245/75R16,340,LT245/75R16,550,,,,,,,,,228.172632478998,12,4
12545,22,3,1-22-2019-003-06,6,1,1810,940,883,P215/55R16,240,P215/55R16,240,,,,,,,,,100.941428458699,12,4
12545,22,3,1-22-2019-003-06,6,2,2029,1102,928,P225/50R17,215,P225/50R17,215,,,,,,,,,100.941428458699,12,4
12548,15,2,1-15-2019-002-03,3,1,2050,1070,1030,9999999999,999,9999999999,999,,,,,,,,,928.39630963818,1,4
12548,15,2,1-15-2019-002-03,3,2,2195,1134,1067,P235/50R18,240,P235/50R18,240,,,,,,,,,928.39630963818,1,4
12547,15,1,1-15-2019-001-02,2,1,1891,1059,1014,9999999999,999,9999999999,999,,,,,,,,,32.0933381962881,1,4
12493,77,2,1-77-2019-002-04,4,1,1733,939,839,P205/55R16,220,P205/55R16,220,,,,,,,,,3480.14600733742,9,4
12516,13,1,1-13-2019-001-04,4,2,2041,982,1080,P235/50R18,220,P235/50R18,220,,,,,,,,,2004.43122332053,7,4
12550,30,5,1-30-2019-005-04,4,2,1539,814,738,P185/60R16,250,P185/60R16,230,,,,,,,,,653.985964924972,10,4
12551,12,3,1-12-2019-003-04,4,2,1944,1065,995,P205/70R16,240,P205/70R16,240,,,,,,,,,644.399718582018,9,4
12553,11,4,1-11-2019-004-02,2,1,2009,1066,966,P235/50R17,230,P235/50R17,230,,,,,,,,,200.113582168481,8,4
12558,73,2,1-73-2019-002-09,9,1,2404,1202,1293,P255/65R16,207,P255/65R16,207,,,,,,,,,456.871467646979,3,4
12558,73,2,1-73-2019-002-09,9,2,3130,1633,1814,P265/70R16,240,P265/70R16,240,,,,,,,,,456.871467646979,3,4
12559,54,2,1-54-2019-002-01,1,1,2123,1210,1070,P215/55R17,210,P215/55R17,210,,,,,,,,,216.437365369528,9,4
12556,24,3,1-24-2019-003-03,3,1,1900,984,916,P245/45R18,240,P245/45R18,240,,,,,,,,,702.21699322091,1,4
12556,24,3,1-24-2019-003-03,3,2,2715,1405,1405,P235/55R18,240,P235/55R18,240,,,,,,,,,702.21699322091,1,4
12561,32,5,1-32-2019-005-03,3,1,1733,939,839,P215/45R17,220,P215/45R17,220,,,,,,,,,1213.94832208421,7,4
12561,32,5,1-32-2019-005-03,3,2,9999,9999,9999,9999999999,999,9999999999,999,,,,,,,,,1213.94832208421,7,4
12562,32,6,1-32-2019-006-04,4,2,2155,1050,1150,P185/60R15,300,P185/60R15,320,,,,,,,,,3263.16843419561,7,4
12572,28,2,1-28-2019-002-07,7,1,2808,1343,1542,P245/65R17,240,P245/65R17,240,,,,,,,,,619.489629706347,3,4
12555,77,3,1-77-2019-003-06,6,1,2765,1325,1525,P235/60R18,240,P235/60R18,240,,,,,,,,,1031.08614269105,9,4
12555,77,3,1-77-2019-003-06,6,2,2020,1045,1000,P215/70R16,230,P215/70R16,240,,,,,,,,,1031.08614269105,9,4
12570,52,1,1-52-2019-001-06,6,2,2541,1248,1452,P235/65R17,228,P235/65R17,228,,,,,,,,,72.9319482362143,12,4
12573,31,2,1-31-2019-002-07,7,1,1990,1036,954,P215/55R17,210,P215/55R17,210,,,,,,,,,346.655110798758,6,4
