CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,WHEELBASE,OAL,MAXWIDTH,CURBWT,TRACKWIDTH,OVERHANG_FRT,OVERHANG_REAR,UEW,ENG_CYL,ENG_DISP,TRANSMISSION,DRVWHEELS,ALTVEH,SUSPMODS,CASEWGT,PSUSTRAT,VERSION
12415,24,1,1-24-2019-001-10,10,1,270,475,182,1476,155,95,110,150,4,2.7,2,1,0,0,4805.57751704535,1,4
12419,12,1,1-12-2019-001-03,3,1,257,424,178,1251,154,85,82,150,4,2.0,1,2,0,0,339.939384901959,9,4
12422,23,1,1-23-2019-001-07,7,1,256,438,169,1235,149,91,92,134,4,1.3,2,1,0,0,1421.50072655981,5,4
12417,77,1,1-77-2019-001-03,3,1,280,484,183,1468,159,97,108,150,4,2.4,2,1,9,0,1016.06557753526,9,4
12417,77,1,1-77-2019-001-03,3,2,266,460,185,1610,157,94,100,160,4,2.5,2,4,0,0,1016.06557753526,9,4
12442,11,2,1-11-2019-002-09,9,1,300,518,191,2390,168,96,123,162,8,4.7,2,3,0,1,928.921429640586,8,4
12434,14,1,1-14-2019-001-04,4,1,270,456,178,1272,157,88,98,156,4,2.0,2,1,0,0,1402.876821981,8,4
12449,17,1,1-17-2019-001-09,9,1,291,538,199,1795,164,108,139,152,8,4.6,2,2,0,0,961.723266068137,4,4
12446,32,2,1-32-2019-002-09,9,1,285,475,177,1680,150,82,110,152,6,3.5,2,4,0,0,580.322202098339,7,4
12454,33,1,1-33-2019-001-07,7,1,272,481,179,1540,155,94,115,150,6,3.0,2,1,0,0,106.863578762211,12,4
12454,33,1,1-33-2019-001-07,7,2,278,486,185,1631,158,96,112,999,6,3.5,2,1,9,0,106.863578762211,12,4
12455,59,2,1-59-2019-002-04,4,1,265,444,175,1227,150,87,92,150,4,1.8,2,1,0,0,388.969009954007,6,4
12455,59,2,1-59-2019-002-04,4,2,257,424,181,1447,154,88,81,999,4,2.4,9,3,0,0,388.969009954007,6,4
12471,21,1,1-21-2019-001-03,3,1,289,481,183,1984,155,82,112,999,6,4.0,9,2,9,0,184.469405006755,11,4
12477,30,2,1-30-2019-002-04,4,1,365,573,203,2269,173,100,108,180,6,4.3,2,2,0,1,315.64493614952,10,4
12471,21,1,1-21-2019-001-03,3,2,257,437,172,1155,150,82,97,137,4,1.6,2,1,0,0,184.469405006755,11,4
12477,30,2,1-30-2019-002-04,4,2,370,574,203,2450,173,90,114,180,8,5.7,2,3,0,0,315.64493614952,10,4
12468,18,1,1-18-2019-001-08,8,1,276,448,174,1867,145,73,101,150,6,3.2,2,3,0,0,145.317860723262,6,4
12462,22,1,1-22-2019-001-08,8,1,264,441,176,1404,151,89,90,162,4,2.4,2,3,0,0,89.5221923404952,12,4
12462,22,1,1-22-2019-001-08,8,2,267,477,181,1365,155,99,111,150,4,2.4,2,1,0,0,89.5221923404952,12,4
12452,26,1,1-26-2019-001-02,2,1,260,415,170,1114,148,84,71,150,4,1.6,2,1,0,0,22.2200532685247,10,4
12452,26,1,1-26-2019-001-02,2,2,273,447,174,1470,149,74,100,152,6,2.5,2,2,0,0,22.2200532685247,10,4
12444,19,1,1-19-2019-001-01,1,1,295,518,204,2408,175,102,120,170,8,5.3,2,2,0,0,93.6457609646072,9,4
12468,18,1,1-18-2019-001-08,8,2,350,538,202,2365,174,77,112,999,8,5.8,9,9,9,0,145.317860723262,6,4
12475,10,1,1-10-2019-001-10,10,1,281,508,185,1552,157,108,121,160,6,3.4,2,1,0,0,1588.71975497458,4,4
12479,29,2,1-29-2019-002-06,6,1,271,468,183,1471,157,98,99,155,4,2.0,2,1,0,0,206.157258091837,2,4
12479,29,2,1-29-2019-002-06,6,2,281,463,181,1565,154,78,104,160,4,2.0,2,4,0,0,206.157258091837,2,4
12476,20,1,1-20-2019-001-09,9,1,273,447,174,1470,149,74,100,156,6,2.5,1,2,0,1,138.068676004783,11,4
12491,24,2,1-24-2019-002-04,4,1,283,490,183,1515,158,98,109,156,4,2.5,2,1,0,0,2281.57338463435,1,4
12491,24,2,1-24-2019-002-04,4,2,270,453,178,1265,156,87,97,999,4,1.8,2,1,9,0,2281.57338463435,1,4
12488,11,3,1-11-2019-003-07,7,1,286,479,181,1660,156,96,97,142,6,3.4,2,1,0,0,5501.90113032407,8,4
12491,24,2,1-24-2019-002-04,4,3,284,487,180,1590,153,88,116,999,6,3.2,2,1,9,0,2281.57338463435,1,4
12488,11,3,1-11-2019-003-07,7,2,278,487,183,1420,158,97,112,160,4,2.5,2,1,0,0,5501.90113032407,8,4
12491,24,2,1-24-2019-002-04,4,4,303,509,200,1810,162,96,111,999,6,3.3,2,1,9,0,2281.57338463435,1,4
12488,11,3,1-11-2019-003-07,7,3,287,504,200,2067,170,98,119,168,6,3.5,2,1,0,0,5501.90113032407,8,4
12495,28,1,1-28-2019-001-07,7,1,262,458,180,1535,154,97,100,142,4,2.5,1,4,0,0,188.933692908723,3,4
12496,32,3,1-32-2019-003-06,6,1,333,532,182,1701,155,87,113,162,6,3.9,2,2,0,1,1882.75480161728,7,4
12496,32,3,1-32-2019-003-06,6,2,286,479,184,1713,158,96,97,162,6,3.0,2,1,0,0,1882.75480161728,7,4
12497,32,4,1-32-2019-004-07,7,1,270,463,188,1244,155,89,104,999,4,2.0,2,1,0,0,6526.06701852629,7,4
12496,32,3,1-32-2019-003-06,6,3,297,490,186,1845,162,83,110,160,6,3.0,2,2,0,0,1882.75480161728,7,4
12497,32,4,1-32-2019-004-07,7,2,255,411,179,1190,156,84,73,152,4,1.6,2,1,0,0,6526.06701852629,7,4
12496,32,3,1-32-2019-003-06,6,4,285,463,182,1551,154,83,95,152,6,3.5,2,2,0,1,1882.75480161728,7,4
12499,76,1,1-76-2019-001-06,6,1,338,556,203,2155,173,101,117,180,6,4.3,2,3,0,0,49.4254425182419,3,4
12504,23,2,1-23-2019-002-09,9,1,276,502,185,1515,158,106,121,999,6,3.0,9,9,9,0,534.672841311167,5,4
12505,23,3,1-23-2019-003-03,3,1,368,581,200,2522,170,98,116,999,6,3.5,9,9,0,0,145.584933403066,5,4
12505,23,3,1-23-2019-003-03,3,2,274,487,185,1625,157,99,114,154,4,2.5,2,1,0,0,145.584933403066,5,4
12501,16,1,1-16-2019-001-09,9,1,289,481,183,1984,155,82,112,154,6,4.0,2,2,0,0,827.764153416687,5,4
12506,23,4,1-23-2019-004-04,4,1,366,592,202,2552,173,104,122,178,4,2.2,2,2,0,0,380.869037562636,5,4
12514,27,1,1-27-2019-001-06,6,1,285,508,187,1618,159,108,116,999,6,3.8,2,1,0,0,127.195256322696,3,4
12514,27,1,1-27-2019-001-06,6,2,302,511,200,2219,171,98,111,184,6,3.6,2,4,0,0,127.195256322696,3,4
12509,25,1,1-25-2019-001-05,5,1,264,441,175,1334,151,88,91,140,4,2.0,2,1,0,1,93.5553684959491,2,4
12511,73,1,1-73-2019-001-06,6,1,265,436,183,1327,154,90,82,140,4,2.0,2,1,0,0,267.702349067211,3,4
12510,54,1,1-54-2019-001-06,6,1,268,461,180,1407,154,97,96,150,4,1.4,2,1,0,0,880.16844999361,9,4
12524,29,4,1-29-2019-004-06,6,1,368,581,200,2522,170,98,116,180,6,3.5,2,2,0,0,188.943807608076,2,4
12527,17,3,1-17-2019-003-06,6,1,365,570,203,2408,173,100,105,180,8,5.3,2,3,0,0,237.495424998864,4,4
12519,26,2,1-26-2019-002-06,6,1,305,515,202,1790,999,100,110,174,6,4.2,9,2,9,0,973.309185582467,10,4
12519,26,2,1-26-2019-002-06,6,2,277,481,182,1441,158,96,108,146,4,2.5,2,1,0,0,973.309185582467,10,4
12535,66,1,1-66-2019-001-10,10,1,360,577,203,2562,174,95,120,202,10,6.8,2,3,0,1,384.71786995987,6,4
12535,66,1,1-66-2019-001-10,10,2,253,440,176,1307,150,99,86,134,6,2.7,2,1,0,0,384.71786995987,6,4
12534,31,1,1-31-2019-001-04,4,1,270,455,184,1675,158,94,91,142,4,2.5,2,4,0,0,960.230949818511,6,4
12523,29,3,1-29-2019-003-06,6,1,285,487,179,1549,152,99,103,166,4,2.4,2,1,0,0,188.943807610028,2,4
12536,66,2,1-66-2019-002-09,9,1,303,510,200,1941,161,96,111,150,6,3.8,2,1,0,0,136.008717845864,6,4
12536,66,2,1-66-2019-002-09,9,2,290,488,192,2027,162,88,110,150,6,3.8,2,2,0,0,136.008717845864,6,4
12537,19,2,1-19-2019-002-02,2,2,281,486,187,1475,162,97,108,150,4,2.4,2,1,0,0,66.9391379556163,9,4
12537,19,2,1-19-2019-002-02,2,3,365,573,203,2394,174,100,108,180,8,5.3,2,3,0,0,66.9391379556163,9,4
12521,30,3,1-30-2019-003-07,7,1,262,452,182,1544,156,89,100,146,4,2.4,2,1,0,0,979.901029870445,10,4
12521,30,3,1-30-2019-003-07,7,2,269,457,179,1361,152,94,95,999,4,2.0,9,1,9,0,979.901029870445,10,4
12521,30,3,1-30-2019-003-07,7,3,280,493,185,1468,157,100,114,999,4,2.4,2,1,0,0,979.901029870445,10,4
12531,59,5,1-59-2019-005-10,10,1,296,505,201,2033,169,101,107,999,6,3.5,2,1,0,0,2553.85143584925,6,4
12531,59,5,1-59-2019-005-10,10,2,277,485,182,1542,156,102,106,152,4,2.4,2,1,0,0,2553.85143584925,6,4
12529,59,3,1-59-2019-003-10,10,2,273,510,184,1486,151,116,121,148,6,3.1,2,1,0,0,2553.85143584925,6,4
12526,17,2,1-17-2019-002-07,7,1,284,500,186,1822,157,102,114,160,6,3.6,1,1,0,0,778.517243118384,4,4
12530,59,4,1-59-2019-004-03,3,1,262,456,182,1586,158,92,102,999,4,2.4,2,4,0,0,118.763983508724,6,4
12530,59,4,1-59-2019-004-03,3,2,307,519,200,2132,171,102,111,162,6,3.6,2,4,0,0,118.763983508724,6,4
12539,33,2,1-33-2019-002-09,9,1,308,512,195,1948,161,100,104,152,6,3.9,2,1,0,0,153.055535950873,12,4
12544,22,2,1-22-2019-002-04,4,1,263,441,176,1480,152,88,89,158,4,2.4,2,4,0,0,228.172632478998,12,4
12542,21,3,1-21-2019-003-09,9,1,265,444,175,1310,150,87,92,999,4,2.0,9,1,0,0,589.936165960683,11,4
12517,13,2,1-13-2019-002-02,2,1,249,440,172,1169,146,85,106,999,4,1.6,2,1,9,0,53.3697758100001,7,4
12542,21,3,1-21-2019-003-09,9,2,274,481,182,1504,156,98,109,999,6,3.0,9,9,9,0,589.936165960683,11,4
12540,33,3,1-33-2019-003-09,9,1,365,571,202,2151,167,101,105,999,8,5.3,2,4,0,1,153.055535950873,12,4
12517,13,2,1-13-2019-002-02,2,2,999,999,999,9999,999,999,999,999,99,99.0,9,9,9,0,53.3697758100001,7,4
12517,13,2,1-13-2019-002-02,2,3,999,999,999,9999,999,999,999,999,99,99.0,9,9,9,0,53.3697758100001,7,4
