CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,LFOH,LFBC,WBLEFT,LRBC,LROH,RFOH,RFBC,WBRIGHT,RRBC,RROH,FRNTBUMP,REARBUMP,FRNTTRACK,REARTRACK,FRNTHOOD,FRNTWIND,FRNTPILL,BACKTRUNK,BACKLIGHT,BACKBPILL,SIDEDOOR,SIDEGLAZ,SIDEROOF,VERTROOF,VERTGLAZ,VERTDOOR,BACKPICKUP,PBED,CASEWGT,PSUSTRAT,VERSION
12415,24,1,1-24-2019-001-10,10,1,887,887,887,887,887,887,887,887,887,887,887,887,887,887,126,887,887,887,887,887,14,14,126,887,887,887,887,887,4805.57751704535,1,4
12419,12,1,1-12-2019-001-03,3,1,887,887,887,887,887,887,887,248,887,887,887,887,887,887,887,887,887,887,887,887,13,21,887,887,887,887,887,887,339.939384901959,9,4
12422,23,1,1-23-2019-001-07,7,1,887,887,887,887,887,887,887,887,887,887,39,887,887,887,96,887,887,887,887,887,887,887,887,887,887,44,887,887,1421.50072655981,5,4
12417,77,1,1-77-2019-001-03,3,2,887,887,268,887,887,887,887,266,887,887,887,887,887,887,887,887,887,887,887,887,12,18,120,887,887,887,887,887,1016.06557753526,9,4
12442,11,2,1-11-2019-002-09,9,1,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,928.921429640586,8,4
12434,14,1,1-14-2019-001-04,4,1,887,887,887,887,887,887,887,887,887,887,20,887,887,887,107,887,887,887,887,887,887,887,887,887,887,887,887,887,1402.876821981,8,4
12449,17,1,1-17-2019-001-09,9,1,887,887,887,887,887,887,887,887,887,887,40,54,887,887,161,887,887,887,887,887,887,887,887,887,887,887,887,887,961.723266068137,4,4
12446,32,2,1-32-2019-002-09,9,1,82,887,286,887,887,887,887,887,887,887,887,887,150,150,122,887,887,887,887,887,10,23,111,887,887,887,887,887,580.322202098339,7,4
12454,33,1,1-33-2019-001-07,7,1,887,887,256,887,887,887,887,267,887,887,887,887,887,887,887,887,887,887,887,887,12,12,121,887,887,887,887,887,106.863578762211,12,4
12455,59,2,1-59-2019-002-04,4,1,887,887,887,887,887,887,887,887,887,887,999,887,887,887,89,887,887,887,887,887,887,887,887,887,887,887,887,887,388.969009954007,6,4
12455,59,2,1-59-2019-002-04,4,2,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,999,999,999,887,887,887,887,887,388.969009954007,6,4
12477,30,2,1-30-2019-002-04,4,1,887,887,887,887,887,887,887,361,887,887,34,887,887,887,887,887,887,887,887,887,10,26,129,887,887,887,999,999,315.64493614952,10,4
12471,21,1,1-21-2019-001-03,3,2,887,887,887,887,887,887,887,887,887,887,20,887,887,887,103,887,887,887,887,887,887,887,887,887,887,887,887,887,184.469405006755,11,4
