CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,VIN,MODELYR,WMI,ManufacturerFullName,ManufacturerCommonName,ManufacturerParent,Make,Model,ModelYear,VehicleType,Series,Trim,Series2,Trim2,BodyClass,DoorsCount,EngineModel,DisplacementCC,TransmissionStyle,PlantCity,PlantState,PlantCountry,AdaptiveCruiseControl,ElectronicStabilityControl,ForwardCollisionWarning,LaneDepartureWarning,AntilockBrakeSystem,AutomaticEmergencyBraking,BlindSpotMonitoring,LaneKeepSystem,RearVisibilityCamera,DriverAssist,AdaptiveHeadlights,ParkAssist,VINDecodedOn,ManufacturerId,PlantCompanyName,WheelBaseType,TrackWidth,GrossVehicleWeightRating,CurbWeightLB,WheelBaseIN,WheelBaseUpToIN,WheelsCount,TruckBedType,TruckBedLengthIN,TrailerTypeConnection,TrailerLengthFT,BusFloorConfigurationType,MotorcycleSuspensionType,MotorcycleChassisType,SeatsCount,SeatRowsCount,TransmissionSpeeds,DriveType,AxlesCount,AxleConfiguration,BrakeSystemType,BatteryPacksPerVehicle,BatteryModulesPerPack,BatteryCellsPerModule,BatteryType,ChargerLevel,ChargerPowerKW,EngineManufacturer,EngineStrokeCycles,EngineCylindersCount,EngineCoolingType,FuelTypePrimary,FuelTypeSecondary,FuelDeliveryInjectionType,EngineConfiguration,EnginePowerKW,EngineBrakeHP,EngineBrakeUpToHP,EngineValveTrainDesign,EngineElectrificationLevel,EngineTurbo,SeatBeltsType,Pretensioner,AirBagLocFront,AirBagLocKnee,AirBagLocSide,AirBagLocCurtain,AirBagLocSeatCushion,TractionControl,VINDecodeError,CustomMotorcycleType,TruckBodyCabType,TrailerBodyType,BusType,VehicleDescriptor,TPMS,CASEWGT,PSUSTRAT,VERSION
13017,26,19,1-26-2019-019-06,6,2,1C3CC4FB4AN1,2010,1C3,FCA US LLC,Chrysler,,CHRYSLER,Sebring,2010,PASSENGER CAR,,LX,H (High Line),,Sedan/Saloon,4,,2400.0,,,,,,,,,,,,,,,,,22OCT2020:12:16:58.983,994,Sterling Heights Assembly,,,,,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,FWD/Front Wheel Drive,,,,,,,,,,,,4,,Gasoline,,,,,,,,,No,Manual,Yes,1st Row (Driver & Passenger),,All Rows,,,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1C3CC4FB*AN******,Direct,675.854511538816,10,4
13024,27,10,1-27-2019-010-04,4,1,5XXGM4A76FG5,2015,5XX,HYUNDAI-KIA AMERICA TECHNICAL CENTER INC (HATCI),Hyundia-Kia,,KIA,Optima,2015,PASSENGER CAR,GL(Middle-low grade),,QF F/L,,Sedan/Saloon,4,DOHC GDI THETA II,2400.0,,,GEORGIA,UNITED STATES (USA),,,,,,,,,,,,,22OCT2020:13:25:10.543,1034,"Kia Motor Manufacturing, Georgia",,,,,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,Gasoline,,Stoichiometric gasoline direct injection (SGDI),,,,,Dual Overhead Cam (DOHC),,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st & 2nd Rows,,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5XXGM4A7*FG******,Direct,572.492400949413,3,4
15648,10,72,1-10-2019-072-04,4,2,1D4RE2GG4BC6,2011,1D4,FCA US LLC,Chrysler,,DODGE,Durango,2011,MULTIPURPOSE PASSENGER VEHICLE (MPV),,Express,L (Low Line),,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,ERB,3600.0,,,,,,,,,,,,,,,,,22OCT2020:12:27:20.747,994,Jefferson North Assembly,,,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",,,,,,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,4WD/4-Wheel Drive/4x4,,,Hydraulic,,,,,,,,,6,,Gasoline,,,,,,,,,No,Manual,Yes,1st Row (Driver & Passenger),,All Rows,,,,0,Not Applicable,,Not Applicable,Not Applicable,1D4RE2GG*BC******,Direct,222.401514013992,4,4
12468,18,1,1-18-2019-001-08,8,2,1FTJE34HXSHB,1995,1FT,"FORD MOTOR COMPANY, USA",Ford,,FORD,E-350,1995,TRUCK,,Super Duty,,,Van,,,5751.859464,,LORAIN,OHIO,UNITED STATES (USA),,,,,,,,,,,,,22OCT2020:12:39:28.070,976,,,,"Class 2H: 9,001 - 10,000 lb (4,082 - 4,536 kg)",,,,,,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,4x2,,,Hydraulic,,,,,,,Ford,,8,,Gasoline,,,V-Shaped,152.87,205.00,210.00,,,,Manual,,,,,,,,0,Not Applicable,,Not Applicable,Not Applicable,1FTJE34H*SH******,,145.317860723262,6,4
12477,30,2,1-30-2019-002-04,4,1,1GCRCPEH3FZ4,2015,1GC,GENERAL MOTORS LLC,GM,,CHEVROLET,Silverado,2015,TRUCK,1500 Work Truck/Fleet/Base,,,,Pickup,,"LV3 - VVT, Aluminum, E85 Max",4300.0,,FORT WAYNE,INDIANA,UNITED STATES (USA),,,,,,,,,,,,,22OCT2020:12:48:26.380,984,GMNA,,,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",,,,,,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,RWD/ Rear Wheel Drive,,,Hydraulic,,,,,,,,,6,,Gasoline,Ethanol (E85),Stoichiometric gasoline direct injection (SGDI),V-Shaped,,,,Overhead Valve (OHV),,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),All Rows,,,0,Not Applicable,Extra/Super/ Quad/Double/King/Extended,Not Applicable,Not Applicable,1GCRCPEH*FZ******,,315.64493614952,10,4
12444,19,1,1-19-2019-001-01,1,1,1GKS1BKC6FR7,2015,1GK,GENERAL MOTORS LLC,GM,,GMC,Yukon,2015,MULTIPURPOSE PASSENGER VEHICLE (MPV),,"1/2 ton, SLT",,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,"L83 - VVT, Active Fuel Management, Aluminum.",5300.0,,ARLINGTON,TEXAS,UNITED STATES (USA),,,,,,,,,,,,,22OCT2020:12:49:36.660,984,GMNA,,,"Class 2F: 7,001 - 8,000 lb (3,175 - 3,629 kg)",,,,,,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,RWD/ Rear Wheel Drive,,,Hydraulic,,,,,,,,,8,,Gasoline,Ethanol (E85),Stoichiometric gasoline direct injection (SGDI),,,,,,,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),All Rows,,,0,Not Applicable,,Not Applicable,Not Applicable,1GKS1BKC*FR******,Direct,93.6457609646072,9,4
12454,33,1,1-33-2019-001-07,7,2,1HGCR3F81EA0,2014,1HG,"HONDA OF AMERICA MFG., INC.",Honda,"HONDA MOTOR CO., LTD",HONDA,Accord,2014,PASSENGER CAR,EX-L-V6,,,,Sedan/Saloon,4,J35Y1,3471,Automatic,MARYSVILLE,OHIO,UNITED STATES (USA),,,,,,,,,,,,,22OCT2020:12:54:45.957,988,,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,6,,,,,,,,,,,Honda,,6,Water,Gasoline,,Multipoint Fuel Injection (MPFI),V-Shaped,207.30,278.00,,Single Overhead Cam (SOHC),,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st & 2nd Rows,,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,1HGCR3F8*EA******,Indirect,106.863578762211,12,4
12462,22,1,1-22-2019-001-08,8,1,1J8FF47W97D1,2007,1J8,FCA US LLC,Chrysler,,JEEP,Compass,2007,MULTIPURPOSE PASSENGER VEHICLE (MPV),MK,Limited,H (High Line),,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),4,DOHC 16 V Dual VVT,2400.0,,,,,,,,,,,,,,,,,22OCT2020:12:56:11.473,994,Belvidere Assembly,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,4WD/4-Wheel Drive/4x4,,,Hydraulic,,,,,,,,,4,,Gasoline,,,In-Line,,,,Dual Overhead Cam (DOHC),,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),,,,0,Not Applicable,,Not Applicable,Not Applicable,1J8FF47W*7D******,,89.5221923404952,12,4
12455,59,2,1-59-2019-002-04,4,1,2HGFG12866H5,2006,2HG,"HONDA OF CANADA MFG., INC.",Honda,"HONDA MOTOR CO., LTD",HONDA,Civic,2006,PASSENGER CAR,,EX,,,Coupe,2,R18A1,1802.577040,Automatic,ALLISTON,ONTARIO,CANADA,,,,,,,,,,,,,22OCT2020:13:08:51.220,990,,,,"Class 1B: 3,001 - 4,000 lb (1,360 - 1,814 kg)",,,,,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,5,,,,,,,,,,,,,4,,Gasoline,,,In-Line,104.40,140.00,,Single Overhead Cam (SOHC),,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st & 2nd Rows,,,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2HGFG128*6H******,,388.969009954007,6,4
12434,14,1,1-14-2019-001-04,4,1,3KPFL4A74HE1,2017,3KP,"HYUNDAI DE MEXICO, S.A. DE C.V.",Hyundai,,KIA,Forte,2017,PASSENGER CAR,"LX Popular, S",,,,Sedan/Saloon,4,MPI Nu,2000.0,,TIJUANA,,MEXICO,,Standard,Optional,Optional,Standard,Optional,Optional,Optional,Standard,,,,22OCT2020:13:16:58.593,14282,KMM,,,,,106.30,,4,Not Applicable,,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,5,2,,,2,,,,,,,,,KMC,,4,,Gasoline,,,,109.62,147.00,,Dual Overhead Cam (DOHC),,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st & 2nd Rows,,Standard,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,3KPFL4A7*HE******,Direct,1402.876821981,8,4
