CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EQUIP,AVAIL,ACTIVATE,CASEWGT,PSUSTRAT,VERSION
15939,14,1,1-14-2020-001-04,4,1,1,0,8,207.684599173899,8,5
15939,14,1,1-14-2020-001-04,4,1,2,0,8,207.684599173899,8,5
15939,14,1,1-14-2020-001-04,4,1,3,0,8,207.684599173899,8,5
15939,14,1,1-14-2020-001-04,4,1,4,1,9,207.684599173899,8,5
15939,14,1,1-14-2020-001-04,4,1,5,1,2,207.684599173899,8,5
15939,14,1,1-14-2020-001-04,4,1,6,0,8,207.684599173899,8,5
15939,14,1,1-14-2020-001-04,4,1,7,0,8,207.684599173899,8,5
15939,14,1,1-14-2020-001-04,4,1,8,1,9,207.684599173899,8,5
15939,14,1,1-14-2020-001-04,4,1,9,0,8,207.684599173899,8,5
15939,14,1,1-14-2020-001-04,4,1,10,0,8,207.684599173899,8,5
15939,14,1,1-14-2020-001-04,4,1,11,0,8,207.684599173899,8,5
15939,14,1,1-14-2020-001-04,4,1,12,0,8,207.684599173899,8,5
15939,14,1,1-14-2020-001-04,4,3,1,0,8,207.684599173899,8,5
15939,14,1,1-14-2020-001-04,4,3,2,0,8,207.684599173899,8,5
15939,14,1,1-14-2020-001-04,4,3,3,0,8,207.684599173899,8,5
15939,14,1,1-14-2020-001-04,4,3,4,0,8,207.684599173899,8,5
15939,14,1,1-14-2020-001-04,4,3,5,0,8,207.684599173899,8,5
15939,14,1,1-14-2020-001-04,4,3,6,0,8,207.684599173899,8,5
15939,14,1,1-14-2020-001-04,4,3,7,0,8,207.684599173899,8,5
15939,14,1,1-14-2020-001-04,4,3,8,0,8,207.684599173899,8,5
15939,14,1,1-14-2020-001-04,4,3,9,0,8,207.684599173899,8,5
15939,14,1,1-14-2020-001-04,4,3,10,0,8,207.684599173899,8,5
15939,14,1,1-14-2020-001-04,4,3,11,0,8,207.684599173899,8,5
15939,14,1,1-14-2020-001-04,4,3,12,0,8,207.684599173899,8,5
15942,77,1,1-77-2020-001-04,4,2,1,1,9,316.720071630832,9,5
15942,77,1,1-77-2020-001-04,4,2,2,0,8,316.720071630832,9,5
15942,77,1,1-77-2020-001-04,4,2,3,0,8,316.720071630832,9,5
15942,77,1,1-77-2020-001-04,4,2,4,1,1,316.720071630832,9,5
15942,77,1,1-77-2020-001-04,4,2,5,1,2,316.720071630832,9,5
15942,77,1,1-77-2020-001-04,4,2,6,1,9,316.720071630832,9,5
15942,77,1,1-77-2020-001-04,4,2,7,1,9,316.720071630832,9,5
15942,77,1,1-77-2020-001-04,4,2,8,1,2,316.720071630832,9,5
15942,77,1,1-77-2020-001-04,4,2,9,1,2,316.720071630832,9,5
15942,77,1,1-77-2020-001-04,4,2,10,1,9,316.720071630832,9,5
15942,77,1,1-77-2020-001-04,4,2,11,1,9,316.720071630832,9,5
15942,77,1,1-77-2020-001-04,4,2,12,1,9,316.720071630832,9,5
15956,24,1,1-24-2020-001-07,7,1,1,0,8,168.537590669271,1,5
15956,24,1,1-24-2020-001-07,7,1,2,0,8,168.537590669271,1,5
