CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,NUMEVENTS,CDRVERCOLL,CDRVERREPT,MODTYPE,IGCYCDOWN,CASEWGT,PSUSTRAT,VERSION
18538,22,78,1-22-2020-078-03,3,2,1,1,Crash Data Retrieval Tool 19.4.2,Crash Data Retrieval Tool 19.5.1,1,2171,29.7873290476109,12,5
18534,21,96,1-21-2020-096-02,2,1,1,1,Crash Data Retrieval Tool 19.4.2,Crash Data Retrieval Tool 19.5.1,1,598,11.9399869412831,11,5
18529,15,73,1-15-2020-073-03,3,2,1,5,Crash Data Retrieval Tool 19.4.2,Crash Data Retrieval Tool 19.5.1,1,1277,38.8945818822274,1,5
18528,15,72,1-15-2020-072-09,9,1,1,4,Crash Data Retrieval Tool 19.4.2,Crash Data Retrieval Tool 19.5.1,1,999997,222.747111346231,1,5
18527,15,71,1-15-2020-071-03,3,2,1,6,Crash Data Retrieval Tool 19.4.2,Crash Data Retrieval Tool 19.5.1,1,3332,39.1116839872368,1,5
18516,18,52,1-18-2020-052-06,6,2,1,1,Crash Data Retrieval Tool 19.4.2,Crash Data Retrieval Tool 19.5.1,1,13393,233.575536371143,6,5
18517,18,53,1-18-2020-053-06,6,1,1,1,Crash Data Retrieval Tool 19.4.2,Crash Data Retrieval Tool 19.5.1,1,999997,233.575536543772,6,5
18517,18,53,1-18-2020-053-06,6,2,1,1,Crash Data Retrieval Tool 19.4.2,Crash Data Retrieval Tool 19.5.1,1,11297,233.575536543772,6,5
18545,22,79,1-22-2020-079-03,3,1,1,1,Crash Data Retrieval Tool 19.4.2,Crash Data Retrieval Tool 19.5.1,1,5808,29.7873290476109,12,5
18369,30,84,1-30-2020-084-03,3,1,1,0,Crash Data Retrieval Tool 19.4.2,Crash Data Retrieval Tool 19.5.1,1,10052,144.661220290814,10,5
18547,25,79,1-25-2020-079-09,9,2,1,1,Crash Data Retrieval Tool 19.4.2,Crash Data Retrieval Tool 19.5.1,1,16320,777.630160882419,2,5
18546,54,25,1-54-2020-025-10,10,1,1,1,Crash Data Retrieval Tool 19.4.2,Crash Data Retrieval Tool 19.5.1,1,12552,686.250558115021,9,5
18550,73,61,1-73-2020-061-10,10,1,1,3,Crash Data Retrieval Tool 19.4.2,Crash Data Retrieval Tool 19.5.1,1,999997,123.511607768883,3,5
18551,25,80,1-25-2020-080-06,6,1,1,1,Crash Data Retrieval Tool 19.4.2,Crash Data Retrieval Tool 19.5.1,1,4711,210.19108541494,2,5
18553,30,96,1-30-2020-096-06,6,2,1,1,Crash Data Retrieval Tool 19.4.2,Crash Data Retrieval Tool 19.5.1,1,11668,316.815820332588,10,5
18540,30,93,1-30-2020-093-04,4,2,1,2,Crash Data Retrieval Tool 19.4.2,Crash Data Retrieval Tool 19.5.1,1,909,686.244001364634,10,5
18558,10,113,1-10-2020-113-07,7,2,1,1,Crash Data Retrieval Tool 19.4.2,Crash Data Retrieval Tool 19.5.1,1,4593,733.6481793804,4,5
18564,54,26,1-54-2020-026-04,4,1,1,0,Crash Data Retrieval Tool 19.4.2,Crash Data Retrieval Tool 19.5.1,1,999997,804.205465327662,9,5
