CASEID,PSU,CASENO,CASENUMBER,CATEGORY,JKWGT1,JKWGT2,JKWGT3,JKWGT4,JKWGT5,JKWGT6,JKWGT7,JKWGT8,JKWGT9,JKWGT10,JKWGT11,JKWGT12,JKWGT13,JKWGT14,JKWGT15,JKWGT16,JKWGT17,JKWGT18,JKWGT19,JKWGT20,JKWGT21,JKWGT22,JKWGT23,JKWGT24,JKWGT25,JKWGT26,JKWGT27,JKWGT28,JKWGT29,JKWGT30,JKWGT31,JKWGT32,CASEWGT,PSUSTRAT,VERSION
17048,33,25,1-33-2020-025-08,8,25.78767013,25.70637131,25.78549795,25.70918013,26.19086015,25.31022489,25.88747233,25.60765198,25.7442148,25.88185447,25.74243617,25.75068772,25.76351414,26.67784514,27.09159785,24.50250918,27.10976087,25.59673266,26.84619314,26.41225567,28.12556319,23.77592289,25.62300075,27.0087259,25.55848709,25.95837724,25.70411102,25.78983793,26.37553324,25.14382985,0,51.18503014,25.7465793820285,12,5
17051,22,30,1-22-2020-030-10,10,125.8879964,124.0707863,124.6366046,125.265254,126.9253354,123.0315596,125.3893704,124.4804277,125.0432703,124.8478772,128.0789449,123.8856572,120.7877925,133.9080459,139.2159942,113.904786,130.6679473,129.1893146,121.2045344,141.2172011,124.0385549,125.8367842,126.3657756,126.2312688,128.9410485,125.9783547,125.0424265,124.8502094,0,244.0540708,115.1013862,138.6704719,124.945917006355,12,5
17054,19,44,1-19-2020-044-04,4,126.3605941,125.9945392,126.2566689,126.0865903,128.3531359,124.0599396,126.6134068,125.7422036,126.146434,126.1933663,126.3392935,126.0149201,136.9105673,119.0964712,131.10389,121.6433032,126.4695749,126.2478515,130.0024459,135.0663728,0,244.8034409,105.5804276,155.2800289,126.089677,126.2432116,126.1345928,126.205538,128.7983984,123.6063141,128.1022858,124.2420952,126.169752527821,9,5
17057,18,20,1-18-2020-020-10,10,2681.453304,2642.746167,2654.798271,2668.188698,2703.548945,2620.610316,2670.832415,2651.471654,2663.460376,2659.298442,2728.121185,2638.802858,2572.81738,2852.28284,0,4852.414424,2783.267737,2751.772403,2581.694112,3007.970111,2642.059626,2680.362467,2691.630148,2688.765112,2746.484259,2683.377964,2663.442403,2659.348118,2726.067113,2599.213639,2451.695166,2953.723989,2661.38672091544,6,5
17060,13,30,1-13-2020-030-09,9,1836.030299,1806.624262,1929.026289,1722.984287,1820.192716,1818.327159,1819.471847,1819.025341,1730.750953,1936.599526,1715.624207,1989.941291,1821.484348,1817.030732,1817.98609,1820.534546,3722.458677,0,1702.63657,2123.045125,1825.431209,1817.005275,1861.902918,1819.784141,1764.510138,1879.705526,1820.952252,1820.083008,1819.352531,1819.140753,1818.734125,1819.767469,1819.24840651399,7,5
17063,13,28,1-13-2020-028-03,3,295.9443745,292.3447007,299.8340269,288.7043399,294.1440062,294.1440062,294.1440062,294.1440062,287.3602598,301.6642458,279.7948774,309.5154418,294.1440062,294.1440062,294.1440062,294.1440062,618.3896373,0,321.5301651,278.784737,294.1440062,294.1440062,294.1440062,294.1440062,294.2892588,294.30111,295.1131026,293.1812536,294.1440062,294.1440062,294.1440062,294.1440062,294.144006155824,7,5
17065,15,26,1-15-2020-026-03,3,56.65243997,0,28.6985168,27.63324241,28.15389831,28.15389831,28.15389831,28.15389831,27.50459422,28.87369561,26.7804761,29.6251703,28.15389831,28.15389831,28.15389831,28.15389831,29.59448195,26.93177455,30.77515564,26.68379083,28.15389831,28.15389831,28.15389831,28.15389831,28.16780112,28.16893545,28.24665506,28.06174876,28.15389831,28.15389831,28.15389831,28.15389831,28.1538983077347,1,5
17068,30,31,1-30-2020-031-04,4,605.2485432,596.3165561,612.7493255,589.2475328,600.7400034,600.7369312,600.8066685,600.670718,597.6332008,603.8825338,617.5340864,585.6654506,600.8658482,608.1184504,600.8655282,600.620225,583.373741,620.3941565,616.5179589,645.5559737,600.8559913,600.6233448,602.6938781,600.5802517,0,1227.309134,602.5497035,598.9420237,600.6054541,600.869236,600.6027333,600.8737724,600.738450575826,10,5
17071,76,28,1-76-2020-028-04,4,47.41528464,47.27792699,47.376288,47.31246803,96.32592374,0,47.51014956,47.1832411,47.33492367,47.35253445,47.40729188,47.28557466,51.37403452,44.68951039,49.19514909,45.64517831,47.45617838,47.37297934,48.7818455,50.68202281,48.91968613,45.9297652,39.61777852,58.26695278,47.31362631,47.37123828,47.33048039,47.35710172,48.33004122,46.38177442,48.06883342,46.62034356,47.343673663792,3,5
17074,77,36,1-77-2020-036-03,3,297.3088858,297.3088858,297.3088858,297.3088858,301.0133534,293.6921862,293.3783312,301.3628026,297.3088858,297.3088858,297.3088858,297.3088858,294.2224484,300.7766518,307.8453516,287.4457847,297.3088858,297.3088858,297.3088858,302.069637,291.3744027,302.8052568,624.208666,0,297.3088858,297.3088858,297.3088858,297.3088858,297.7981353,297.1098866,290.0016977,305.5400637,297.308885750207,9,5
17077,17,45,1-17-2020-045-04,4,236.671075,233.1783893,239.6041151,230.4141804,234.9080952,234.9068939,234.9341634,234.8810025,0,472.2738454,241.475106,229.0134745,234.9573045,237.7932983,234.9571794,234.8612581,228.1173445,242.5934826,241.0777684,252.4325387,234.9534501,234.8624781,235.6721212,234.8456273,229.5086498,239.9580927,235.6157445,234.2050291,234.8554823,234.9586292,234.8544183,234.9604031,234.907488023044,4,5
17080,17,48,1-17-2020-048-06,6,111.3611924,110.1120692,112.4052403,109.1266205,110.7353046,110.7353046,110.7353046,110.7353046,0,218.1627952,109.7904015,111.7126804,110.7353046,110.7353046,110.7353046,110.7353046,112.9789194,108.8224947,106.9286392,123.1745878,110.7353046,110.7353046,111.6112106,110.7353046,110.5921228,110.9510965,111.1001367,110.3728607,110.7353046,110.7353046,110.7353046,110.7353046,110.735304598754,4,5
