CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,TIRELOC,TIREMANUF,TIREMODEL,TIRESIZE,TIRETIN,TIRETREAD,TIRERESTR,TIRESIZETYPE,CASEWGT,PSUSTRAT,VERSION
15999,32,1,1-32-2020-001-04,4,1,LR,17,Turanza EL 440,P235/60R18,7X45 JB2 4218,5,0,1,954.914109122814,7,5
15999,32,1,1-32-2020-001-04,4,1,RR,17,Turanza EL 440,P235/60R18,7X45 JB2 4118,6,0,1,954.914109122814,7,5
15999,32,1,1-32-2020-001-04,4,1,RF,17,Turanza EL 440,P235/60R18,7X45 JB2 4218,5,0,1,954.914109122814,7,5
15981,10,1,1-10-2020-001-09,9,1,RR,17,Insignia SE 200,P185/65R14,W57J E22,2,0,1,508.729696392121,4,5
15981,10,1,1-10-2020-001-09,9,1,RF,17,Insignia SE 200,P185/65R14,W57J E22,2,0,1,508.729696392121,4,5
15981,10,1,1-10-2020-001-09,9,1,LF,17,Insignia SE 200,P185/65R14,W57J E22,2,1,1,508.729696392121,4,5
15981,10,1,1-10-2020-001-09,9,1,LR,17,Insignia SE 200,P185/65R14,W57J E22,2,0,1,508.729696392121,4,5
16028,59,1,1-59-2020-001-05,5,2,RR,70,WRANGLER,30X09.50R15LT,PJ66 M9HV,2,0,4,270.069996860003,6,5
16028,59,1,1-59-2020-001-05,5,2,RF,998,Radial xtX,LT235/75R15,UTHK T4X 5112,6,0,2,270.069996860003,6,5
16028,59,1,1-59-2020-001-05,5,2,LF,103,XW4,P235/75R15,M3DD BNUY,2,9,1,270.069996860003,6,5
16028,59,1,1-59-2020-001-05,5,2,LR,70,VIVA3,P215/75R15,MD36 JK1R1216,6,0,1,270.069996860003,6,5
16030,48,1,1-48-2020-001-06,6,1,RR,70,eagle,P205/55R16,M612 C11R0212,1,0,1,412.355953905343,12,5
16030,48,1,1-48-2020-001-06,6,1,RF,998,ps830,P205/55R16,Y0JL D8HX,3,0,1,412.355953905343,12,5
16030,48,1,1-48-2020-001-06,6,1,LF,998,ps830,P205/55R16,Y0JL D8HX,2,0,1,412.355953905343,12,5
16030,48,1,1-48-2020-001-06,6,1,LR,70,eagle,P205/55R16,M6T2 011R0212,1,0,1,412.355953905343,12,5
16039,16,2,1-16-2020-002-02,2,1,LF,999,Unknown,UNKNOWN,9999999999999,99,0,9,19.2280792808995,5,5
16039,16,2,1-16-2020-002-02,2,1,RF,999,Unknown,UNKNOWN,9999999999999,99,9,9,19.2280792808995,5,5
16039,16,2,1-16-2020-002-02,2,1,LR,999,Unknown,UNKNOWN,9999999999999,99,0,9,19.2280792808995,5,5
16039,16,2,1-16-2020-002-02,2,1,RR,999,Unknown,UNKNOWN,9999999999999,99,9,9,19.2280792808995,5,5
16042,32,2,1-32-2020-002-02,2,2,RR,115,Npriz AH5,P185/55R15,8ED4 CBCR4718,7,0,1,122.456822453981,7,5
