CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,TIRELOC,DAMAGE,CASEWGT,PSUSTRAT,VERSION
17063,13,28,1-13-2020-028-03,3,1,LF,9,294.144006155824,7,5
17063,13,28,1-13-2020-028-03,3,1,LR,0,294.144006155824,7,5
17063,13,28,1-13-2020-028-03,3,1,RR,0,294.144006155824,7,5
17063,13,28,1-13-2020-028-03,3,2,LF,9,294.144006155824,7,5
17063,13,28,1-13-2020-028-03,3,2,RF,0,294.144006155824,7,5
17063,13,28,1-13-2020-028-03,3,2,LR,0,294.144006155824,7,5
17063,13,28,1-13-2020-028-03,3,1,RF,0,294.144006155824,7,5
17063,13,28,1-13-2020-028-03,3,2,RR,0,294.144006155824,7,5
17065,15,26,1-15-2020-026-03,3,1,LF,7,28.1538983077347,1,5
17065,15,26,1-15-2020-026-03,3,1,RF,8,28.1538983077347,1,5
17065,15,26,1-15-2020-026-03,3,1,LR,7,28.1538983077347,1,5
17065,15,26,1-15-2020-026-03,3,1,RR,0,28.1538983077347,1,5
17085,10,53,1-10-2020-053-04,4,1,LF,7,377.328683304736,4,5
17085,10,53,1-10-2020-053-04,4,1,LR,0,377.328683304736,4,5
17085,10,53,1-10-2020-053-04,4,1,RR,0,377.328683304736,4,5
17085,10,53,1-10-2020-053-04,4,1,RF,0,377.328683304736,4,5
17085,10,53,1-10-2020-053-04,4,2,LF,0,377.328683304736,4,5
17085,10,53,1-10-2020-053-04,4,2,RF,0,377.328683304736,4,5
17085,10,53,1-10-2020-053-04,4,2,LR,0,377.328683304736,4,5
17085,10,53,1-10-2020-053-04,4,2,RR,0,377.328683304736,4,5
17088,11,24,1-11-2020-024-04,4,2,LF,0,1077.5268769164,8,5
17088,11,24,1-11-2020-024-04,4,2,RF,0,1077.5268769164,8,5
17088,11,24,1-11-2020-024-04,4,2,RR,0,1077.5268769164,8,5
17088,11,24,1-11-2020-024-04,4,2,LR,0,1077.5268769164,8,5
17103,48,23,1-48-2020-023-09,9,1,LF,9,252.451611304084,12,5
17103,48,23,1-48-2020-023-09,9,1,RF,9,252.451611304084,12,5
17103,48,23,1-48-2020-023-09,9,1,LR,9,252.451611304084,12,5
17103,48,23,1-48-2020-023-09,9,1,RR,9,252.451611304084,12,5
17105,59,12,1-59-2020-012-08,8,1,LF,0,55.4706193186649,6,5
17105,59,12,1-59-2020-012-08,8,1,RF,8,55.4706193186649,6,5
17105,59,12,1-59-2020-012-08,8,1,LR,0,55.4706193186649,6,5
17105,59,12,1-59-2020-012-08,8,1,RR,8,55.4706193186649,6,5
17108,32,49,1-32-2020-049-06,6,2,RF,0,464.313033956521,7,5
17108,32,49,1-32-2020-049-06,6,2,LR,0,464.313033956521,7,5
17108,32,49,1-32-2020-049-06,6,2,RR,0,464.313033956521,7,5
17108,32,49,1-32-2020-049-06,6,2,LF,0,464.313033956521,7,5
17111,25,31,1-25-2020-031-09,9,1,LF,0,354.333990485709,2,5
17111,25,31,1-25-2020-031-09,9,1,RF,0,354.333990485709,2,5
17111,25,31,1-25-2020-031-09,9,1,LR,0,354.333990485709,2,5
17111,25,31,1-25-2020-031-09,9,1,RR,0,354.333990485709,2,5
17120,31,26,1-31-2020-026-04,4,2,LR,7,1128.16840695449,6,5
17120,31,26,1-31-2020-026-04,4,1,RF,0,1128.16840695449,6,5
17120,31,26,1-31-2020-026-04,4,1,RR,0,1128.16840695449,6,5
17120,31,26,1-31-2020-026-04,4,1,LR,9,1128.16840695449,6,5
17120,31,26,1-31-2020-026-04,4,2,LF,9,1128.16840695449,6,5
17120,31,26,1-31-2020-026-04,4,2,RF,9,1128.16840695449,6,5
17120,31,26,1-31-2020-026-04,4,2,RR,0,1128.16840695449,6,5
17120,31,26,1-31-2020-026-04,4,1,LF,9,1128.16840695449,6,5
17123,21,37,1-21-2020-037-01,1,1,RR,0,14.72020628624,11,5
17123,21,37,1-21-2020-037-01,1,1,RF,7,14.72020628624,11,5
17123,21,37,1-21-2020-037-01,1,1,LF,7,14.72020628624,11,5
17123,21,37,1-21-2020-037-01,1,1,LR,0,14.72020628624,11,5
