CASEID,CRASHYEAR,PSU,CASENO,CASENUMBER,CATEGORY,CRASHMONTH,DAYOFWEEK,CRASHTIME,EVENTS,VEHICLES,CAIS,CISS,CINJURED,CINJSEV,CTREAT,ALCINV,DRGINV,MANCOLL,SUMMARY,CASEWGT,PSUSTRAT,VERSION
23461,2021,54,64,1-54-2021-064-08,8,9,2,09:40,2,1,4,17,3,1,3,2,2,0,"V1 was traveling northeast, on a median divided roadway, with two lanes in the same direction trailing a non-contact vehicle in lane one. In an attempt to pass the non-contact vehicle, V1 entered lane two and continued forward going off the edge of the roadway on the left side into a non-paved median. V1 continued forward crossing over a paved cut through in the median. V1 began to rotate in a clockwise direction and proceeded to enter into a left leading roll striking a light pole with its top plane. V1 rolled six quarter turns coming to final rest on its roof off of the roadway.",247.786271623452,9,6
23463,2021,59,55,1-59-2021-055-04,4,9,2,19:20,3,1,0,0,0,0,0,1,9,0,"V1 was traveling west bound in lane 1 of a 2 lane, two-way, not physically divided roadway. V1 departed the roadway to the right while continuing to travel forward. V1 front right wheel struck a concrete driveway culvert. V1 continued path of travel forward off the roadway across the driveway hitting another culvert before contacting the ground with the front plane. V1 continued traveling and came to final rest in the roadway.",2806.34240149585,6,6
23464,2021,59,56,1-59-2021-056-10,10,9,4,07:30,1,2,0,0,0,0,0,2,2,1,"V1 was traveling south bound behind V2 in lane 1 of a 2 lane, two-way, not physically divided roadway approaching an intersection.  V1 front plane contacted V2 rear plane.",19374.6790611185,6,6
23465,2021,17,78,1-17-2021-078-02,2,9,4,00:51,2,1,4,18,1,1,4,1,9,0,"V1 was traveling west on a two lane, two way, undivided roadway. V2 was legally parked on the right side of the same roadway. V1 departed the roadway to the right and the front of V1 contacted the back of V2. V1 rolled to the left four-quarter turns, and came to final rest on the roadway.",63.7137743550154,4,6
23474,2021,11,60,1-11-2021-060-08,8,9,1,03:17,2,1,3,11,1,1,3,9,2,0,"Vehicle 1 was traveling northbound in the first lane, exit ramp, of an eight lane positively divided roadway. Vehicle 1 departed the roadway to the left and entered the gore area, crossing thru the gore and crossing the entrance ramp on the opposite side of the gore. V1 impacted a concrete traffic barrier off of the ramp with its frontal plane. Vehicle 1 caught fire coming to rest on the paved shoulder.",1534.99824422325,8,6
23475,2021,24,144,1-24-2021-144-03,3,9,1,13:44,2,3,1,1,1,0,4,2,2,1,"V1, V2, and V3 were all traveling westbound in the same lane of a two-lane divided expressway. Lane 1 was closed due to a bike race.  V3 was the lead vehicle and stopped in lane 2. V2 was the middle vehicle and decelerating when it was struck in back end by the front of V1. Subsequently, the front of V2 struck the back V3. All three vehicles came to final rest near the point of impact.",246.428236067674,1,6
22381,2021,21,90,1-21-2021-090-05,5,6,7,01:16,8,2,3,10,1,1,3,9,9,0,"V1 was traveling north, towards an intersection, on a not physically divided trafficway (with two-way left turn lane), and was in lane 1 (of three lanes). V2 was traveling south to west (making a right turn) through the same intersection V1 was approaching, from a not physically divided trafficway (with two-way left turn lane), and was in lane 1 (of three lanes). V3 was legally parked along the curbline, facing west on a two way, not physically divided trafficway, west of this same intersection. Prior to the intersection, V1 departed its lane and the road on the left, where its left front wheel/tire contacted a curb (Event 1). V1 continued in a northwesterly direction, and just west of the intersection, its front end contacted the left side of V2 (Event 2), and then its right side contacted the the left side of V2 (Event 3). Next, V1's front end contacted the back end of V3 (Event 4). V1's left front wheel and tire then contacted a curb (Event 5) and its front end contacted an embankment (Event 6). V2's left",89.9087267080456,11,6
22362,2021,32,77,1-32-2021-077-03,3,6,4,17:24,4,2,1,1,1,0,4,2,2,4,"V1 was traveling east in lane two of a three lane undivided one-way traffic roadway, approaching an intersection. V2 was traveling north in lane one of a wo lane divided (no positive barrier), approaching the same intersection. V3 was stopped at a gas station in the northeast corner of the intersection. Within the intersection, the front of V2 impacted the right side of V1. V1 rotated counter clockwise, and V2 rotated clockwise before both vehicles impacted each other in a side slap impact. V2 came to rest in the intersection, facing northeast. V1 departed the intersection to the northeast and impacted a raised curb with its right front wheel. V1 drove onto the business lot of the gas station and impacted the right side of V3 with its front. V3 rotated clockwise and impacted a gas pump. V2 came to rest on the gas station business lot, facing north. V3 came to rest at the gas pump, facing east.",1421.31783952057,7,6
22363,2021,29,53,1-29-2021-053-04,4,6,4,08:59,4,2,0,0,0,0,0,1,9,0,"V1 was traveling southbound in the second lane of a two lane, one-way divided roadway. V2 was traveling southbound, behind of V1, in the second lane of a two lane, one-way divided roadway. V1 departed the roadway on the left. The frontal plane of V1 then impacted the guardrail end. The left front tire of V1 became detached from the vehicle. V1 re-entered the second lane from the left. The detached tire of V1 impacted the left side plane of V2 twice, as V2 was continuing traveling southbound. V1 departed the roadway on the left again and impacted it's left side plane with the guardrail face. V2 came to final rest in the roadway facing south in the second lane. V1 was at final rest off the roadway, on the left, facing south.",36.0057712029578,2,6
22364,2021,29,54,1-29-2021-054-04,4,6,5,12:25,2,2,0,0,0,0,0,9,9,4,"V1 was traveling eastbound on a single lane with westbound only traffic, approaching an intersection.V2 was traveling northbound in the first lane of a two lane, two-way roadway, approaching the same intersection as V1. V1 and V2 both entered the intersection at the same time. The frontal plane of V1 impacted the left side plane of V2. V1 and V2 were at final rest in the roadway with V1 facing east and V2 facing north.",16.8983942423028,2,6
