CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,EDREVENTNO,EVENTDESC,CDCEVENT,IGCYCRASH,WARNLAMP,NUMEVNTS,EVENT1TO2,FILEREC,MAXDVRESTIME,MAXDVLONG,MAXDVLONGTIME,MAXDVLAT,MAXDVLATTIME,CASEWGT,PSUSTRAT,VERSION
21649,20,42,1-20-2021-042-03,3,2,1,1,Event Record 1,1,453,0,1,9997.0000,1,9997.0000,16.1000,138.0000,0.0000,88.0000,341.283500210391,11,6
21650,20,43,1-20-2021-043-02,2,1,1,1,Most Recent Event,1,783,7,1,0.0000,1,9997.0000,-28.9800,264.0000,17.0660,94.0000,55.9656336770062,11,6
21651,20,44,1-20-2021-044-05,5,1,1,1,Deployment,1,96834,0,97,9997.0000,7,110.0000,-39.2196,110.0000,997.0000,9997.0000,41.7682909515469,11,6
21651,20,44,1-20-2021-044-05,5,1,1,2,Non-Deployment,97,96664,0,97,0.2000,7,47.5000,-1.1270,47.5000,997.0000,9997.0000,41.7682909515469,11,6
21651,20,44,1-20-2021-044-05,5,2,1,1,Event Record 1,1,13138,0,1,9997.0000,1,117.5000,-45.0800,117.5000,14.4900,127.5000,41.7682909515469,11,6
21656,26,48,1-26-2021-048-02,2,2,1,1,Event Record 1,1,5448,0,1,9997.0000,1,9997.0000,64.4000,105.0000,-4.8300,50.0000,15.0432352246241,10,6
21657,26,49,1-26-2021-049-06,6,1,1,1,Most Recent Event,1,10033,0,97,9997.0000,1,9997.0000,-24.6330,161.0000,997.0000,9997.0000,705.535926274239,10,6
21659,26,51,1-26-2021-051-03,3,2,1,1,Record 1,1,11018,0,1,9997.0000,1,170.0000,-14.4900,170.0000,6.4400,170.0000,350.014530074611,10,6
21669,54,19,1-54-2021-019-07,7,2,1,1,First Record,97,1596,0,1,9997.0000,1,9997.0000,-6.9230,180.0000,997.0000,9997.0000,188.007936789445,9,6
21669,54,19,1-54-2021-019-07,7,2,1,2,Second Record,1,11690,0,1,9997.0000,1,9997.0000,-9.0160,50.0000,997.0000,9997.0000,188.007936789445,9,6
21670,48,31,1-48-2021-031-04,4,1,1,2,Event Record 2,1,12110,1,1,9997.0000,1,9997.0000,-22.5400,300.0000,6.4400,87.5000,113.104466292711,12,6
21670,48,31,1-48-2021-031-04,4,1,1,1,Event Record 1,97,9198,0,1,9997.0000,1,9997.0000,-22.5400,272.5000,1.6100,52.5000,113.104466292711,12,6
21670,48,31,1-48-2021-031-04,4,2,1,1,First Record,1,14843,0,1,9997.0000,1,9997.0000,-36.0640,260.0000,997.0000,9997.0000,113.104466292711,12,6
21670,48,31,1-48-2021-031-04,4,2,1,2,Second Record,99,14843,0,2,9997.0000,0,9997.0000,-0.9660,0.0000,997.0000,9997.0000,113.104466292711,12,6
21675,30,35,1-30-2021-035-03,3,1,1,1,Most Recent Event,2,1620,7,3,9995.0000,1,9997.0000,-23.9890,206.0000,4.9910,246.0000,237.84915661408,10,6
21675,30,35,1-30-2021-035-03,3,1,1,2,1st Prior Event,1,1620,7,2,9995.0000,1,9997.0000,-14.0070,156.0000,-1.9320,192.0000,237.84915661408,10,6
21675,30,35,1-30-2021-035-03,3,1,1,3,2nd Prior Event,95,1620,7,1,0.0000,0,9997.0000,-8.0500,88.0000,-9.0160,70.0000,237.84915661408,10,6
