CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,FUELNO,FUELTYPE,CELLDAM,FUELEAK,FUELLOC,FUELCELL,FILLCAP,FUELCOND,CASEWGT,PSUSTRAT,VERSION
23263,20,124,1-20-2021-124-06,6,2,1,1,1,1,88,8,88,8,218.32807739826,11,6
23264,20,125,1-20-2021-125-03,3,2,1,1,1,1,88,8,88,8,108.311988901295,11,6
23338,20,126,1-20-2021-126-02,2,1,1,1,1,1,88,8,88,8,55.9656336770062,11,6
23429,20,131,1-20-2021-131-05,5,1,1,1,1,1,88,8,88,8,52.1317635876274,11,6
22729,20,94,1-20-2021-094-03,3,1,1,1,1,1,88,8,88,8,137.693584713814,11,6
22786,20,98,1-20-2021-098-05,5,2,1,1,1,1,88,8,88,8,41.7682909515469,11,6
22871,20,101,1-20-2021-101-01,1,1,1,1,8,9,99,9,6,9,46.0034803415418,11,6
22956,20,107,1-20-2021-107-06,6,1,1,1,9,9,99,9,99,9,232.781788817433,11,6
23106,20,115,1-20-2021-115-08,8,1,1,1,1,1,88,8,88,8,112.301128974322,11,6
23106,20,115,1-20-2021-115-08,8,2,1,1,9,9,99,9,99,9,112.301128974322,11,6
22549,20,85,1-20-2021-085-03,3,1,1,1,1,1,88,8,88,8,166.228830304906,11,6
22615,20,86,1-20-2021-086-07,7,2,1,1,1,1,88,8,88,8,1305.65761795817,11,6
22617,20,88,1-20-2021-088-04,4,1,1,1,1,1,88,8,88,8,689.166007958666,11,6
22698,20,90,1-20-2021-090-03,3,1,1,1,1,1,88,8,88,8,137.693584713814,11,6
22729,20,94,1-20-2021-094-03,3,2,1,1,1,1,88,8,88,8,137.693584713814,11,6
22282,20,68,1-20-2021-068-06,6,2,1,1,1,1,88,8,88,8,203.833307763552,11,6
22303,20,70,1-20-2021-070-10,10,1,1,1,1,1,88,8,88,8,3131.56598998495,11,6
22386,20,75,1-20-2021-075-03,3,1,1,1,1,1,88,8,88,8,157.62432574039,11,6
22452,20,77,1-20-2021-077-06,6,3,1,1,1,1,88,8,88,8,249.858551085493,11,6
22520,20,82,1-20-2021-082-08,8,1,1,1,1,1,88,8,88,8,160.1200146934,11,6
22520,20,82,1-20-2021-082-08,8,2,1,1,1,1,88,8,88,8,160.1200146934,11,6
21649,20,42,1-20-2021-042-03,3,1,1,1,1,1,88,8,88,8,341.283500210391,11,6
21750,20,48,1-20-2021-048-09,9,1,1,1,1,1,88,8,88,8,2008.3648539771,11,6
21895,20,53,1-20-2021-053-07,7,1,1,1,1,1,88,8,88,8,581.306639126288,11,6
21973,20,57,1-20-2021-057-03,3,1,1,1,1,1,88,8,88,8,160.611592457206,11,6
21974,20,58,1-20-2021-058-07,7,1,1,1,1,1,88,8,88,8,1207.23268310855,11,6
22192,20,63,1-20-2021-063-03,3,2,1,4,1,1,88,8,88,8,245.042589745216,11,6
24250,66,97,1-66-2021-097-02,2,1,1,1,1,1,88,8,88,8,117.528619841367,6,6
24250,66,97,1-66-2021-097-02,2,2,1,1,1,1,88,8,88,8,117.528619841367,6,6
24167,28,96,1-28-2021-096-04,4,2,1,1,1,1,88,8,88,8,129.536255471306,3,6
24167,28,96,1-28-2021-096-04,4,1,1,1,1,1,88,8,88,8,129.536255471306,3,6
24172,32,131,1-32-2021-131-09,9,2,1,1,1,1,88,8,88,8,11546.2496543568,7,6
