CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,SEQUENCE,PREEVENT,CASEWGT,PSUSTRAT,VERSION
23782,22,96,1-22-2021-096-08,8,1,1,6,137.336074115051,12,6
22964,23,91,1-23-2021-091-10,10,1,1,6,4329.18212197419,5,6
22099,23,54,1-23-2021-054-09,9,1,2,6,1320.37098473452,5,6
22418,23,65,1-23-2021-065-04,4,1,1,6,648.348839247477,5,6
20714,23,11,1-23-2021-011-10,10,1,1,6,16614.5161671733,5,6
20557,30,7,1-30-2021-007-04,4,1,1,6,2279.69650631218,10,6
24399,30,123,1-30-2021-123-04,4,1,1,6,1534.13018819777,10,6
22791,22,87,1-22-2021-087-09,9,1,3,6,257.991437415847,12,6
23997,23,129,1-23-2021-129-02,2,1,2,6,66.3082507877633,5,6
24200,23,137,1-23-2021-137-03,3,1,1,6,279.396941078119,5,6
24261,23,142,1-23-2021-142-04,4,1,2,6,399.56153743261,5,6
23285,23,104,1-23-2021-104-09,9,1,2,6,1882.4598453745,5,6
22820,23,84,1-23-2021-084-02,2,1,1,6,66.3082507877633,5,6
22026,23,51,1-23-2021-051-05,5,1,2,6,79.5378796779388,5,6
20888,22,20,1-22-2021-020-09,9,1,2,6,193.342982557736,12,6
21127,22,31,1-22-2021-031-08,8,1,1,6,50.4369918465144,12,6
22792,22,88,1-22-2021-088-06,6,1,2,6,90.4174940873887,12,6
22050,22,67,1-22-2021-067-05,5,1,3,6,35.9226907691191,12,6
22711,22,85,1-22-2021-085-06,6,1,2,6,71.0718839900111,12,6
24056,23,131,1-23-2021-131-06,6,1,2,6,309.163407682763,5,6
24208,23,139,1-23-2021-139-09,9,1,2,6,903.559156964326,5,6
22942,10,66,1-10-2021-066-02,2,1,2,6,43.4880617008165,4,6
22354,23,63,1-23-2021-063-10,10,1,5,6,3463.14280353166,5,6
22575,23,70,1-23-2021-070-04,4,1,1,6,523.957022554173,5,6
22819,23,83,1-23-2021-083-02,2,1,1,6,66.3082507877633,5,6
22521,20,83,1-20-2021-083-05,5,1,1,6,41.7682909515469,11,6
21400,20,30,1-20-2021-030-09,9,1,5,6,706.609200904575,11,6
21497,20,36,1-20-2021-036-09,9,1,2,6,1402.32281175159,11,6
20713,23,10,1-23-2021-010-09,9,1,2,6,5774.17928377266,5,6
20854,23,15,1-23-2021-015-06,6,1,2,6,386.292841675432,5,6
24356,23,144,1-23-2021-144-06,6,1,2,6,630.180606297633,5,6
20650,20,8,1-20-2021-008-04,4,1,1,6,390.277767559517,11,6
24040,20,154,1-20-2021-154-08,8,1,1,6,111.445410670008,11,6
24271,20,167,1-20-2021-167-03,3,1,1,6,152.956122781571,11,6
23752,20,144,1-20-2021-144-03,3,1,2,6,207.871916547365,11,6
23595,20,135,1-20-2021-135-10,10,1,2,6,3989.01278311602,11,6
22451,20,76,1-20-2021-076-02,2,1,1,6,55.9656336770062,11,6
24060,54,79,1-54-2021-079-04,4,1,1,6,618.703008691929,9,6
23360,54,60,1-54-2021-060-09,9,1,2,6,388.3598522871,9,6
23461,54,64,1-54-2021-064-08,8,1,1,6,247.786271623452,9,6
22401,54,35,1-54-2021-035-05,5,1,4,6,145.454151439287,9,6
23927,59,66,1-59-2021-066-08,8,1,2,6,308.68764780508,6,6
