CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,GVWR,GAWRFRONT,GAWRREAR,RECFRONT1,RECFRPRESS1,RECREAR1,RECRRPRESS1,RECFRONT2,RECFRPRESS2,RECREAR2,RECRRPRESS2,RECFRONT3,RECFRPRESS3,RECREAR3,RECRRPRESS3,CASEWGT,PSUSTRAT,VERSION
20414,17,3,1-17-2021-003-02,2,1,2404,1250,1280,P225/65R17,240,P225/65R17,240,,,,,,,,,81.5970863579302,4,6
20414,17,3,1-17-2021-003-02,2,2,2250,1175,1240,P225/65R17,240,P225/65R17,240,,,,,,,,,81.5970863579302,4,6
20380,23,1,1-23-2021-001-02,2,1,1388,780,750,P185/55R15,240,P185/55R15,240,,,,,,,,,76.5871994777887,5,6
20416,48,2,1-48-2021-002-10,10,1,9999,9999,9999,9999999999,999,9999999999,999,,,,,,,,,4455.60834933852,12,6
20417,24,2,1-24-2021-002-03,3,2,2280,1190,1140,P255/45R20,250,P255/45R20,250,,,,,,,,,609.977476620413,1,6
20418,24,3,1-24-2021-003-02,2,2,2340,1105,1235,P235/60R18,270,P235/60R18,320,P235/60R18,240,P235/60R18,290,,,,,124.154189955081,1,6
20422,28,4,1-28-2021-004-07,7,1,1882,1150,950,P225/45R18,230,P225/45R18,210,,,,,,,,,151.611558218426,3,6
20426,73,3,1-73-2021-003-04,4,1,3175,1724,1724,P265/65R18,240,P265/65R18,240,,,,,,,,,256.038376819247,3,6
20421,28,3,1-28-2021-003-06,6,1,3266,1792,1792,P265/65R18,240,P265/65R18,240,,,,,,,,,54.5069177466074,3,6
20421,28,3,1-28-2021-003-06,6,2,1951,1180,1007,P215/65R16,220,P215/65R16,220,,,,,,,,,54.5069177466074,3,6
20424,27,2,1-27-2021-002-03,3,1,2722,1250,1588,P235/75R15,240,P235/75R15,240,P265/70R16,240,P265/70R16,240,P245/75R16,240,P245/75R16,240,41.7305085402554,3,6
20431,32,3,1-32-2021-003-03,3,2,2140,1200,1150,P225/55R18,240,P225/55R18,240,,,,,,,,,876.735351282265,7,6
20424,27,2,1-27-2021-002-03,3,2,9999,9999,9999,9999999999,999,9999999999,999,,,,,,,,,41.7305085402554,3,6
20431,32,3,1-32-2021-003-03,3,3,2041,998,1134,P215/70R14,200,P215/70R14,241,,,,,,,,,876.735351282265,7,6
20431,32,3,1-32-2021-003-03,3,4,4082,1873,2502,P235/65R16,360,P235/65R16,490,,,,,,,,,876.735351282265,7,6
20428,25,2,1-25-2021-002-07,7,1,1950,1100,960,P205/65R16,225,P205/65R16,225,,,,,,,,,923.85697446811,2,6
20429,25,3,1-25-2021-003-08,8,1,9999,9999,9999,9999999999,999,9999999999,999,,,,,,,,,128.934874562164,2,6
20432,32,4,1-32-2021-004-07,7,1,1830,985,870,P205/55R17,220,P205/55R17,220,,,,,,,,,4360.02830263929,7,6
20432,32,4,1-32-2021-004-07,7,2,2688,1256,1438,P235/60R18,250,P235/60R18,250,,,,,,,,,4360.02830263929,7,6
20436,59,1,1-59-2021-001-05,5,1,9999,9999,9999,9999999999,999,9999999999,999,,,,,,,,,68.0216528781747,6,6
20436,59,1,1-59-2021-001-05,5,2,9999,9999,9999,9999999999,999,9999999999,999,,,,,,,,,68.0216528781747,6,6
20443,76,2,1-76-2021-002-04,4,1,1963,1097,945,P215/60R16,220,P215/60R16,220,,,,,,,,,91.259366153553,3,6
20436,59,1,1-59-2021-001-05,5,3,2059,1093,971,P235/40R19,255,P235/40R19,255,,,,,,,,,68.0216528781747,6,6
20445,66,2,1-66-2021-002-03,3,1,2540,1202,1451,P235/70R16,221,P235/70R16,241,,,,,,,,,361.761009117995,6,6
20445,66,2,1-66-2021-002-03,3,2,2715,1325,1415,P235/55R20,240,P235/55R20,240,,,,,,,,,361.761009117995,6,6
20440,13,2,1-13-2021-002-05,5,1,1896,1089,1089,P195/70R14,210,P195/70R14,210,,,,,,,,,401.656518587378,7,6
