CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,LFOH,LFBC,WBLEFT,LRBC,LROH,RFOH,RFBC,WBRIGHT,RRBC,RROH,FRNTBUMP,REARBUMP,FRNTHOOD,FRNTWIND,FRNTPILL,BACKTRUNK,BACKLIGHT,BACKBPILL,SIDEDOOR,SIDEGLAZ,SIDEROOF,VERTROOF,VERTGLAZ,VERTDOOR,BACKPICKUP,PBED,CASEWGT,PSUSTRAT,VERSION
20769,24,16,1-24-2021-016-03,3,2,887,887,301,887,887,887,887,887,887,887,30,44,108,887,887,887,887,205,16,23,105,887,41,88,887,887,113.48027684511,1,6
20769,24,16,1-24-2021-016-03,3,1,887,887,887,887,887,887,887,281,887,887,62,887,138,887,887,887,887,165,9,20,120,887,48,87,887,887,113.48027684511,1,6
20767,48,10,1-48-2021-010-03,3,2,887,887,300,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,15,5,102,887,887,887,887,887,118.597247063654,12,6
20766,48,9,1-48-2021-009-07,7,1,887,887,267,887,887,887,887,267,887,887,38,40,125,999,999,34,19,169,8,6,112,887,887,887,887,887,686.64466089287,12,6
20765,11,3,1-11-2021-003-02,2,1,887,887,887,887,887,887,887,260,887,887,40,42,122,887,887,887,887,887,887,887,887,887,887,887,887,887,88.5808533325855,8,6
20764,11,2,1-11-2021-002-04,4,2,887,887,367,887,887,887,887,367,887,887,44,56,130,887,887,887,887,887,887,887,887,887,887,887,887,188,3632.14285395619,8,6
20762,77,10,1-77-2021-010-03,3,1,887,887,887,887,887,887,887,887,887,887,45,887,123,887,887,887,887,887,887,887,887,887,887,887,887,887,316.353167528995,9,6
20761,14,8,1-14-2021-008-05,5,2,887,887,887,887,887,887,887,887,887,887,40,887,106,887,887,887,887,162,887,887,109,887,40,85,887,887,252.290284723637,8,6
20761,14,8,1-14-2021-008-05,5,1,887,887,272,887,887,887,887,282,887,887,887,30,153,887,887,63,60,999,12,14,117,887,29,81,887,887,252.290284723637,8,6
20759,76,8,1-76-2021-008-04,4,1,887,887,286,887,887,887,887,288,887,887,887,887,887,887,887,887,887,887,12,24,107,887,887,887,887,887,43.7646309414867,3,6
20754,25,12,1-25-2021-012-04,4,2,887,887,887,887,887,887,887,887,887,887,999,887,127,887,887,887,887,887,887,887,887,887,887,887,887,887,630.991187542309,2,6
20754,25,12,1-25-2021-012-04,4,1,887,887,999,887,887,887,887,887,887,887,887,887,887,887,887,887,887,887,999,999,887,887,887,887,887,887,630.991187542309,2,6
20752,31,8,1-31-2021-008-10,10,1,887,887,887,887,887,887,887,270,887,887,887,887,887,887,887,887,887,887,8,4,109,887,887,887,887,887,255.507439927165,6,6
20751,73,9,1-73-2021-009-03,3,2,105,887,283,887,102,105,887,283,887,102,48,39,126,887,887,999,26,165,10,13,105,887,38,89,887,887,40.0727081962544,3,6
20751,73,9,1-73-2021-009-03,3,1,98,887,282,887,104,98,887,282,887,104,45,887,120,887,887,887,887,193,9,14,114,887,37,81,887,887,40.0727081962544,3,6
20749,32,19,1-32-2021-019-05,5,1,887,887,887,887,887,887,887,887,887,887,999,999,145,887,887,61,887,887,12,25,108,887,34,85,887,887,74.4174451122111,7,6
20748,19,19,1-19-2021-019-10,10,1,887,887,887,887,887,887,887,887,887,887,43,887,120,999,999,887,887,887,887,887,887,887,887,887,887,887,5342.50757523584,9,6
