CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,WHEELBASE,OAL,MAXWIDTH,CURBWT,TRACKWIDTH,OVERHANG_FRT,OVERHANG_REAR,UEW,ENG_CYL,ENG_DISP,TRANSMISSION,DRVWHEELS,ALTVEH,SUSPMODS,CASEWGT,PSUSTRAT,VERSION
20353,52,1,1-52-2021-001-06,6,1,295,518,204,2408,173,103,120,178,8,5.3,2,2,0,1,54.0863209418249,12,6
20354,52,2,1-52-2021-002-03,3,1,266,460,185,1765,157,94,100,170,4,2.5,2,4,0,0,26.594650862345,12,6
20354,52,2,1-52-2021-002-03,3,2,265,452,179,1897,152,88,100,147,6,3.3,2,3,0,0,26.594650862345,12,6
20357,25,1,1-25-2021-001-04,4,1,267,470,181,1545,154,99,104,999,4,2.0,2,1,0,0,3630.87782139027,2,6
20357,25,1,1-25-2021-001-04,4,2,269,461,184,1828,151,82,111,999,8,4.7,9,9,9,0,3630.87782139027,2,6
20359,73,2,1-73-2021-002-09,9,1,266,480,176,1383,147,102,114,150,6,3.1,2,1,0,0,695.975639523711,3,6
20361,16,1,1-16-2021-001-03,3,1,282,450,173,1202,999,91,77,999,4,1.6,2,1,0,0,453.947044454748,5,6
20361,16,1,1-16-2021-001-03,3,2,287,516,194,1822,168,103,126,152,6,3.5,2,1,0,0,453.947044454748,5,6
20362,28,2,1-28-2021-002-04,4,1,269,454,184,1668,157,93,92,150,4,1.5,2,3,0,0,184.198165390185,3,6
20365,32,2,1-32-2021-002-07,7,1,278,489,185,1496,158,98,112,160,4,2.4,2,1,0,0,13698.2428538335,7,6
20365,32,2,1-32-2021-002-07,7,2,265,453,183,1340,154,89,99,152,4,2.0,2,1,0,0,13698.2428538335,7,6
20367,14,1,1-14-2021-001-04,4,1,271,464,182,1385,160,91,102,160,4,2.0,2,1,0,0,2225.23386789893,8,6
20369,13,1,1-13-2021-001-04,4,1,269,467,181,1497,155,100,99,999,4,2.4,9,9,9,0,6717.54316040136,7,6
20369,13,1,1-13-2021-001-04,4,2,278,487,183,1453,159,97,112,146,4,2.5,2,1,0,0,6717.54316040136,7,6
20372,31,1,1-31-2021-001-07,7,1,278,465,180,1503,153,83,104,139,4,2.0,2,2,0,1,484.881171238789,6,6
20372,31,1,1-31-2021-001-07,7,2,365,573,203,2394,174,100,108,160,8,5.3,9,3,9,0,484.881171238789,6,6
20374,76,1,1-76-2021-001-05,5,1,265,465,178,1364,154,91,109,150,4,1.8,2,1,0,0,18.2095784841132,3,6
20374,76,1,1-76-2021-001-05,5,2,282,468,193,1993,166,92,94,160,6,3.5,2,4,0,0,18.2095784841132,3,6
20374,76,1,1-76-2021-001-05,5,3,283,479,178,1631,149,86,109,160,6,4.0,2,3,0,0,18.2095784841132,3,6
20380,23,1,1-23-2021-001-02,2,1,239,364,160,1019,138,73,52,134,4,1.4,2,1,0,0,76.5871994777887,5,6
20384,15,2,1-15-2021-002-03,3,1,266,459,185,1580,161,91,101,999,4,1.5,2,4,0,0,38.9076244801475,1,6
20384,15,2,1-15-2021-002-03,3,2,270,469,184,1610,160,97,102,999,4,2.5,2,4,0,0,38.9076244801475,1,6
24095,32,129,1-32-2021-129-02,2,1,270,469,184,1550,160,97,102,164,4,2.5,2,1,0,0,143.869542624483,7,6
24096,31,89,1-31-2021-089-10,10,1,246,393,172,1191,147,999,999,999,4,1.8,2,1,9,0,255.507439927165,6,6
24097,31,90,1-31-2021-090-07,7,1,257,424,181,1447,154,88,81,147,4,2.4,2,4,0,1,242.440585619395,6,6
24098,27,96,1-27-2021-096-08,8,1,273,480,183,1569,155,98,110,152,6,3.3,2,1,0,1,76.9218065436682,3,6
24100,18,101,1-18-2021-101-03,3,1,279,482,193,2111,160,91,112,999,6,4.0,2,3,9,0,141.534035265276,6,6
24101,18,102,1-18-2021-102-08,8,1,281,509,185,1630,158,110,120,148,6,3.5,2,1,0,0,148.729354415883,6,6
24103,21,160,1-21-2021-160-06,6,1,273,466,179,1378,156,92,102,999,4,2.5,9,9,9,0,118.311365104029,11,6
24103,21,160,1-21-2021-160-06,6,2,303,508,198,2020,172,95,110,999,6,3.5,2,1,9,0,118.311365104029,11,6
24108,20,160,1-20-2021-160-03,3,1,426,646,203,2991,174,100,120,172,8,6.6,2,3,0,1,99.964380871425,11,6
24108,20,160,1-20-2021-160-03,3,2,258,430,182,1631,158,80,92,999,4,2.4,2,3,9,0,99.964380871425,11,6
24111,26,177,1-26-2021-177-05,5,1,262,456,182,1586,158,92,102,148,4,2.4,2,4,9,0,15.6253384433449,10,6
24111,26,177,1-26-2021-177-05,5,2,270,469,188,1640,164,93,106,158,4,2.4,2,4,9,0,15.6253384433449,10,6
24112,26,178,1-26-2021-178-04,4,1,264,446,180,1525,155,87,95,122,4,2.0,2,1,0,0,409.157676103454,10,6
24113,21,162,1-21-2021-162-07,7,2,260,433,176,1335,151,96,78,144,4,1.8,2,1,0,0,323.071981589605,11,6
24113,21,162,1-21-2021-162-07,7,1,295,513,197,2469,171,100,118,999,8,5.3,9,9,9,0,323.071981589605,11,6
24114,30,113,1-30-2021-113-03,3,1,286,486,195,1910,169,103,97,999,6,3.6,9,4,9,0,355.687684888196,10,6
24114,30,113,1-30-2021-113-03,3,2,264,444,186,1662,162,89,91,999,4,2.0,9,1,9,0,355.687684888196,10,6
24116,29,99,1-29-2021-099-06,6,1,280,484,183,1454,158,97,108,149,4,2.4,2,1,0,0,1032.65028599056,2,6
24116,29,99,1-29-2021-099-06,6,2,286,501,200,2131,170,96,117,163,6,3.5,2,3,0,0,1032.65028599056,2,6
24118,76,81,1-76-2021-081-04,4,1,264,441,176,1474,151,88,89,160,4,2.4,2,3,0,1,85.2668506157759,3,6
24118,76,81,1-76-2021-081-04,4,2,285,480,193,1875,165,97,99,999,4,2.0,2,4,0,0,85.2668506157759,3,6
24119,76,82,1-76-2021-082-10,10,1,320,515,178,1625,148,85,111,150,6,4.0,2,3,0,1,588.672951793917,3,6
22081,52,89,1-52-2021-089-06,6,2,281,465,188,1882,163,85,97,167,4,2.0,2,4,0,0,136.270255006421,12,6
22087,73,44,1-73-2021-044-04,4,1,281,486,187,1475,162,97,108,999,4,2.4,9,9,9,0,366.589163845506,3,6
22084,52,92,1-52-2021-092-10,10,1,310,525,195,2043,170,96,120,178,6,3.4,2,3,0,0,1398.48511583609,12,6
22084,52,92,1-52-2021-092-10,10,2,292,482,194,2211,163,88,102,176,6,3.6,2,4,0,0,1398.48511583609,12,6
22107,13,46,1-13-2021-046-06,6,1,356,574,201,2407,174,102,116,180,8,5.7,2,2,0,0,3331.42828389727,7,6
22101,18,42,1-18-2021-042-06,6,1,303,508,198,2045,172,95,110,182,6,3.5,2,4,0,0,524.445688577783,6,6
22124,15,76,1-15-2021-076-09,9,1,357,574,201,2305,173,102,116,999,8,5.7,2,3,9,0,112.540271530989,1,6
22124,15,76,1-15-2021-076-09,9,2,258,430,182,1631,158,80,92,999,4,2.4,2,4,0,0,112.540271530989,1,6
22147,12,15,1-12-2021-015-04,4,1,379,595,202,3005,175,100,116,180,6,6.7,2,3,0,1,3051.78198650356,9,6
22150,17,48,1-17-2021-048-02,2,1,298,496,187,1982,162,88,110,165,8,4.4,2,4,0,0,63.7137743550154,4,6
22164,28,41,1-28-2021-041-07,7,1,365,573,203,2394,174,100,108,180,8,5.3,2,3,0,0,350.028548558498,3,6
22170,14,38,1-14-2021-038-02,2,1,291,492,187,1861,163,92,109,160,6,3.0,2,4,0,0,206.051907504817,8,6
22170,14,38,1-14-2021-038-02,2,2,320,528,200,2158,170,92,116,999,6,4.2,9,9,9,0,206.051907504817,8,6
22190,27,50,1-27-2021-050-03,3,1,278,484,180,1437,154,97,109,148,4,2.5,2,1,0,0,45.1380922572235,3,6
22190,27,50,1-27-2021-050-03,3,2,270,463,188,1252,156,89,104,150,4,1.5,2,1,0,0,45.1380922572235,3,6
22207,19,89,1-19-2021-089-03,3,1,270,463,188,1252,156,89,104,160,4,2.0,2,1,0,0,58.1846960607074,9,6
