CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EVENTNO,OBJCONT,PDOF,OCLOCK,ENDSHIFT,OVERUNDER,HEADINGANG,CDC,CDCPLANE,CDCLONGLAT,CDCVERTLAT,CDCDISTRIB,CDCEXTENT,DAMAPILLAR,DAMBPILLAR,DAMCPILLAR,DAMOTHPILLAR,SILLHEIGHT,CMAXHEIGHT,DOORSILLDIFF,DVBASIS,DVTOTAL,DVLONG,DVLAT,DVENERGY,DVSPEED,DVMOMENT,DVBARRIER,DVESTIMATE,DVRANK,DIRECTLOCATION,FIELDLLOCATION,CMAXLOCATION,FIELDL,FIELDLD,DIRECTL,DIRECTD,DIRECTWIDTH,CMAX,C1,C2,C3,C4,C5,C6,ROLLLAT,ROLLVERT,CASEWGT,PSUSTRAT,VERSION
24451,32,1,1-32-2022-001-03,3,1,4,42,350,12,0,0,888,12LPES01,L,P,E,S,01,8,8,8,8,888,888,888,8,999,999,999,9999999,999,999,999,6,2,"starts 88 cm forward of left rear axle, extending 126 cm forward","starts 88 cm forward of left rear axle, extending 126 cm forward",not applicable,999,999,999,999,126,999,999,999,999,999,999,999,,,47.64947451,7,7
24451,32,1,1-32-2022-001-03,3,1,2,41,998,0,0,0,888,00FLGN99,F,L,G,N,99,8,8,8,8,888,888,888,7,999,999,999,9999999,999,999,999,6,8,Left side of windshield,Left side of windshield,not applicable,999,999,999,999,999,999,999,999,999,999,999,999,,,47.64947451,7,7
24488,23,3,1-23-2022-003-10,10,1,2,68,350,12,0,0,888,12FLEN01,F,L,E,N,01,8,8,8,8,888,888,888,12,999,999,999,9999999,999,999,999,6,2,"Front plane, otherwise unknown.","Front plane, otherwise unknown.",Unknown.,999,999,999,999,999,999,999,999,999,999,999,999,,,1004.081042,5,7
24494,19,2,1-19-2022-002-05,5,1,1,60,350,12,0,0,888,12FDEW03,F,D,E,W,03,8,8,8,8,888,888,888,1,72,-71,13,304908,998,30,72,0,1,Bumper corner to bumper corner,Bumper corner to bumper corner,54cm left of center,108,0,150,0,140,71,71,65,55,43,28,21,,,37.27910038,9,7
24505,52,2,1-52-2022-002-03,3,2,2,68,100,3,0,0,888,03BREN01,B,R,E,N,01,8,8,8,8,888,888,888,12,999,999,999,9999999,999,999,999,9,2,Begins 88cm right of center extending left,Begins 88cm right of center extending left,Unknown n/a,999,999,999,999,20,999,999,999,999,999,999,999,,,35.72280343,12,7
24505,52,2,1-52-2022-002-03,3,1,1,2,50,2,1,0,170,02FDEW02,F,D,E,W,02,8,8,8,8,888,888,888,1,28,-18,-22,154102,998,-148,34,0,1,Begins 45cm left of center extending right,Begins 45cm left of center extending right,59cm left of center,170,0,170,20,132,32,27,31,32,32,32,29,,,35.72280343,12,7
24505,52,2,1-52-2022-002-03,3,2,1,1,290,10,0,0,105,10LYEW02,L,Y,E,W,02,1,1,0,0,33,70,7,1,25,-8,23,5998,998,-50,8,0,1,Begins 14cm forward of left rear axle extending forward,Begins 14cm forward of left rear axle extending forward,135cm forward of left rear axle.,204,-20,204,-13,216,4,0,1,1,4,0,0,,,35.72280343,12,7
25017,10,24,1-10-2022-024-02,2,1,1,2,20,1,0,0,140,01FDEW02,F,D,E,W,02,8,8,8,8,888,888,888,1,37,-35,-13,121658,998,-60,44,0,1,43cm Left of Center Extends 91cm Right,43cm Left of Center Extends 91cm Right,36cm Right of Center,120,0,144,2,91,41,23,34,37,40,35,10,,,19.87147656,4,7
25017,10,24,1-10-2022-024-02,2,1,2,2,90,3,0,0,100,03RPEW01,R,P,E,W,01,8,8,8,8,888,888,888,98,999,999,999,9999999,999,999,999,6,2,62cm Forward of Right Rear Axle Extends Forward 56cm,62cm Forward of Right Rear Axle Extends Forward 56cm,100cm Forward of Right Rear Axle,999,999,999,999,56,999,999,999,999,999,999,999,,,19.87147656,4,7
27667,52,153,1-52-2022-153-05,5,2,3,31,998,0,0,0,888,00LDAO02,L,D,A,O,02,8,8,8,8,888,888,888,6,999,999,999,9999999,999,999,999,6,2,Left Side front to back,Left Side front to back,No crush,888,888,888,888,888,,,,,,,,0,0,14.69024848,12,7
27667,52,153,1-52-2022-153-05,5,2,1,1,10,12,0,0,170,12FDEW02,F,D,E,W,02,8,8,8,8,888,888,888,1,31,-30,-5,131512,998,-32,43,0,1,Left front bumper corner to right front bumper corner,Left front bumper corner to right front bumper corner,9cm Left of Center,100,0,156,0,156,41,0,19,38,37,36,35,,,14.69024848,12,7
27813,52,157,1-52-2022-157-09,9,2,1,1,70,2,0,0,145,02RDAW04,R,D,A,W,04,1,1,1,0,31,70,38,3,29,-10,-27,130019,998,113,34,0,1,Begins 124cm rearward of right rear axle extending forward,Begins 124cm rearward of right rear axle extending forward,155cm forward of right rear axle.,316,28,316,-72,389,48,2,11,41,40,23,9,,,134.1236839,12,7
27813,52,157,1-52-2022-157-09,9,2,2,59,0,12,0,0,888,12FYEW03,F,Y,E,W,03,8,8,8,8,888,888,888,12,999,999,999,9999999,999,999,999,7,2,Begins 29cm right of center extending left,Begins 29cm right of center extending left,Not measured.,999,999,999,999,110,999,999,999,999,999,999,999,,,134.1236839,12,7
26917,76,75,1-76-2022-075-10,10,1,1,51,0,12,0,0,888,12FREE06,F,R,E,E,06,8,8,8,8,888,888,888,12,999,999,999,9999999,999,999,999,8,1,Begins 49 cm Right of Front Center Point and Extends Right,Begins 49 cm Right of Front Center Point and Extends Right,Right Front Bumper Corner,999,999,999,999,26,999,999,999,999,999,999,999,,,162.8783163,3,7
25669,20,67,1-20-2022-067-06,6,1,1,68,0,12,0,0,888,12UDDW99,U,D,D,W,99,8,8,8,8,888,888,888,12,999,999,999,9999999,999,999,999,9,2,"Unknown, due to post crash removal","Unknown, due to post crash removal",Not measured,999,999,152,999,999,999,999,999,999,999,999,999,,,104.0592519,11,7
25669,20,67,1-20-2022-067-06,6,1,2,31,998,0,0,0,888,00TDDO03,T,D,D,O,03,8,8,8,8,888,888,888,6,999,999,999,9999999,999,999,999,7,1,Roof rail to roof rail,Roof rail to roof rail,Front right windshield header,888,888,888,888,888,,,,,,,,5,21,104.0592519,11,7
25686,25,26,1-25-2022-026-09,9,2,1,1,10,12,0,0,50,12FLEW02,F,L,E,W,02,8,8,8,8,888,888,888,1,20,-19,-3,38639,998,-84,20,0,1,Starts 30 cm left of center extending left,Starts 30 cm left of center extending left,24 cm left of center,112,0,152,-53,46,19,13,19,16,10,2,0,,,365.3424653,2,7
25686,25,26,1-25-2022-026-09,9,1,1,2,10,12,0,0,230,12FYEW01,F,Y,E,W,01,8,8,8,8,888,888,888,1,22,-21,-4,33831,998,-77,21,0,1,Starts 18 cm left of center extending left,Starts 18 cm left of center extending left,Left front rebar corner,115,0,146,-45,56,17,17,12,11,8,5,5,,,365.3424653,2,7
25706,19,62,1-19-2022-062-01,1,1,3,60,998,0,0,0,888,00LZEW03,L,Z,E,W,03,8,8,8,8,888,888,888,7,999,999,999,9999999,999,999,999,7,2,Begins 95cm rearward the left rear axle and continues forward,Begins 95cm rearward the left rear axle and continues forward,3cm forward the left rear axle,999,999,999,999,278,999,999,999,999,999,999,999,,,60.62443222,9,7
24511,28,1,1-28-2022-001-10,10,1,1,45,10,12,0,0,888,12FLEN01,F,L,E,N,01,8,8,8,8,888,888,888,12,999,999,999,9999999,999,999,999,6,1,Unknown,Unknown,Unknown,999,999,999,999,999,999,999,999,999,999,999,999,,,200.3657103,3,7
24514,14,2,1-14-2022-002-07,7,2,1,1,310,10,0,0,330,10LZEW01,L,Z,E,W,01,8,8,8,8,888,888,888,1,17,-11,13,7795,998,-185,7,0,1,begins 100cm aft of left rear axle and goes forward,begins 100cm aft of left rear axle and goes forward,62cm aft of left rear axle,159,-145,159,-157,158,9,3,8,2,3,5,1,,,4062.253859,8,7
24514,14,2,1-14-2022-002-07,7,2,2,63,0,12,0,0,888,12FYEN01,F,Y,E,N,01,8,8,8,8,888,888,888,12,999,999,999,9999999,999,999,999,6,2,begins 57cm left of center and goes right,begins 57cm left of center and goes right,not measured,999,999,999,999,16,999,999,999,999,999,999,999,,,4062.253859,8,7
24522,31,1,1-31-2022-001-01,1,1,2,41,270,9,0,0,888,09LPAN02,L,P,A,N,02,8,8,8,8,888,888,888,10,999,999,999,9999999,999,999,999,6,2,Not measured,Not measured,Unknown,999,999,999,999,999,999,999,999,999,999,999,999,,,279.9066687,6,7
24522,31,1,1-31-2022-001-01,1,1,3,41,280,9,0,0,888,09LBEN01,L,B,E,N,01,8,8,8,8,888,888,888,10,999,999,999,9999999,999,999,999,6,8,Not measured,Not measured,Unknown,999,999,999,999,999,999,999,999,999,999,999,999,,,279.9066687,6,7
24522,31,1,1-31-2022-001-01,1,1,4,41,290,10,0,0,888,10L99999,L,9,9,9,99,8,8,8,8,888,888,888,10,999,999,999,9999999,999,999,999,6,8,Not measured,Not measured,Unknown,999,999,999,999,999,999,999,999,999,999,999,999,,,279.9066687,6,7
