CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,FIRE,FIREORGIN,CASEWGT,PSUSTRAT,VERSION
24549,59,3,1-59-2022-003-05,5,1,0,0,39.03825195,6,7
24550,17,2,1-17-2022-002-05,5,1,0,0,74.63199473,4,7
24550,17,2,1-17-2022-002-05,5,2,0,0,74.63199473,4,7
24551,17,3,1-17-2022-003-03,3,1,0,0,391.8680427,4,7
24552,19,6,1-19-2022-006-02,2,1,0,0,52.3928042,9,7
24553,19,7,1-19-2022-007-03,3,2,0,0,69.54885741,9,7
24555,19,9,1-19-2022-009-04,4,2,0,0,273.0767907,9,7
24556,19,10,1-19-2022-010-07,7,1,0,0,470.6217507,9,7
24556,19,10,1-19-2022-010-07,7,2,0,0,470.6217507,9,7
24558,11,2,1-11-2022-002-04,4,1,0,0,3217.541874,8,7
24560,24,1,1-24-2022-001-04,4,1,0,0,1037.474845,1,7
24561,24,2,1-24-2022-002-03,3,1,0,0,245.7609152,1,7
24561,24,2,1-24-2022-002-03,3,2,0,0,245.7609152,1,7
24562,24,3,1-24-2022-003-03,3,1,0,0,245.7609152,1,7
24562,24,3,1-24-2022-003-03,3,2,0,0,245.7609152,1,7
24562,24,3,1-24-2022-003-03,3,3,0,0,245.7609152,1,7
24563,73,3,1-73-2022-003-07,7,1,0,0,957.7372056,3,7
24564,73,4,1-73-2022-004-02,2,1,0,0,37.3527147,3,7
24566,25,3,1-25-2022-003-07,7,1,0,0,3833.776626,2,7
24568,10,4,1-10-2022-004-06,6,1,0,0,667.8438778,4,7
24570,28,2,1-28-2022-002-06,6,2,1,4,160.2372844,3,7
24572,52,3,1-52-2022-003-08,8,2,0,0,172.0701827,12,7
24575,66,2,1-66-2022-002-01,1,1,0,0,149.6238334,6,7
24576,66,3,1-66-2022-003-07,7,1,0,0,183.370674,6,7
24577,23,4,1-23-2022-004-03,3,1,0,0,535.7106183,5,7
24578,23,5,1-23-2022-005-08,8,1,0,0,658.4613243,5,7
24582,13,3,1-13-2022-003-01,1,1,0,0,91.62746346,7,7
24582,13,3,1-13-2022-003-01,1,2,0,0,91.62746346,7,7
24584,13,5,1-13-2022-005-05,5,1,0,0,127.1869728,7,7
24584,13,5,1-13-2022-005-05,5,2,0,0,127.1869728,7,7
24586,10,6,1-10-2022-006-03,3,1,0,0,289.1786048,4,7
24588,14,3,1-14-2022-003-03,3,1,0,0,1056.638073,8,7
24588,14,3,1-14-2022-003-03,3,2,0,0,1056.638073,8,7
24589,32,4,1-32-2022-004-04,4,2,0,0,2661.469108,7,7
24591,18,2,1-18-2022-002-05,5,2,0,0,54.11806674,6,7
24594,27,2,1-27-2022-002-02,2,1,0,0,30.8268279,3,7
24596,12,3,1-12-2022-003-04,4,1,0,0,435.868486,9,7
24596,12,3,1-12-2022-003-04,4,2,0,0,435.868486,9,7
24597,12,4,1-12-2022-004-07,7,1,0,0,887.2297662,9,7
24597,12,4,1-12-2022-004-07,7,2,0,0,887.2297662,9,7
24598,26,2,1-26-2022-002-05,5,1,0,0,31.30897636,10,7
24599,26,3,1-26-2022-003-06,6,1,0,0,395.26113,10,7
24599,26,3,1-26-2022-003-06,6,2,0,0,395.26113,10,7
24600,26,4,1-26-2022-004-08,8,1,0,0,153.1138281,10,7
24600,26,4,1-26-2022-004-08,8,2,0,0,153.1138281,10,7
24604,20,2,1-20-2022-002-03,3,1,0,0,83.20002265,11,7
24605,20,3,1-20-2022-003-02,2,1,0,0,31.9626892,11,7
24605,20,3,1-20-2022-003-02,2,2,0,0,31.9626892,11,7
24608,76,1,1-76-2022-001-03,3,1,0,0,21.45627751,3,7
24611,31,3,1-31-2022-003-07,7,1,0,0,269.7339922,6,7
24611,31,3,1-31-2022-003-07,7,2,0,0,269.7339922,6,7
24612,76,3,1-76-2022-003-04,4,1,0,0,28.25465863,3,7
24613,31,2,1-31-2022-002-09,9,1,0,0,208.6732651,6,7
24617,20,5,1-20-2022-005-04,4,1,0,0,415.7410607,11,7
24621,16,3,1-16-2022-003-01,1,2,0,0,79.23916321,5,7
24623,48,1,1-48-2022-001-06,6,1,0,0,795.8450551,12,7
24624,77,3,1-77-2022-003-02,2,1,0,0,97.45773006,9,7
24624,77,3,1-77-2022-003-02,2,2,0,0,97.45773006,9,7
24625,77,4,1-77-2022-004-05,5,1,0,0,228.0387703,9,7
24626,23,6,1-23-2022-006-03,3,1,0,0,223.7938626,5,7
24627,23,7,1-23-2022-007-09,9,1,0,0,1025.604042,5,7
24628,59,4,1-59-2022-004-05,5,1,0,0,68.53520369,6,7
24629,59,5,1-59-2022-005-03,3,1,0,0,489.8365399,6,7
24629,59,5,1-59-2022-005-03,3,2,0,0,489.8365399,6,7
24630,54,5,1-54-2022-005-10,10,1,0,0,962.3069321,9,7
24630,54,5,1-54-2022-005-10,10,2,0,0,962.3069321,9,7
24631,54,6,1-54-2022-006-07,7,1,0,0,161.6619254,9,7
24631,54,6,1-54-2022-006-07,7,2,0,0,161.6619254,9,7
24632,17,4,1-17-2022-004-10,10,1,0,0,1006.177319,4,7
24634,19,11,1-19-2022-011-05,5,1,0,0,37.27910038,9,7
24635,19,12,1-19-2022-012-08,8,1,0,0,72.09721117,9,7
24636,19,13,1-19-2022-013-04,4,2,0,0,269.4532853,9,7
24637,19,14,1-19-2022-014-06,6,1,0,0,156.2577963,9,7
24637,19,14,1-19-2022-014-06,6,2,0,0,156.2577963,9,7
24638,11,3,1-11-2022-003-06,6,1,0,0,2831.781528,8,7
24639,11,4,1-11-2022-004-06,6,1,0,0,2831.781528,8,7
24640,24,4,1-24-2022-004-06,6,1,0,0,200.1758784,1,7
24640,24,4,1-24-2022-004-06,6,2,0,0,200.1758784,1,7
24642,13,6,1-13-2022-006-02,2,1,0,0,46.16961345,7,7
24643,13,7,1-13-2022-007-02,2,1,0,0,46.16961345,7,7
24643,13,7,1-13-2022-007-02,2,2,0,0,46.16961345,7,7
24644,13,8,1-13-2022-008-03,3,1,0,0,1132.6352,7,7
24644,13,8,1-13-2022-008-03,3,2,0,0,1132.6352,7,7
24645,13,9,1-13-2022-009-01,1,1,0,0,150.2299772,7,7
24646,25,4,1-25-2022-004-06,6,1,0,0,518.3892669,2,7
24647,25,5,1-25-2022-005-09,9,1,0,0,1008.508535,2,7
24648,52,4,1-52-2022-004-06,6,1,0,0,106.4450739,12,7
24649,52,5,1-52-2022-005-04,4,1,0,0,190.9352376,12,7
24650,28,3,1-28-2022-003-06,6,1,0,0,40.33582204,3,7
24651,28,4,1-28-2022-004-07,7,1,0,0,131.0935584,3,7
24651,28,4,1-28-2022-004-07,7,2,0,0,131.0935584,3,7
24652,10,7,1-10-2022-007-09,9,2,0,0,3846.415328,4,7
24653,10,8,1-10-2022-008-08,8,1,0,0,886.5323702,4,7
24654,66,4,1-66-2022-004-10,10,1,0,0,829.1701173,6,7
24655,66,5,1-66-2022-005-09,9,1,0,0,136.5775789,6,7
24656,16,4,1-16-2022-004-06,6,1,0,0,905.5803078,5,7
24657,16,5,1-16-2022-005-06,6,1,0,0,905.5803078,5,7
24657,16,5,1-16-2022-005-06,6,2,0,0,905.5803078,5,7
24658,14,4,1-14-2022-004-05,5,1,0,0,270.3763069,8,7
24659,14,5,1-14-2022-005-04,4,1,0,0,4594.861858,8,7
24659,14,5,1-14-2022-005-04,4,2,0,0,4594.861858,8,7
24662,27,3,1-27-2022-003-04,4,1,0,0,204.4118436,3,7
24663,27,4,1-27-2022-004-03,3,1,0,0,48.17066381,3,7
24664,24,6,1-24-2022-006-09,9,1,0,0,525.9108341,1,7
24665,32,7,1-32-2022-007-02,2,1,0,0,88.13967607,7,7
24666,73,5,1-73-2022-005-06,6,1,0,0,111.9691317,3,7
24666,73,5,1-73-2022-005-06,6,2,0,0,111.9691317,3,7
24667,73,6,1-73-2022-006-10,10,1,0,0,1763.736959,3,7
