CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,ADAPT,CASEWGT,PSUSTRAT,VERSION
30672,10,108,1-10-2023-108-02,2,4,3,21.75120523,4,8
28512,28,5,1-28-2023-005-07,7,1,1,248.1287979,3,8
28512,28,5,1-28-2023-005-07,7,1,2,248.1287979,3,8
28512,28,5,1-28-2023-005-07,7,1,3,248.1287979,3,8
28512,28,5,1-28-2023-005-07,7,1,8,248.1287979,3,8
29478,54,28,1-54-2023-028-08,8,1,3,156.9645701,9,8
29478,54,28,1-54-2023-028-08,8,1,9,156.9645701,9,8
30522,77,57,1-77-2023-057-03,3,2,1,498.0938267,9,8
30522,77,57,1-77-2023-057-03,3,2,3,498.0938267,9,8
32196,13,136,1-13-2023-136-02,2,1,3,28.70592219,7,8
30512,10,104,1-10-2023-104-08,8,2,3,130.1880687,4,8
30145,12,53,1-12-2023-053-09,9,1,3,1777.977658,9,8
31496,12,90,1-12-2023-090-04,4,2,3,259.0616273,9,8
28808,20,20,1-20-2023-020-09,9,2,3,120.8697104,11,8
32519,24,116,1-24-2023-116-08,8,1,12,278.0893379,1,8
29649,48,26,1-48-2023-026-06,6,1,3,110.9648253,12,8
