CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,BAGNO,BAGLOCATION,BAGSTATUS,BAGTYPE,BAGDEPLOY,BAGMALFUNCTION,BAGFLAPSOPEN,BAGFLAPSDAM,BAGDAMAGE,BAGDAMSOURCE,PREVCRASH,PRIORMAINT,DEPLOYEVENT,BAGDVTOTAL,BAGDVLONG,BAGDVLAT,BAGDVENERGY,BAGDVSPEED,BAGDVBES,BAGDVEST,BAGDVRANK,CDCFORDEPLOY,CASEWGT,PSUSTRAT,VERSION
28130,77,1,1-77-2023-001-04,4,2,1,1,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,114.5224416,9,8
28130,77,1,1-77-2023-001-04,4,2,2,4,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,114.5224416,9,8
28130,77,1,1-77-2023-001-04,4,2,3,5,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,114.5224416,9,8
28130,77,1,1-77-2023-001-04,4,2,4,5,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,114.5224416,9,8
28130,77,1,1-77-2023-001-04,4,2,5,8,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,114.5224416,9,8
28130,77,1,1-77-2023-001-04,4,2,6,2,1,99,7,0,60,60,60,60,,,,,,,,,,,,,114.5224416,9,8
28130,77,1,1-77-2023-001-04,4,2,7,5,1,99,7,0,60,60,60,60,,,,,,,,,,,,,114.5224416,9,8
28130,77,1,1-77-2023-001-04,4,2,8,5,1,99,7,0,60,60,60,60,,,,,,,,,,,,,114.5224416,9,8
28130,77,1,1-77-2023-001-04,4,2,9,8,1,99,7,0,60,60,60,60,,,,,,,,,,,,,114.5224416,9,8
28131,54,1,1-54-2023-001-10,10,1,1,1,9,79,79,79,79,79,79,79,9,9,79,,,,,,,,,79,129.1926222,9,8
28132,54,2,1-54-2023-002-10,10,2,1,1,1,99,7,0,60,60,60,60,1,1,60,,,,,,,,,60,129.1926222,9,8
28132,54,2,1-54-2023-002-10,10,2,2,2,1,99,7,0,60,60,60,60,,,,,,,,,,,,,129.1926222,9,8
28135,59,1,1-59-2023-001-08,8,1,1,1,1,99,1,0,1,0,0,50,9,9,1,27,-27,0,57930,998,27,0,1,1,189.9365974,6,8
28135,59,1,1-59-2023-001-08,8,1,2,3,1,99,1,0,1,0,0,50,,,,,,,,,,,,,189.9365974,6,8
28135,59,1,1-59-2023-001-08,8,1,3,5,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,189.9365974,6,8
28135,59,1,1-59-2023-001-08,8,1,4,5,1,99,7,0,60,60,60,60,,,,,,,,,,,,,189.9365974,6,8
28139,19,1,1-19-2023-001-02,2,1,1,1,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,103.5094853,9,8
28139,19,1,1-19-2023-001-02,2,1,2,5,1,99,1,0,1,0,0,50,9,9,1,18,9,16,24913,998,20,0,1,1,103.5094853,9,8
28139,19,1,1-19-2023-001-02,2,1,3,8,1,99,1,0,1,0,97,97,9,9,1,18,9,16,24913,998,20,0,1,1,103.5094853,9,8
28139,19,1,1-19-2023-001-02,2,1,4,5,1,99,1,0,1,0,0,50,,,,,,,,,,,,,103.5094853,9,8
28139,19,1,1-19-2023-001-02,2,1,5,2,1,99,7,0,60,60,60,60,,,,,,,,,,,,,103.5094853,9,8
28139,19,1,1-19-2023-001-02,2,1,6,5,1,99,7,0,60,60,60,60,,,,,,,,,,,,,103.5094853,9,8
28139,19,1,1-19-2023-001-02,2,1,7,8,1,99,7,0,60,60,60,60,,,,,,,,,,,,,103.5094853,9,8
28139,19,1,1-19-2023-001-02,2,1,8,5,1,99,7,0,60,60,60,60,,,,,,,,,,,,,103.5094853,9,8
28139,19,1,1-19-2023-001-02,2,2,1,1,1,1,1,0,1,0,0,50,1,1,1,18,-17,-6,20836,998,16,0,1,1,103.5094853,9,8
28139,19,1,1-19-2023-001-02,2,2,2,5,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,103.5094853,9,8
28139,19,1,1-19-2023-001-02,2,2,3,8,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,103.5094853,9,8
28139,19,1,1-19-2023-001-02,2,2,4,2,1,1,1,0,1,0,0,50,1,1,1,18,-17,-6,20836,998,16,0,1,1,103.5094853,9,8
28139,19,1,1-19-2023-001-02,2,2,5,5,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,103.5094853,9,8
28139,19,1,1-19-2023-001-02,2,2,6,8,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,103.5094853,9,8
28143,17,1,1-17-2023-001-03,3,1,1,1,1,1,1,0,1,0,0,50,1,1,1,14,-12,7,13475,998,13,0,1,1,276.2995111,4,8
28143,17,1,1-17-2023-001-03,3,1,2,5,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,276.2995111,4,8
28143,17,1,1-17-2023-001-03,3,1,3,8,1,1,1,0,1,0,97,97,1,1,1,14,-12,7,13475,998,13,0,1,1,276.2995111,4,8
28143,17,1,1-17-2023-001-03,3,1,4,2,1,1,1,0,1,0,0,50,1,1,1,14,-12,7,13475,998,13,0,1,1,276.2995111,4,8
28143,17,1,1-17-2023-001-03,3,1,5,5,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,276.2995111,4,8
28143,17,1,1-17-2023-001-03,3,1,6,8,1,1,7,0,60,60,60,60,1,1,60,,,,,,,,,60,276.2995111,4,8
28143,17,1,1-17-2023-001-03,3,2,1,1,1,99,7,0,60,60,60,60,9,9,60,,,,,,,,,60,276.2995111,4,8
