CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,DISTRACTN,CASEWGT,PSUSTRAT,VERSION
28273,27,4,1-27-2023-004-04,4,1,3,85.87909038,3,8
28277,12,2,1-12-2023-002-09,9,1,9,332.7000447,9,8
28307,77,3,1-77-2023-003-06,6,1,9,814.4528627,9,8
28329,11,4,1-11-2023-004-09,9,1,8,1072.047264,8,8
28342,66,4,1-66-2023-004-05,5,1,99,106.3944278,6,8
28348,31,4,1-31-2023-004-10,10,1,1,190.9257288,6,8
28362,21,3,1-21-2023-003-03,3,1,8,305.2710259,11,8
28379,73,5,1-73-2023-005-06,6,1,1,266.1793596,3,8
28399,19,10,1-19-2023-010-07,7,1,10,547.0342608,9,8
28400,19,11,1-19-2023-011-09,9,1,1,424.3769928,9,8
28419,25,11,1-25-2023-011-06,6,1,8,174.2511185,2,8
28421,66,5,1-66-2023-005-08,8,1,1,270.1049976,6,8
28432,15,14,1-15-2023-014-04,4,1,1,131.1084973,1,8
28446,29,4,1-29-2023-004-09,9,1,3,811.6520683,2,8
28454,26,6,1-26-2023-006-02,2,1,2,31.76907113,10,8
28455,14,5,1-14-2023-005-03,3,1,2,2139.523909,8,8
28483,24,4,1-24-2023-004-07,7,1,99,957.2639276,1,8
28486,14,6,1-14-2023-006-06,6,1,99,7646.462255,8,8
28487,10,13,1-10-2023-013-03,3,1,10,129.5126166,4,8
28488,10,14,1-10-2023-014-03,3,1,6,129.5126167,4,8
28496,52,12,1-52-2023-012-06,6,1,9,74.5399468,12,8
28507,66,6,1-66-2023-006-05,5,1,99,106.3944278,6,8
28511,18,6,1-18-2023-006-04,4,1,3,501.0750017,6,8
28525,27,9,1-27-2023-009-03,3,1,1,111.4708641,3,8
28535,22,6,1-22-2023-006-09,9,1,1,100.4616986,12,8
28538,29,6,1-29-2023-006-08,8,1,3,231.6587948,2,8
28556,77,8,1-77-2023-008-05,5,1,2,159.3875731,9,8
28562,54,10,1-54-2023-010-09,9,1,2,498.693254,9,8
28564,12,10,1-12-2023-010-09,9,1,1,1211.490089,9,8
28568,20,15,1-20-2023-015-05,5,1,1,38.72073121,11,8
28570,19,18,1-19-2023-018-03,3,2,8,58.78117583,9,8
28578,24,9,1-24-2023-009-06,6,1,7,352.6157721,1,8
28580,52,14,1-52-2023-014-04,4,1,3,78.35600332,12,8
28581,52,15,1-52-2023-015-04,4,1,7,78.35600332,12,8
28582,14,7,1-14-2023-007-03,3,1,1,586.2882307,8,8
28587,66,9,1-66-2023-009-05,5,2,9,106.3944278,6,8
28599,32,10,1-32-2023-010-04,4,1,3,3429.206927,7,8
28608,25,20,1-25-2023-020-03,3,1,6,175.2004693,2,8
28608,25,20,1-25-2023-020-03,3,1,10,175.2004693,2,8
28610,27,11,1-27-2023-011-07,7,1,99,457.0320833,3,8
28643,24,16,1-24-2023-016-06,6,1,1,393.4075944,1,8
28646,11,15,1-11-2023-015-04,4,1,2,2394.631758,8,8
28667,54,11,1-54-2023-011-08,8,1,5,164.0903772,9,8
28668,54,12,1-54-2023-012-04,4,1,1,503.7360591,9,8
28677,27,12,1-27-2023-012-03,3,1,10,22.23895411,3,8
28686,33,9,1-33-2023-009-10,10,1,6,790.3106911,12,8
28708,15,22,1-15-2023-022-06,6,1,9,59.71003311,1,8
28711,12,11,1-12-2023-011-03,3,1,9,291.4886865,9,8
28713,12,12,1-12-2023-012-09,9,1,7,1740.603035,9,8
28715,30,10,1-30-2023-010-06,6,1,9,151.0335903,10,8
28719,17,20,1-17-2023-020-04,4,1,3,245.8817183,4,8
28733,12,14,1-12-2023-014-09,9,1,4,1590.947639,9,8
28734,33,10,1-33-2023-010-09,9,3,7,2102.252826,12,8
28748,11,17,1-11-2023-017-03,3,1,8,707.5342628,8,8
28764,66,14,1-66-2023-014-10,10,1,3,112.3254186,6,8
28771,10,27,1-10-2023-027-10,10,1,1,5146.655593,4,8
28805,30,12,1-30-2023-012-03,3,1,10,59.09416678,10,8
28807,22,16,1-22-2023-016-07,7,1,7,252.2740154,12,8
28811,27,16,1-27-2023-016-03,3,1,3,39.33517552,3,8
28812,17,24,1-17-2023-024-07,7,1,1,166.577308,4,8
28835,19,30,1-19-2023-030-03,3,1,9,97.14056041,9,8
28837,33,11,1-33-2023-011-08,8,1,9,32.20961321,12,8
28844,24,25,1-24-2023-025-03,3,1,1,135.0465004,1,8
28866,66,15,1-66-2023-015-03,3,1,1,106.5525486,6,8
28867,66,16,1-66-2023-016-06,6,1,1,207.8846349,6,8
28883,12,17,1-12-2023-017-10,10,1,3,4888.297263,9,8
28894,20,25,1-20-2023-025-04,4,1,10,111.8012442,11,8
28896,76,16,1-76-2023-016-04,4,1,9,17.81182118,3,8
28899,33,13,1-33-2023-013-04,4,1,1,99.42027277,12,8
28900,29,9,1-29-2023-009-02,2,1,99,79.2512188,2,8
28904,30,14,1-30-2023-014-07,7,1,10,1349.550456,10,8
28907,31,16,1-31-2023-016-07,7,1,7,270.5823847,6,8
28914,77,14,1-77-2023-014-05,5,1,10,283.0812236,9,8
28915,77,15,1-77-2023-015-05,5,1,9,283.0812236,9,8
28917,23,25,1-23-2023-025-03,3,1,99,112.3609552,5,8
28920,54,17,1-54-2023-017-03,3,1,1,129.9078908,9,8
28922,48,12,1-48-2023-012-03,3,1,1,140.4667866,12,8
28925,59,27,1-59-2023-027-10,10,1,2,435.3225209,6,8
28927,59,29,1-59-2023-029-07,7,1,2,162.5546424,6,8
28938,33,14,1-33-2023-014-03,3,1,1,545.7094539,12,8
28939,11,21,1-11-2023-021-03,3,1,9,1543.123571,8,8
28946,24,27,1-24-2023-027-06,6,1,99,533.0308111,1,8
28949,66,17,1-66-2023-017-10,10,1,1,112.3254186,6,8
28955,16,23,1-16-2023-023-02,2,1,9,17.21038466,5,8
28959,73,27,1-73-2023-027-04,4,1,10,59.53240932,3,8
28986,31,17,1-31-2023-017-09,9,1,10,251.9862351,6,8
28993,26,26,1-26-2023-026-03,3,1,7,480.3702424,10,8
29004,76,19,1-76-2023-019-08,8,1,1,35.07222034,3,8
29014,23,29,1-23-2023-029-06,6,1,10,234.4473503,5,8
29033,19,38,1-19-2023-038-03,3,1,10,120.7393839,9,8
29036,20,27,1-20-2023-027-04,4,1,3,371.9597276,11,8
29037,11,23,1-11-2023-023-08,8,1,1,456.1804572,8,8
29043,24,29,1-24-2023-029-04,4,1,1,1507.642432,1,8
29048,14,17,1-14-2023-017-02,2,1,9,164.4463854,8,8
29072,76,20,1-76-2023-020-10,10,1,8,147.5813992,3,8
29085,26,28,1-26-2023-028-09,9,1,10,884.3099947,10,8
29086,26,29,1-26-2023-029-03,3,1,3,112.2680861,10,8
29095,25,35,1-25-2023-035-06,6,1,2,144.6332938,2,8
29107,54,20,1-54-2023-020-07,7,1,1,468.3649067,9,8
29108,54,21,1-54-2023-021-07,7,1,1,468.3649067,9,8
29110,23,31,1-23-2023-031-05,5,1,6,66.29414151,5,8
29112,77,18,1-77-2023-018-09,9,1,10,2852.530648,9,8
29114,48,16,1-48-2023-016-04,4,1,9,417.0805538,12,8
29121,33,17,1-33-2023-017-01,1,3,9,35.56975287,12,8
29125,19,41,1-19-2023-041-10,10,1,99,1137.843616,9,8
29137,66,23,1-66-2023-023-08,8,1,3,128.7448736,6,8
29146,52,31,1-52-2023-031-02,2,1,9,18.6844744,12,8
29152,10,47,1-10-2023-047-04,4,1,9,437.0091844,4,8
29208,19,45,1-19-2023-045-02,2,1,9,43.98969372,9,8
29211,17,38,1-17-2023-038-04,4,1,1,341.6797305,4,8
29213,17,40,1-17-2023-040-03,3,1,1,106.9923661,4,8
29217,11,28,1-11-2023-028-03,3,1,2,446.1092275,8,8
29233,25,40,1-25-2023-040-06,6,1,10,190.3326706,2,8
29234,25,41,1-25-2023-041-04,4,1,1,320.6470225,2,8
29262,26,39,1-26-2023-039-02,2,1,9,28.21898419,10,8
29267,27,28,1-27-2023-028-03,3,1,10,35.6902655,3,8
32114,32,171,1-32-2023-171-05,5,1,1,133.6072202,7,8
32121,27,113,1-27-2023-113-03,3,2,1,29.59976362,3,8
32148,23,91,1-23-2023-091-01,1,1,99,58.2037301,5,8
32152,59,141,1-59-2023-141-08,8,1,99,59.96694194,6,8
32164,54,88,1-54-2023-088-04,4,1,8,131.5005763,9,8
32176,17,160,1-17-2023-160-06,6,1,1,110.3481511,4,8
32182,20,108,1-20-2023-108-06,6,1,9,533.4745371,11,8
