CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDROBTAINED,EDRMETHOD,CASEWGT,PSUSTRAT,VERSION
32553,26,133,1-26-2023-133-04,4,2,3,0,1065.634719,10,8
32554,26,134,1-26-2023-134-08,8,1,3,0,262.8626365,10,8
32554,26,134,1-26-2023-134-08,8,2,3,0,262.8626365,10,8
32555,15,227,1-15-2023-227-06,6,1,5,0,145.806402,1,8
32556,15,228,1-15-2023-228-06,6,1,3,0,145.806402,1,8
32556,15,228,1-15-2023-228-06,6,2,1,1,145.806402,1,8
32557,15,229,1-15-2023-229-04,4,1,9,0,246.6658936,1,8
32558,15,230,1-15-2023-230-06,6,1,9,0,145.806402,1,8
31108,66,60,1-66-2023-060-03,3,2,3,0,106.5525486,6,8
31110,15,152,1-15-2023-152-09,9,2,9,0,265.3226775,1,8
31111,15,153,1-15-2023-153-03,3,2,9,0,33.45902086,1,8
31112,30,96,1-30-2023-096-03,3,2,1,1,298.452139,10,8
31112,30,96,1-30-2023-096-03,3,3,2,1,298.452139,10,8
31114,21,80,1-21-2023-080-02,2,2,1,1,28.07791527,11,8
31117,77,77,1-77-2023-077-05,5,1,1,3,154.9380307,9,8
31118,77,78,1-77-2023-078-01,1,1,1,1,118.6202207,9,8
31118,77,78,1-77-2023-078-01,1,2,1,1,118.6202207,9,8
31119,54,64,1-54-2023-064-05,5,1,4,0,129.7151114,9,8
31120,54,65,1-54-2023-065-04,4,1,1,1,146.8394981,9,8
31120,54,65,1-54-2023-065-04,4,2,4,0,146.8394981,9,8
31121,54,66,1-54-2023-066-06,6,1,1,1,156.0896345,9,8
31122,48,72,1-48-2023-072-03,3,2,1,1,74.78725036,12,8
31122,48,72,1-48-2023-072-03,3,3,1,1,74.78725036,12,8
31123,48,73,1-48-2023-073-10,10,1,9,0,307.6425026,12,8
31123,48,73,1-48-2023-073-10,10,2,1,2,307.6425026,12,8
31124,48,74,1-48-2023-074-09,9,2,1,1,92.28369939,12,8
31125,18,66,1-18-2023-066-04,4,2,2,1,1237.120723,6,8
31126,18,67,1-18-2023-067-05,5,1,9,0,121.0690241,6,8
31126,18,67,1-18-2023-067-05,5,2,1,1,121.0690241,6,8
31127,59,101,1-59-2023-101-04,4,1,5,0,1191.533982,6,8
31128,59,102,1-59-2023-102-05,5,2,9,0,59.64497951,6,8
31128,59,102,1-59-2023-102-05,5,1,9,0,59.64497951,6,8
31129,33,52,1-33-2023-052-03,3,1,1,1,71.00985497,12,8
31131,17,115,1-17-2023-115-04,4,1,1,1,138.8080237,4,8
31131,17,115,1-17-2023-115-04,4,2,10,0,138.8080237,4,8
31132,17,116,1-17-2023-116-04,4,1,1,1,138.8080237,4,8
31132,17,116,1-17-2023-116-04,4,2,10,0,138.8080237,4,8
31133,17,117,1-17-2023-117-03,3,1,3,0,57.62015134,4,8
31133,17,117,1-17-2023-117-03,3,2,1,1,57.62015134,4,8
31135,12,77,1-12-2023-077-03,3,1,1,1,239.3521142,9,8
31135,12,77,1-12-2023-077-03,3,2,1,1,239.3521142,9,8
31136,12,78,1-12-2023-078-03,3,1,10,0,239.3521142,9,8
31136,12,78,1-12-2023-078-03,3,2,1,1,239.3521142,9,8
31137,12,79,1-12-2023-079-04,4,1,1,1,548.341571,9,8
31140,20,80,1-20-2023-080-10,10,1,3,0,5494.997294,11,8
31141,11,59,1-11-2023-059-06,6,1,9,0,663.6615625,8,8
31143,24,85,1-24-2023-085-02,2,1,3,0,159.7101838,1,8
31143,24,85,1-24-2023-085-02,2,2,1,1,159.7101838,1,8
31144,13,103,1-13-2023-103-02,2,2,5,0,38.25477319,7,8
32559,29,91,1-29-2023-091-07,7,1,1,1,349.9715601,2,8
32560,21,117,1-21-2023-117-02,2,1,9,0,58.86931901,11,8
32561,21,118,1-21-2023-118-02,2,1,4,0,58.86931901,11,8
32561,21,118,1-21-2023-118-02,2,2,9,0,58.86931901,11,8
32562,21,119,1-21-2023-119-08,8,1,9,0,573.5518634,11,8
32563,28,111,1-28-2023-111-10,10,1,2,1,37.47575523,3,8
32564,28,112,1-28-2023-112-09,9,1,3,0,47.6282045,3,8
32566,25,113,1-25-2023-113-09,9,2,5,0,414.3504828,2,8
32568,33,89,1-33-2023-089-10,10,1,1,1,142.7413803,12,8
