CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDRSUMMNO,EDREVENTNO,LFBELT,LF1STAGEDEP,LF2STAGEDEP,LFSWITCH,LFDISPOSAL,LFSIDEDEPTIME,LFCURTDEPTIME,LFPRETENDEPTIME,LFRETRACTDEPTIME,LFBUCKDEPTIME,LFTRACKPOS,LFOCCSIZE,LFOCCPOS,RFBELT,RF1STAGEDEP,RF2STAGEDEP,RFSWITCH,RFDISPOSAL,RFSIDEDEPTIME,RFCURTDEPTIME,RFPRETENDEPTIME,RFRETRACTDEPTIME,RFBUCKDEPTIME,RFTRACKPOS,RFOCCSIZE,RFOCCPOS,CASEWGT,PSUSTRAT,VERSION
32500,12,121,1-12-2023-121-07,7,2,1,6,7,9997.00,9997.00,7,8,9997.00,9997.00,9995.00,9997.00,9997.00,7,7,7,7,9997.00,9997.00,7,8,9997.00,9997.00,9995.00,9997.00,9997.00,7,7,7,743.8803261,9,8
32500,12,121,1-12-2023-121-07,7,2,1,1,0,9995.00,9995.00,7,8,9995.00,9995.00,9995.00,9997.00,9997.00,7,7,7,0,9995.00,9995.00,7,8,9995.00,9995.00,9995.00,9997.00,9997.00,7,4,7,743.8803261,9,8
32503,33,85,1-33-2023-085-06,6,2,1,1,1,9995.00,9995.00,7,8,9995.00,9995.00,9995.00,9995.00,9995.00,7,7,7,0,9995.00,9995.00,1,8,9995.00,9995.00,9995.00,9995.00,9995.00,7,0,7,27.77776823,12,8
32503,33,85,1-33-2023-085-06,6,2,1,2,1,9995.00,9995.00,7,8,9995.00,9995.00,9995.00,9995.00,9995.00,7,7,7,0,9995.00,9995.00,1,8,9995.00,9995.00,9995.00,9995.00,9995.00,7,0,7,27.77776823,12,8
32506,33,88,1-33-2023-088-07,7,1,1,1,1,95.00,9997.00,7,8,9995.00,9995.00,95.00,99.00,95.00,7,7,7,0,9995.00,9995.00,1,8,9995.00,9995.00,95.00,99.00,95.00,7,0,7,51.74094153,12,8
32506,33,88,1-33-2023-088-07,7,1,1,2,1,9995.00,9997.00,7,8,9995.00,8888.00,9995.00,9995.00,9995.00,7,7,7,0,9995.00,9995.00,1,8,9995.00,8888.00,9995.00,9995.00,9995.00,7,0,7,51.74094153,12,8
32514,11,92,1-11-2023-092-04,4,1,1,1,0,79.50,229.50,7,8,9997.00,36.50,9997.00,9997.00,9997.00,0,7,7,0,9997.00,9997.00,7,8,9997.00,36.50,9997.00,9997.00,9997.00,0,7,7,1401.020215,8,8
32514,11,92,1-11-2023-092-04,4,2,1,1,1,9995.00,9995.00,7,8,9995.00,9995.00,9995.00,9995.00,9995.00,7,7,7,1,9995.00,9995.00,0,8,9995.00,9995.00,9995.00,9995.00,9995.00,7,5,7,1401.020215,8,8
32648,27,129,1-27-2023-129-09,9,1,1,1,1,9995.00,9995.00,7,8,9995.00,9995.00,9994.00,9999.00,9994.00,0,7,7,0,9995.00,9995.00,7,8,9994.00,9994.00,9994.00,9999.00,9994.00,0,7,7,109.325843,3,8
32651,27,132,1-27-2023-132-03,3,1,1,1,0,766.00,776.00,7,8,9997.00,9997.00,9997.00,9997.00,9997.00,0,7,7,0,9997.00,9997.00,7,8,810.00,810.00,9997.00,9997.00,9997.00,0,7,7,16.37214353,3,8
