CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,VIN,VINLENGTH,VPICMAKE,VPICMODEL,VPICBODYCLASS,ICFINALBODY,MAKE,MODEL,MODELYR,BODYTYPE,BODYCAT,VEHCLASS,SPECUSE,TRANSTAT,DAMPLANE,DAMSEV,CURBWT,CURBSRC,CARGOWT,CARGOSRC,INSPTYPE,INSPLAG,TOWED,SPEEDLIMIT,DRPRESENT,PARALCOHOL,ALCTEST,ALCTESTRESULT,ALCTESTSRC,PARDRUG,DRUGTEST,ZIP,RACE,ETHNICITY,RELTOJUNCT,TRAFFLOW,RDLANES,INITLANE,SURFTYPE,SURFCOND,ALIGNMENT,PROFILE,LINERIGHT,LINELEFT,RUMBINIT,RUMBROAD,LIGHTCOND,WEATHER,TRAFDEV,TRAFFUNCT,DISTRACT,PREFHE,PREMOVE,CRITCAT,CRITEVENT,MANEUVER,PRESTAB,PRELOC,CRASHCAT,CRASHCONF,CRASHTYPE,ROLLTYPE,ROLLTURN,ROLLINTRPT,ROLLPREMAN,ROLLINITYP,ROLLINLOC,ROLLOBJ,ROLLTRIP,ROLLDIR,ROLLDIST,DVANGTHIS,DVANGOTH,TOWHITCH,TRAJDOC,TREEPOLE,DVEVENT,DVBASIS,DVTOTAL,DVLONG,DVLAT,DVENERGY,DVSPEED,DVMOMENT,DVBES,DVEST,DVCONF,VAIS,VISS,VINJSEV,VINJURED,VTREAT,INITOBJCLASS,HEADANGLECAT,SHLDRWIDTH,STRKLENGTH,STRKWIDTH,STRKHEIGHT,EDGEDISTX,EDGEDISTY,EDGEDISTZ,CASEWGT,PSUSTRAT,VERSION
28130,77,1,1-77-2023-001-04,4,1,1M2AG11CX4M0,17,490,9455,11,0,86,881,2004,63,8,60,0,1,F,9,,,,,,,2,40,1,0,0,995,0,0,0,22932,9,9,0,4,2,1,2,1,1,2,0,2,0,0,1,1,0,0,3,1,1,2,10,1,1,2,3,G,50,,,,,,,,,,,,,,,,,,,,,,,,,,,95,95,95,95,95,,,9.8,998,998,998,99.8,99.8,99.8,114.5224416,9,8
28130,77,1,1-77-2023-001-04,4,2,5TDZRKECXNS1,17,448,2468,2,0,49,442,2022,20,4,20,0,1,F,9,2096,5,0,1,1,5,2,40,1,0,0,995,0,0,0,22932,9,9,0,4,2,1,2,1,1,1,0,2,0,0,1,1,6,2,1,0,1,4,62,2,1,1,3,G,51,0,0,0,0,0,0,0,0,0,0,190,10,0,1,0,1,5,999,999,999,9999999,999,999,999,9,0,0,0,0,0,0,0,995,9.8,998,998,998,99.8,99.8,99.8,114.5224416,9,8
28131,54,1,1-54-2023-001-10,10,1,KMHCN46C28U2,17,498,2773,13,0,55,36,2008,4,1,1,0,1,F,9,1166,5,9999,9,0,998,3,40,1,1,1,200,1,0,0,35653,9,9,0,4,2,1,2,1,1,2,0,0,0,0,3,1,0,0,9,1,1,2,13,99,1,4,1,A,1,0,0,0,0,0,0,0,0,0,0,998,998,0,0,0,1,0,999,999,999,9999999,999,999,999,9,0,0,0,0,0,0,0,998,0.0,65,52,-92,2.3,3.0,3.9,129.1926222,9,8
28132,54,2,1-54-2023-002-10,10,1,1GCHK236X8F1,17,467,1850,60,0,20,481,2008,34,5,31,0,1,R,9,2714,5,9999,9,0,998,5,72,1,0,0,995,0,0,0,35654,9,9,2,1,3,3,2,1,1,1,1,2,0,2,3,1,1,2,9,0,1,4,65,99,1,1,4,K,79,0,0,0,0,0,0,0,0,0,0,220,170,0,0,0,1,0,999,999,999,9999999,999,999,999,9,0,95,95,95,95,95,0,995,9.8,998,998,998,99.8,99.8,99.8,129.1926222,9,8
28132,54,2,1-54-2023-002-10,10,2,JTDBT9230840,17,448,2464,13,0,49,51,2008,4,1,2,0,1,F,9,1050,5,0,2,4,27,3,72,1,0,0,995,0,0,0,35653,1,1,2,1,3,1,2,1,1,1,1,1,0,1,3,1,1,2,2,0,10,2,16,2,1,1,4,K,78,0,0,0,0,0,0,0,0,0,0,170,220,0,0,0,1,12,999,999,999,9999999,999,999,999,9,0,0,0,0,0,0,0,995,9.8,998,998,998,99.8,99.8,99.8,129.1926222,9,8
28135,59,1,1-59-2023-001-08,8,1,2HKYF18514H6,17,474,1864,7,0,37,421,2004,15,3,15,0,1,F,2,2007,5,0,1,1,2,2,48,1,1,1,234,2,0,0,47802,9,9,2,4,2,1,2,2,1,1,1,2,0,0,1,4,0,0,9,1,10,1,6,99,9,4,1,A,2,0,0,0,0,0,0,0,0,0,0,998,998,0,1,1,1,1,27,-27,0,57930,998,-4,27,0,1,1,2,0,1,4,0,998,0.0,67,72,51,18.6,4.6,19.2,189.9365974,6,8
28139,19,1,1-19-2023-001-02,2,1,JTHBK1GG9F21,17,515,2475,13,0,59,31,2015,4,1,4,0,1,L,1,1610,5,0,1,1,3,2,72,1,0,0,995,0,0,0,35906,1,9,3,4,2,1,2,2,2,4,0,0,0,0,1,2,0,0,9,0,10,2,16,4,1,1,4,K,78,0,0,0,0,0,0,0,0,0,0,30,70,0,0,0,1,1,18,9,16,24913,998,-2,20,0,1,3,10,1,1,3,0,995,9.8,998,998,998,99.8,99.8,99.8,103.5094853,9,8
28139,19,1,1-19-2023-001-02,2,2,3GKALMEVXLL2,17,472,1858,7,0,23,402,2020,14,3,14,0,1,F,1,1564,5,0,1,1,3,2,72,1,0,0,995,0,0,0,35901,1,2,3,4,5,1,2,2,1,1,1,3,0,0,1,2,0,0,1,0,1,4,70,3,1,1,4,K,79,0,0,0,0,0,0,0,0,0,0,70,30,0,0,0,1,1,18,-17,-6,20836,998,-54,16,0,3,2,5,0,2,4,0,995,9.8,998,998,998,99.8,99.8,99.8,103.5094853,9,8
28143,17,1,1-17-2023-001-03,3,1,JN8AT2MT9KW2,17,478,1913,7,0,35,404,2019,14,3,14,0,1,F,1,1610,5,0,1,1,8,2,48,1,8,0,995,0,7,0,61273,1,2,2,1,3,2,1,2,1,1,3,1,0,0,1,2,1,2,3,0,1,2,17,4,1,1,5,L,86,0,0,0,0,0,0,0,0,0,0,5,100,0,0,0,1,3,14,-12,7,13475,998,48,13,0,4,2,4,0,1,6,0,995,9.8,998,998,998,99.8,99.8,99.8,276.2995111,4,8
28143,17,1,1-17-2023-001-03,3,2,5XYKTDA6XFG5,17,499,2769,7,0,63,402,2015,14,3,14,0,1,R,1,1730,5,0,1,1,9,2,64,1,8,0,995,0,7,0,61201,9,9,2,4,4,2,1,2,1,1,1,1,0,0,1,2,1,2,9,0,1,4,66,99,1,1,5,L,87,0,0,0,0,0,0,0,0,0,0,100,5,0,0,0,1,3,14,-7,-12,19628,998,61,15,0,4,0,0,0,0,0,0,995,9.8,998,998,998,99.8,99.8,99.8,276.2995111,4,8
28147,11,1,1-11-2023-001-03,3,1,3N1AB8BV7MY2,17,478,1907,13,0,35,43,2021,4,1,3,0,1,F,2,1385,5,0,1,4,43,2,72,1,0,1,0,2,0,1,23235,2,9,2,1,3,2,2,2,3,9,3,2,0,0,1,2,1,2,1,1,14,2,12,99,1,4,4,K,83,0,0,0,0,0,0,0,0,0,0,160,60,0,0,0,1,5,999,999,999,9999999,999,999,999,7,0,1,1,0,1,4,0,995,9.8,998,998,998,99.8,99.8,99.8,706.20215,8,8
28147,11,1,1-11-2023-001-03,3,2,1HTMKAAN26H1,17,526,2648,11,0,84,881,2006,63,8,60,0,1,L,9,,,,,,,2,72,1,0,0,995,0,0,0,23141,9,9,2,3,1,1,2,2,1,9,1,2,0,0,1,2,1,2,1,0,11,4,66,99,1,1,4,K,82,,,,,,,,,,,,,,,,,,,,,,,,,,,95,95,95,95,95,,,9.8,998,998,998,99.8,99.8,99.8,706.20215,8,8
28149,24,1,1-24-2023-001-07,7,1,3VW2B7AJ4HM4,17,482,3137,13,0,30,40,2017,4,1,3,0,1,F,1,1364,5,0,1,4,12,2,80,1,0,0,995,0,0,0,08037,9,9,2,1,5,4,2,1,1,1,1,1,0,0,3,1,1,2,9,0,1,3,52,8,1,1,2,D,28,0,0,0,0,0,0,0,0,0,0,110,100,0,0,0,1,12,999,999,999,9999999,999,999,999,6,0,0,0,0,0,0,0,995,9.8,998,998,998,99.8,99.8,99.8,602.9910613,1,8
