CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,CONTACT,CONTAREA,CONTCOMP,OCCNO,BODYREGION,EVIDENCE,CONFIDENCE,CASEWGT,PSUSTRAT,VERSION
29312,24,43,1-24-2023-043-08,8,1,H,5,106,1,742,4,2,195.1757833,1,8
29581,20,45,1-20-2023-045-05,5,2,C,3,577,1,851,9,3,27.11193076,11,8
29581,20,45,1-20-2023-045-05,5,2,D,3,578,1,731,6,3,27.11193076,11,8
29581,20,45,1-20-2023-045-05,5,2,E,3,578,1,731,3,3,27.11193076,11,8
29581,20,45,1-20-2023-045-05,5,2,F,1,2,1,762,1,3,27.11193076,11,8
29581,20,45,1-20-2023-045-05,5,2,G,3,580,3,811,5,2,27.11193076,11,8
29581,20,45,1-20-2023-045-05,5,2,H,3,578,3,731,3,3,27.11193076,11,8
29581,20,45,1-20-2023-045-05,5,2,I,3,576,3,741,5,3,27.11193076,11,8
29581,20,45,1-20-2023-045-05,5,2,J,8,151,3,762,3,3,27.11193076,11,8
29581,20,45,1-20-2023-045-05,5,2,K,1,26,2,842,3,3,27.11193076,11,8
29581,20,45,1-20-2023-045-05,5,2,L,6,586,2,732,3,3,27.11193076,11,8
29581,20,45,1-20-2023-045-05,5,2,M,8,152,1,401,8,3,27.11193076,11,8
29581,20,45,1-20-2023-045-05,5,2,N,8,152,2,401,8,3,27.11193076,11,8
29624,27,37,1-27-2023-037-06,6,1,A,1,4,1,401,1,1,86.35323554,3,8
29624,27,37,1-27-2023-037-06,6,1,B,2,53,1,741,3,2,86.35323554,3,8
29624,27,37,1-27-2023-037-06,6,1,C,8,163,1,812,5,2,86.35323554,3,8
29624,27,37,1-27-2023-037-06,6,1,D,1,3,2,101,2,1,86.35323554,3,8
29624,27,37,1-27-2023-037-06,6,1,E,10,206,2,769,5,2,86.35323554,3,8
29624,27,37,1-27-2023-037-06,6,1,F,1,13,2,842,5,1,86.35323554,3,8
29624,27,37,1-27-2023-037-06,6,1,G,1,23,2,841,5,1,86.35323554,3,8
29801,20,49,1-20-2023-049-03,3,1,A,3,580,1,741,5,3,173.2900567,11,8
29801,20,49,1-20-2023-049-03,3,1,B,3,578,1,731,9,3,173.2900567,11,8
29801,20,49,1-20-2023-049-03,3,2,A,1,24,1,841,3,3,173.2900567,11,8
29801,20,49,1-20-2023-049-03,3,2,B,1,25,1,842,3,3,173.2900567,11,8
29801,20,49,1-20-2023-049-03,3,2,C,1,25,2,841,9,3,173.2900567,11,8
29801,20,49,1-20-2023-049-03,3,2,D,1,26,2,842,3,3,173.2900567,11,8
29801,20,49,1-20-2023-049-03,3,2,E,8,151,4,842,3,3,173.2900567,11,8
30059,24,66,1-24-2023-066-01,1,1,A,1,24,1,841,5,1,118.487397,1,8
30059,24,66,1-24-2023-066-01,1,1,B,2,57,1,511,2,1,118.487397,1,8
30059,24,66,1-24-2023-066-01,1,1,C,8,162,2,841,2,1,118.487397,1,8
30059,24,66,1-24-2023-066-01,1,1,D,3,576,2,999,2,1,118.487397,1,8
30059,24,66,1-24-2023-066-01,1,1,E,8,162,2,101,3,1,118.487397,1,8
30059,24,66,1-24-2023-066-01,1,1,F,4,619,2,711,8,3,118.487397,1,8
32481,59,153,1-59-2023-153-04,4,2,A,1,21,1,841,3,2,131.4633487,6,8
32484,54,98,1-54-2023-098-05,5,2,C,10,203,1,759,6,2,129.7151114,9,8
32484,54,98,1-54-2023-098-05,5,2,D,4,611,1,999,6,3,129.7151114,9,8
32484,54,98,1-54-2023-098-05,5,2,E,4,611,1,999,6,3,129.7151114,9,8
32484,54,98,1-54-2023-098-05,5,2,A,1,21,1,841,3,3,129.7151114,9,8
32484,54,98,1-54-2023-098-05,5,2,B,1,4,1,501,3,3,129.7151114,9,8
32491,18,107,1-18-2023-107-06,6,1,A,1,24,1,841,1,2,231.1762511,6,8
32491,18,107,1-18-2023-107-06,6,1,B,1,2,1,101,1,1,231.1762511,6,8
32491,18,107,1-18-2023-107-06,6,1,C,1,1,1,732,12,1,231.1762511,6,8
32491,18,107,1-18-2023-107-06,6,1,D,1,24,1,841,98,1,231.1762511,6,8
32493,17,170,1-17-2023-170-07,7,1,A,1,2,1,762,2,1,305.0258178,4,8
32493,17,170,1-17-2023-170-07,7,1,B,1,5,1,831,3,2,305.0258178,4,8
32497,66,97,1-66-2023-097-05,5,2,A,8,155,2,101,6,1,106.3944278,6,8
32497,66,97,1-66-2023-097-05,5,2,B,8,573,2,101,6,2,106.3944278,6,8
32497,66,97,1-66-2023-097-05,5,2,C,10,206,1,101,5,1,106.3944278,6,8
32500,12,121,1-12-2023-121-07,7,2,A,8,155,1,101,3,3,743.8803261,9,8
32501,12,122,1-12-2023-122-09,9,1,A,4,611,1,201,6,3,550.6910394,9,8
32501,12,122,1-12-2023-122-09,9,1,B,8,151,1,601,5,2,550.6910394,9,8
30059,24,66,1-24-2023-066-01,1,1,G,8,162,4,811,96,2,118.487397,1,8
30342,20,62,1-20-2023-062-03,3,2,A,3,576,1,761,2,2,403.0484466,11,8
30342,20,62,1-20-2023-062-03,3,2,B,3,580,1,761,9,3,403.0484466,11,8
30342,20,62,1-20-2023-062-03,3,2,C,8,573,1,101,6,2,403.0484466,11,8
30342,20,62,1-20-2023-062-03,3,2,D,1,3,1,101,6,2,403.0484466,11,8
30342,20,62,1-20-2023-062-03,3,2,E,10,201,1,101,96,2,403.0484466,11,8
30342,20,62,1-20-2023-062-03,3,2,F,8,152,1,501,8,3,403.0484466,11,8
30342,20,62,1-20-2023-062-03,3,2,G,8,163,1,812,3,3,403.0484466,11,8
30342,20,62,1-20-2023-062-03,3,2,H,8,163,1,762,5,3,403.0484466,11,8
30342,20,62,1-20-2023-062-03,3,2,I,1,1,1,101,96,2,403.0484466,11,8
30342,20,62,1-20-2023-062-03,3,2,J,1,1,1,101,96,2,403.0484466,11,8
30471,27,60,1-27-2023-060-09,9,2,A,3,582,1,511,5,1,172.9147911,3,8
30543,20,67,1-20-2023-067-04,4,1,A,1,21,1,762,3,3,682.3262773,11,8
30646,20,68,1-20-2023-068-05,5,1,A,4,611,1,201,4,2,34.68985934,11,8
30646,20,68,1-20-2023-068-05,5,1,B,1,24,1,841,5,2,34.68985934,11,8
30646,20,68,1-20-2023-068-05,5,1,C,9,254,1,862,1,2,34.68985934,11,8
30646,20,68,1-20-2023-068-05,5,1,D,1,24,1,862,6,2,34.68985934,11,8
30646,20,68,1-20-2023-068-05,5,1,E,1,24,1,842,5,3,34.68985934,11,8
30646,20,68,1-20-2023-068-05,5,1,F,8,152,1,401,8,3,34.68985934,11,8
30646,20,68,1-20-2023-068-05,5,1,G,8,151,1,201,6,3,34.68985934,11,8
30697,27,65,1-27-2023-065-06,6,2,A,3,580,1,751,3,3,134.0899965,3,8
30697,27,65,1-27-2023-065-06,6,2,B,3,578,1,731,3,3,134.0899965,3,8
30786,27,69,1-27-2023-069-10,10,1,A,8,164,1,872,3,2,1114.782091,3,8
30889,27,70,1-27-2023-070-04,4,1,A,4,615,1,852,6,2,50.88953239,3,8
30889,27,70,1-27-2023-070-04,4,1,B,4,615,1,852,6,2,50.88953239,3,8
30889,27,70,1-27-2023-070-04,4,2,A,1,7,1,841,3,2,50.88953239,3,8
30889,27,70,1-27-2023-070-04,4,2,B,1,7,1,842,3,1,50.88953239,3,8
30889,27,70,1-27-2023-070-04,4,2,C,1,7,1,841,3,2,50.88953239,3,8
30889,27,70,1-27-2023-070-04,4,2,D,1,21,1,761,3,2,50.88953239,3,8
30889,27,70,1-27-2023-070-04,4,2,E,1,24,1,851,3,1,50.88953239,3,8
30889,27,70,1-27-2023-070-04,4,2,F,1,24,1,852,3,1,50.88953239,3,8
30889,27,70,1-27-2023-070-04,4,2,G,1,24,1,852,3,1,50.88953239,3,8
32159,18,93,1-18-2023-093-08,8,1,B,1,1,1,101,96,1,189.796596,6,8
32159,18,93,1-18-2023-093-08,8,1,C,1,2,1,712,98,2,189.796596,6,8
32161,18,95,1-18-2023-095-04,4,1,A,3,583,1,731,3,3,610.7680281,6,8
32162,18,96,1-18-2023-096-03,3,1,B,1,3,1,101,6,3,184.0867462,6,8
32162,18,96,1-18-2023-096-03,3,1,C,10,205,1,999,3,3,184.0867462,6,8
