CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,WHEELBASE,OAL,MAXWIDTH,CURBWT,TRACKWIDTH,OVERHANG_FRT,OVERHANG_REAR,UEW,ENG_CYL,ENG_DISP,TRANSMISSION,DRVWHEELS,ALTVEH,SUSPMODS,WEIGHTDIST,CASEWGT,PSUSTRAT,VERSION
32454,22,95,1-22-2023-095-10,10,2,249,407,172,1170,147,86,72,999,4,1.6,9,1,9,0,59,289.5856908,12,8
32456,22,97,1-22-2023-097-09,9,1,355,569,185,2180,157,90,124,999,6,3.8,2,3,9,0,57,57.44990102,12,8
32456,22,97,1-22-2023-097-09,9,2,295,513,201,2506,171,100,118,175,8,5.3,2,3,0,0,51,57.44990102,12,8
32457,22,98,1-22-2023-098-03,3,1,392,587,196,2605,161,92,103,999,8,5.7,9,3,9,0,99,40.62842331,12,8
32457,22,98,1-22-2023-098-03,3,2,271,464,182,1385,160,91,102,150,4,2.0,2,1,0,0,61,40.62842331,12,8
32459,27,122,1-27-2023-122-07,7,1,286,478,184,1782,158,95,97,158,4,2.4,2,4,0,0,56,319.5910668,3,8
32460,27,123,1-27-2023-123-03,3,1,269,459,185,1703,161,92,99,152,4,2.5,2,4,0,0,56,20.05280512,3,8
32462,26,129,1-26-2023-129-06,6,3,295,518,204,2408,173,103,120,999,8,5.3,9,2,9,0,52,1602.067375,10,8
32462,26,129,1-26-2023-129-06,6,1,278,487,183,1420,159,97,112,160,4,2.5,2,1,9,0,60,1602.067375,10,8
32462,26,129,1-26-2023-129-06,6,2,266,463,185,1755,158,99,98,170,4,2.0,2,4,0,1,59,1602.067375,10,8
32465,15,224,1-15-2023-224-03,3,1,289,475,192,2003,164,85,99,150,98,98.0,3,4,9,0,50,84.11635964,1,8
32468,21,116,1-21-2023-116-01,1,1,358,562,189,1769,160,85,119,170,6,4.0,2,2,0,1,58,172.7179144,11,8
32474,23,98,1-23-2023-098-02,2,2,283,492,185,1418,159,97,113,999,4,1.5,2,1,9,0,59,52.33243703,5,8
32476,77,122,1-77-2023-122-05,5,2,274,480,182,1621,155,97,109,164,4,2.5,2,4,0,0,53,76.33062011,9,8
32476,77,122,1-77-2023-122-05,5,3,333,529,176,1599,150,85,109,164,6,3.9,9,2,0,1,99,76.33062011,9,8
32476,77,122,1-77-2023-122-05,5,1,270,446,175,1380,153,90,85,144,4,1.8,2,1,0,0,60,76.33062011,9,8
32477,77,123,1-77-2023-123-03,3,2,252,404,177,1201,154,79,74,156,4,1.6,2,1,0,0,60,277.0939517,9,8
32477,77,123,1-77-2023-123-03,3,1,266,460,185,1555,157,94,100,164,4,2.5,2,1,0,0,58,277.0939517,9,8
32479,77,125,1-77-2023-125-06,6,1,282,496,184,1620,159,98,116,150,6,3.5,2,1,0,0,61,929.6575497,9,8
32479,77,125,1-77-2023-125-06,6,2,270,455,184,1629,158,94,91,160,4,2.5,2,4,0,0,56,929.6575497,9,8
32251,15,215,1-15-2023-215-03,3,2,296,498,193,2375,167,999,999,999,98,98.0,3,4,9,0,99,50.50849878,1,8
32253,31,103,1-31-2023-103-04,4,1,270,464,176,1315,152,94,100,151,4,2.0,2,1,0,0,61,259.2181109,6,8
32254,32,177,1-32-2023-177-03,3,1,270,463,176,1315,153,91,102,154,4,1.8,9,9,9,0,60,442.0527856,7,8
32254,32,177,1-32-2023-177-03,3,2,285,475,177,1602,152,82,110,154,6,3.7,2,1,0,0,53,442.0527856,7,8
32256,28,104,1-28-2023-104-03,3,1,267,448,180,1486,155,97,84,150,4,2.0,2,4,0,0,99,60.00667134,3,8
32259,23,94,1-23-2023-094-03,3,1,281,463,190,1850,160,91,93,999,4,2.0,2,4,9,0,53,167.7699744,5,8
32259,23,94,1-23-2023-094-03,3,2,281,486,187,1585,162,97,108,999,4,2.0,2,1,9,0,59,167.7699744,5,8
32262,59,144,1-59-2023-144-03,3,1,283,488,191,1524,160,94,112,164,4,2.0,2,1,0,0,61,57.10542696,6,8
32262,59,144,1-59-2023-144-03,3,2,356,574,201,2404,175,102,116,999,8,5.7,2,3,9,0,57,57.10542696,6,8
32265,77,114,1-77-2023-114-07,7,1,252,449,174,1425,148,95,103,156,4,2.5,2,4,0,0,56,1987.498995,9,8
32265,77,114,1-77-2023-114-07,7,2,278,487,183,1453,159,97,112,152,4,2.5,2,1,0,0,60,1987.498995,9,8
32268,77,117,1-77-2023-117-06,6,1,262,453,182,1526,156,92,100,150,4,2.4,2,1,0,0,58,694.9486233,9,8
32268,77,117,1-77-2023-117-06,6,2,270,455,184,1659,160,96,91,999,4,2.5,2,4,9,0,57,694.9486233,9,8
32270,18,98,1-18-2023-098-03,3,1,307,519,200,2093,171,101,111,163,6,3.6,2,4,0,0,58,102.7208357,6,8
32271,18,99,1-18-2023-099-07,7,1,270,455,184,1659,160,96,91,138,4,2.5,2,4,0,0,57,1043.203145,6,8
32273,73,168,1-73-2023-168-07,7,1,267,466,181,1535,154,96,103,140,4,2.4,2,4,0,0,56,165.4729909,3,8
32273,73,168,1-73-2023-168-07,7,2,273,480,183,1476,155,98,110,999,4,2.4,9,1,9,0,61,165.4729909,3,8
32274,48,111,1-48-2023-111-09,9,1,265,444,175,1226,151,87,92,166,4,1.8,2,1,0,1,60,332.3672543,12,8
32276,48,113,1-48-2023-113-06,6,1,270,467,180,1250,156,98,99,156,4,1.4,2,1,0,0,61,155.245135,12,8
32276,48,113,1-48-2023-113-06,6,2,282,496,184,1620,159,98,116,156,6,3.5,2,1,0,0,61,155.245135,12,8
32479,77,125,1-77-2023-125-06,6,3,267,470,181,1595,154,99,104,999,4,2.0,2,4,9,0,57,929.6575497,9,8
32480,59,152,1-59-2023-152-09,9,1,258,430,182,1631,158,80,92,164,4,2.4,2,1,0,0,60,275.2919744,6,8
32482,59,154,1-59-2023-154-10,10,2,303,509,200,1742,162,96,111,999,6,3.3,9,9,9,0,57,1107.254799,6,8
32482,59,154,1-59-2023-154-10,10,1,263,433,183,1529,155,90,81,156,6,2.7,2,1,0,0,60,1107.254799,6,8
32483,59,155,1-59-2023-155-08,8,1,302,521,199,2234,170,102,116,170,6,3.6,2,4,0,0,55,59.96694194,6,8
32485,54,99,1-54-2023-099-06,6,1,357,562,190,1846,161,85,119,160,6,4.0,2,2,0,1,58,170.5184581,9,8
32488,48,119,1-48-2023-119-09,9,3,308,514,195,2044,165,95,111,154,6,3.8,2,1,0,0,55,366.375875,12,8
32488,48,119,1-48-2023-119-09,9,1,272,480,179,1310,155,100,110,999,4,2.3,2,1,9,0,61,366.375875,12,8
32488,48,119,1-48-2023-119-09,9,2,325,529,190,1887,161,85,119,166,6,4.0,1,3,0,0,58,366.375875,12,8
32491,18,107,1-18-2023-107-06,6,1,375,598,207,2268,174,102,120,162,6,3.7,2,1,0,0,99,231.1762511,6,8
28583,14,8,1-14-2023-008-03,3,1,281,486,187,1475,162,97,108,999,4,2.4,2,1,0,0,61,586.2882307,8,8
28583,14,8,1-14-2023-008-03,3,2,290,498,198,1880,170,95,113,180,8,3.8,2,1,0,0,57,586.2882307,8,8
28583,14,8,1-14-2023-008-03,3,3,320,512,178,1625,148,85,108,999,6,4.0,9,3,9,0,99,586.2882307,8,8
28849,14,13,1-14-2023-013-02,2,1,406,629,203,2938,173,97,126,180,8,6.7,2,3,0,1,99,207.388208,8,8
28849,14,13,1-14-2023-013-02,2,2,283,489,183,1495,158,98,109,999,4,2.5,2,1,0,0,60,207.388208,8,8
28849,14,13,1-14-2023-013-02,2,3,368,584,203,2028,172,96,120,180,8,5.0,2,2,0,0,58,207.388208,8,8
29227,14,20,1-14-2023-020-07,7,1,292,486,196,2336,163,90,106,999,6,3.6,9,9,9,0,53,13434.37586,8,8
29227,14,20,1-14-2023-020-07,7,2,266,459,185,1502,161,91,101,160,4,1.5,2,1,0,0,58,13434.37586,8,8
29413,14,24,1-14-2023-024-01,1,1,367,592,202,2255,174,101,124,180,6,3.6,2,2,0,0,57,262.1847596,8,8
29413,14,24,1-14-2023-024-01,1,2,357,574,201,2336,173,102,116,180,8,5.7,2,3,0,1,57,262.1847596,8,8
32494,17,171,1-17-2023-171-04,4,1,283,489,192,1787,164,105,102,164,6,3.5,2,4,0,0,59,106.9495004,4,8
32496,66,96,1-66-2023-096-04,4,1,278,490,186,1627,158,102,112,156,6,3.5,2,1,0,0,61,185.4211654,6,8
32497,66,97,1-66-2023-097-05,5,2,338,559,203,2184,174,100,120,170,8,5.3,2,3,0,1,59,106.3944278,6,8
32499,12,120,1-12-2023-120-03,3,1,270,461,186,1839,157,98,93,164,6,3.2,2,4,0,0,57,239.3521142,9,8
32499,12,120,1-12-2023-120-03,3,2,295,518,204,2515,173,103,120,180,8,5.3,2,3,0,1,52,239.3521142,9,8
32500,12,121,1-12-2023-121-07,7,1,379,595,202,2830,175,100,116,180,6,6.7,2,3,0,1,99,743.8803261,9,8
32500,12,121,1-12-2023-121-07,7,2,278,485,182,1467,159,99,109,160,4,2.5,2,1,0,0,62,743.8803261,9,8
32502,19,125,1-19-2023-125-03,3,1,999,999,999,9999,999,999,999,999,99,99.0,9,9,9,0,99,295.2708207,9,8
32502,19,125,1-19-2023-125-03,3,2,262,449,174,1194,153,88,99,140,4,1.6,2,1,0,0,61,295.2708207,9,8
32503,33,85,1-33-2023-085-06,6,1,262,468,169,1365,146,82,122,136,4,2.4,2,2,0,1,58,27.77776823,12,8
32503,33,85,1-33-2023-085-06,6,2,302,511,200,2219,171,98,111,162,6,3.6,2,4,0,0,55,27.77776823,12,8
32506,33,88,1-33-2023-088-07,7,1,286,482,190,1814,165,100,97,170,6,3.6,2,1,0,0,59,51.74094153,12,8
32508,10,166,1-10-2023-166-06,6,1,277,481,182,1441,159,96,108,150,4,2.5,2,1,0,0,60,480.3653309,4,8
32511,20,120,1-20-2023-120-02,2,1,260,420,180,1290,155,87,74,152,4,2.0,2,1,0,0,61,28.16135447,11,8
